held_fold,target,selected_source,source_family,raw_best_source,raw_best_selector_loss,train_base_loss,selector_loss,selection_action,held_loss,base_loss,delta_vs_base
1,Q1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,fixed_causal_chain,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,0.6680505188495672,0.6729153793169524,0.6370129713422734,fixed_replace,0.6370129713422734,0.6542470716001195,-0.005465432904986467
1,Q2,ef_recovery_slope__deviation__c0.3_b0.2,energy_recovery_slope,ef_recovery_slope__deviation__c0.3_b0.2,0.6788210334369107,0.6944269037684465,0.6788210334369107,switch,0.7031065110367136,0.7307572647783885,-0.0276507537416749
1,Q3,best_plus_mobility_constriction__deviation__c0.1_b0.2,mobility_constriction,best_plus_mobility_constriction__deviation__c0.1_b0.2,0.6585849213794219,0.6719937616348821,0.6585849213794219,switch,0.6885498712097599,0.681469247009676,0.0070806242000838
1,S1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,fixed_causal_chain,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,0.5739749657354346,0.5739749657354346,0.5504628099807066,fixed_replace,0.5504628099807066,0.5585774309855461,-0.008114621004839506
1,S2,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,fixed_causal_chain,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,0.5664248515630363,0.5744588756867305,0.5686282343441235,fixed_replace,0.5686282343441235,0.593742773904609,-0.004704298919000149
1,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5374680051668604,0.5374680051668604,0.5374680051668604,base,0.4757292551240594,0.4757292551240594,0.0
1,S4,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,fixed_causal_chain,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,0.6337824629208515,0.6381512286617883,0.6385081202930739,fixed_replace,0.6385081202930739,0.6636272252405176,7.306284372010641e-05
2,Q1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,fixed_causal_chain,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,0.6609010238058679,0.6694845726854766,0.6651398996717021,fixed_replace,0.6651398996717021,0.6679702981260229,-0.005936484750355242
2,Q2,ef_recovery_slope__deviation__c0.3_b0.2,energy_recovery_slope,ef_recovery_slope__deviation__c0.3_b0.2,0.6955489497163047,0.7164562705403362,0.6955489497163047,switch,0.6361948459191377,0.6426397976908295,-0.0064449517716917
2,Q3,best_plus_mobility_constriction__deviation__c0.03_b0.2,mobility_constriction,best_plus_mobility_constriction__deviation__c0.03_b0.2,0.6557243565649198,0.6670390625965787,0.6557243565649198,switch,0.7011162641816879,0.7012880431628896,-0.0001717789812016
2,S1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,fixed_causal_chain,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,0.570809103944413,0.570809103944413,0.5591161232483021,fixed_replace,0.5591161232483021,0.5712408781496329,-0.012124754901330803
2,S2,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,fixed_causal_chain,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,0.5793776117542917,0.5902797195315552,0.5324515603565537,fixed_replace,0.5324515603565537,0.5304593985253098,0.004619891981399449
2,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5265472200273725,0.5265472200273725,0.5265472200273725,base,0.519412395682011,0.519412395682011,0.0
2,S4,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,fixed_causal_chain,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,0.6468999018476169,0.6551411253119637,0.5919464272743695,fixed_replace,0.5919464272743695,0.5956676386398164,0.005981125532077636
3,Q1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,fixed_causal_chain,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,0.6608923714860132,0.6656529326027678,0.6716085971946365,fixed_replace,0.6716085971946365,0.6832968584568578,0.0004976034931606366
