split,feature_set,target,logloss,auc,uses_public_score,uses_train_labels,core_representation_frozen,listener_profile_source,probe_calibration_shrink,evaluated_rows
subject_heldout,direct_semantic_listener_responsibility,Q3,0.7077236023017615,0.46024691358024694,False,True,True,target_description_not_labels,,450
subject_heldout,direct_semantic_listener_responsibility_calibrated10,Q3,0.6819525180715967,0.40549382716049387,False,True,True,target_description_not_labels,0.1,450
subject_heldout,direct_semantic_listener_responsibility,S1,0.6646033826013671,0.43051411129587025,False,True,True,target_description_not_labels,,450
subject_heldout,direct_semantic_listener_responsibility_calibrated10,S1,0.6429046902486076,0.3930434386460445,False,True,True,target_description_not_labels,0.1,450
subject_heldout,direct_semantic_listener_responsibility,S2,0.6526641731098137,0.5561835612269299,False,True,True,target_description_not_labels,,450
subject_heldout,direct_semantic_listener_responsibility_calibrated10,S2,0.6577383938186729,0.41755614008391123,False,True,True,target_description_not_labels,0.1,450
subject_heldout,direct_semantic_listener_responsibility,S3,0.7147096188007132,0.4510773578240904,False,True,True,target_description_not_labels,,450
subject_heldout,direct_semantic_listener_responsibility_calibrated10,S3,0.6608061414829759,0.35987725185446834,False,True,True,target_description_not_labels,0.1,450
subject_heldout,direct_semantic_listener_responsibility,S4,0.7041614213721173,0.4937469937469937,False,True,True,target_description_not_labels,,450
subject_heldout,direct_semantic_listener_responsibility_calibrated10,S4,0.6993597727167834,0.37602212602212604,False,True,True,target_description_not_labels,0.1,450
subject_heldout,direct_semantic_listener_responsibility,all,0.6981793889918629,0.4738415160055151,False,True,True,target_description_not_labels,,450
subject_heldout,direct_semantic_listener_responsibility_calibrated10,all,0.6776380736266943,0.3917995690783283,False,True,True,target_description_not_labels,0.1,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility,Q1,0.7269631122758513,0.452045593725924,False,True,True,target_description_not_labels,,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility_calibrated10,Q1,0.7048644538454669,0.37567412733845634,False,True,True,target_description_not_labels,0.1,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility,Q2,0.7224824997284045,0.488533536646536,False,True,True,target_description_not_labels,,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility_calibrated10,Q2,0.6955474928709741,0.42011596878072266,False,True,True,target_description_not_labels,0.1,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility,Q3,0.7074542929008764,0.45551440329218107,False,True,True,target_description_not_labels,,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility_calibrated10,Q3,0.6817994262521223,0.4155349794238683,False,True,True,target_description_not_labels,0.1,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility,S1,0.6768773988432798,0.4266645406710553,False,True,True,target_description_not_labels,,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility_calibrated10,S1,0.6435745790016727,0.3879866062276486,False,True,True,target_description_not_labels,0.1,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility,S2,0.6509993721579551,0.5633355796613118,False,True,True,target_description_not_labels,,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility_calibrated10,S2,0.6575429653464653,0.42399078280906943,False,True,True,target_description_not_labels,0.1,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility,S3,0.7334409551931707,0.4076960438007771,False,True,True,target_description_not_labels,,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility_calibrated10,S3,0.6627419617520504,0.3397209466619569,False,True,True,target_description_not_labels,0.1,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility,S4,0.7178930793082405,0.5114438031104698,False,True,True,target_description_not_labels,,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility_calibrated10,S4,0.6992356701821791,0.36624178290844955,False,True,True,target_description_not_labels,0.1,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility,all,0.7051586729153969,0.472176214415465,False,True,True,target_description_not_labels,,450
subject_heldout,current_relative_semantic_balanced_listener_responsibility_calibrated10,all,0.6779009356072757,0.38989502773573886,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility,Q1,0.7248716853731741,0.4616463523043796,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility_calibrated10,Q1,0.7046717809692096,0.37849904189960687,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility,Q2,0.7178799451831636,0.5006922011998154,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility_calibrated10,Q2,0.6952677264828958,0.4208984570935575,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility,Q3,0.7045682206243616,0.4551440329218107,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility_calibrated10,Q3,0.6816545529948619,0.4119753086419753,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility,S1,0.6817526598521758,0.41502471469898183,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility_calibrated10,S1,0.643888499014886,0.3816086193936356,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility,S2,0.6539152923331413,0.5606617247451142,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility_calibrated10,S2,0.6577100531542606,0.4200778243951218,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility,S3,0.7368099319542556,0.4157983044860473,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility_calibrated10,S3,0.6627063530481739,0.34395973154362414,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility,S4,0.7192375448888573,0.520642937309604,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility_calibrated10,S4,0.6989546842187967,0.37305595638928973,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility,all,0.7055764686013042,0.47565860966653617,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_balanced_listener_responsibility_calibrated10,all,0.6778362356975834,0.3900107056224016,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility,Q1,0.720686370048809,0.46948894727484647,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility_calibrated10,Q1,0.7043733739654459,0.381798067995496,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility,Q2,0.7296852779386781,0.4960373989285929,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility_calibrated10,Q2,0.6956695646958294,0.4187115025781987,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility,Q3,0.7018765936837442,0.46549382716049376,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility_calibrated10,Q3,0.6813257477058662,0.4081687242798354,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility,S1,0.6862620771592967,0.41122070112298126,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility_calibrated10,S1,0.6440947176846066,0.3783968474522221,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility,S2,0.6573356147802115,0.5532053651007587,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility_calibrated10,S2,0.6579957930290157,0.4180778678724376,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility,S3,0.7430866121869517,0.41016866831508303,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility_calibrated10,S3,0.6631614875699908,0.3432974214058636,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility,S4,0.7166827497177496,0.5129669713003047,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility_calibrated10,S4,0.6991014450579537,0.37235449735449744,False,True,True,target_description_not_labels,0.1,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility,all,0.7079450422164915,0.47408312560043725,False,True,True,target_description_not_labels,,450
subject_heldout,invariant_mix_relative_conservative_listener_responsibility_calibrated10,all,0.6779603042441013,0.388686418419793,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility,Q1,0.7165894780820458,0.4785563303767212,False,True,True,target_description_not_labels,,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility_calibrated10,Q1,0.7040470907298365,0.3844451907311195,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility,Q2,0.7175437818073397,0.49896671415100025,False,True,True,target_description_not_labels,,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility_calibrated10,Q2,0.6953017692048991,0.4197548203286451,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility,Q3,0.705119017541452,0.4511522633744856,False,True,True,target_description_not_labels,,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility_calibrated10,Q3,0.6817482608123995,0.409156378600823,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility,S1,0.6853008749341274,0.4074394660713879,False,True,True,target_description_not_labels,,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility_calibrated10,S1,0.6440845350845219,0.3768023507437188,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility,S2,0.655790913601048,0.5587922001695615,False,True,True,target_description_not_labels,,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility_calibrated10,S2,0.6578391410179003,0.4175344014260559,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility,S3,0.7370976936609036,0.4205227834687389,False,True,True,target_description_not_labels,,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility_calibrated10,S3,0.6626489061575267,0.3470946661956905,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility,S4,0.7192188620854765,0.5222462722462723,False,True,True,target_description_not_labels,,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility_calibrated10,S4,0.698839028767232,0.3756413339746673,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility,all,0.705237231673199,0.4768108614083096,False,True,True,target_description_not_labels,,450
subject_heldout,future_cohort_relative_balanced_listener_responsibility_calibrated10,all,0.6777869616820451,0.39006130600010286,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_only_relative_balanced_listener_responsibility,Q1,0.7182643036661702,0.4770549771833824,False,True,True,target_description_not_labels,,450
subject_heldout,future_only_relative_balanced_listener_responsibility_calibrated10,Q1,0.704004756983747,0.387704707532447,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_only_relative_balanced_listener_responsibility,Q2,0.7167060826960485,0.5081759996789791,False,True,True,target_description_not_labels,,450
subject_heldout,future_only_relative_balanced_listener_responsibility_calibrated10,Q2,0.6949436735327948,0.4246102606287996,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_only_relative_balanced_listener_responsibility,Q3,0.7018601432281878,0.4709465020576132,False,True,True,target_description_not_labels,,450
subject_heldout,future_only_relative_balanced_listener_responsibility_calibrated10,Q3,0.6812265079470163,0.4127572016460906,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_only_relative_balanced_listener_responsibility,S1,0.6803529987283965,0.4288740575385527,False,True,True,target_description_not_labels,,450
subject_heldout,future_only_relative_balanced_listener_responsibility_calibrated10,S1,0.643606253595868,0.38907997539919364,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_only_relative_balanced_listener_responsibility,S2,0.6520134558945245,0.5644877285276407,False,True,True,target_description_not_labels,,450
subject_heldout,future_only_relative_balanced_listener_responsibility_calibrated10,S2,0.657589921270641,0.42427338536118786,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_only_relative_balanced_listener_responsibility,S3,0.7364975122872965,0.41639438361003184,False,True,True,target_description_not_labels,,450
subject_heldout,future_only_relative_balanced_listener_responsibility_calibrated10,S3,0.6628146141665584,0.3457258919109855,False,True,True,target_description_not_labels,0.1,450
subject_heldout,future_only_relative_balanced_listener_responsibility,S4,0.7205436383690077,0.5064935064935066,False,True,True,target_description_not_labels,,450
subject_heldout,future_only_relative_balanced_listener_responsibility_calibrated10,S4,0.6993162672762847,0.3693282026615361,False,True,True,target_description_not_labels,0.1,450
