split,feature_set,target,fold,pretext_cross_entropy,prior_cross_entropy,uniform_cross_entropy,ce_lift_vs_prior,ce_lift_vs_uniform,top1_match_rate,train_rows,validation_rows,uses_public_score,uses_train_labels_for_pretext,teacher_source,responsibility_blend
subject_heldout,current_relative_semantic_balanced,Q1,0.0,1.0320870887971583,1.0489403085595441,1.6094379124341003,0.01685321976238585,0.577350823636942,0.6444444444444445,360.0,90.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q1,1.0,1.0049496854623479,1.0450117680881066,1.6094379124341003,0.04006208262575872,0.6044882269717524,0.6966292134831461,361.0,89.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q1,2.0,1.0558729559495317,1.0691355018624573,1.6094379124341003,0.013262545912925638,0.5535649564845686,0.5888888888888889,360.0,90.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q1,3.0,1.011950701704754,1.0450921675253593,1.6094379124341003,0.03314146582060529,0.5974872107293463,0.6630434782608695,358.0,92.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q1,4.0,1.0159614847866876,1.0481410385716894,1.6094379124341003,0.03217955378500181,0.5934764276474127,0.6629213483146067,361.0,89.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q2,0.0,1.0012120427889406,1.037979359586293,1.6094379124341003,0.036767316797352345,0.6082258696451597,0.5555555555555556,360.0,90.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q2,1.0,1.004449942135311,1.0667459376359456,1.6094379124341003,0.06229599550063458,0.6049879702987893,0.6741573033707865,361.0,89.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q2,2.0,1.0361375417130205,1.0787254099730463,1.6094379124341003,0.04258786826002581,0.5733003707210798,0.5888888888888889,360.0,90.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q2,3.0,0.9909329664826911,1.037511005172554,1.6094379124341003,0.04657803868986288,0.6185049459514091,0.5869565217391305,358.0,92.0,False,False,transported_prototype_reliability,0.35
subject_heldout,current_relative_semantic_balanced,Q2,4.0,0.998552203054962,1.0435248808318935,1.6094379124341003,0.04497267777693159,0.6108857093791383,0.6741573033707865,361.0,89.0,False,False,transported_prototype_reliability,0.35
