route_id,row,subject_id,sleep_date,route_name,targets,n_cells,q2_cells,s_cells,route_score,route_score_sum,route_score_mean,mean_latent_hsjepa_score,mean_context_energy,mean_shortcut_energy,mean_public_score,mean_invariant_score,mean_cell_gain,sum_cell_gain,outside_h070_cells,outside_h069_cells,h068_overlap_cells,h069_overlap_cells,target_mask,target_indices,route_rank,novelty_rank,shortcut_avoid_rank,assignment_route_score,source_cells,h082_cells,h082_row,outside_h082_cells,route_source_action_sum,route_source_action_mean,route_source_posterior_sum,route_source_posterior_mean,route_source_count_mean,route_family_count_mean,route_source_consensus_mean,route_bad_same_mean,route_bad_opp_mean,route_h079_row,route_h080_score_mean,route_move_abs_mean,route_direction_consistency,route_h050_null_cells,route_action_score,dark_cells,dark_source_cells,dark_q2_cells,dark_source_action_sum,dark_source_posterior_sum,dark_family_count_mean,dark_bad_same_mean,dark_outside_h069_cells,dark_target_indices,dark_route_score
r021_nonq2_full,21,id01,2024-09-10,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,1.8317379022791311,3.1933971428571435,0.5322328571428573,0.5339553987070587,0.5850495238095238,0.3303690476190475,0.5006895238095238,0.5158971428571428,0.0002646829072899,0.0015880974437395,5,4,2,2,1011111,"0,2,3,4,5,6",0.832427536231884,0.8591485507246377,0.6947463768115942,0.7748958333333332,6,6,1,0,-3.556092818833996e-06,-5.926821364723326e-07,-0.0015734914219022308,-0.00026224857031703847,15.666666666666666,3.0,1.0,0.46195238095238095,0.5797142857142857,0.0,0.6161366666666668,0.051169946323625724,0.6666666666666666,0,0.73096240942029,6,6,0,-3.556092818833996e-06,-0.0015734914219022308,3.0,0.46195238095238095,4,"0,2,3,4,5,6",0.9424086021505377
r021_full_state,21,id01,2024-09-10,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,1.7314664612576576,3.4153685714285724,0.4879097959183675,0.5073250356172911,0.5650432653061224,0.3564755102040816,0.4884114285714286,0.5158971428571428,0.0002452909032488,0.0017170363227422,6,4,3,3,1111111,"0,1,2,3,4,5,6",0.7916666666666666,0.9026268115942028,0.6272644927536232,0.7495923913043478,6,6,1,1,-3.556092818833996e-06,-5.08013259833428e-07,-0.0015734914219022308,-0.00022478448884317583,13.428571428571429,2.5714285714285716,0.8571428571428571,0.48289795918367345,0.5365714285714286,0.0,0.4237987755102041,0.051169946323625724,0.6666666666666666,0,0.6978691123188406,7,6,1,-3.556092818833996e-06,-0.0015734914219022308,2.5714285714285716,0.48289795918367345,4,"0,1,2,3,4,5,6",0.9286594982078854
r102_full_state,102,id04,2024-10-25,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,1.2793589483320682,2.3264657142857144,0.3323522448979591,0.3123813621479033,0.4050073469387754,0.456234693877551,0.4492857142857143,0.2560971428571428,0.0007373587039461,0.0051615109276229,7,6,3,1,1111111,"0,1,2,3,4,5,6",0.5665760869565217,0.9891304347826086,0.4266304347826087,0.6261050724637681,6,5,1,2,-8.551332782696599e-06,-1.2216189689566569e-06,-0.0038847653192951737,-0.0005549664741850248,4.428571428571429,2.0,0.8571428571428571,0.5872244897959183,0.4027755102040816,0.0,0.3016395918367348,0.6220608412688506,0.8333333333333334,0,0.7417617753623186,7,6,1,-8.551332782696599e-06,-0.0038847653192951737,2.0,0.5872244897959183,6,"0,1,2,3,4,5,6",0.913057347670251
r021_q3_s_stage,21,id01,2024-09-10,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,1.669936165734759,2.592262857142858,0.5184525714285716,0.5155270569618174,0.5605554285714286,0.3589942857142857,0.4787291428571428,0.5158971428571428,0.0002326481530452,0.0011632407652264,5,4,1,1,11111,"2,3,4,5,6",0.7672101449275363,0.8591485507246377,0.6245471014492754,0.7215625,5,5,1,0,-2.3128168097833475e-06,-4.625633619566695e-07,-0.001151530373929031,-0.00023030607478580618,15.8,3.0,1.0,0.5186285714285714,0.5749714285714286,0.0,0.5981920000000001,0.0468364245912741,0.6,0,0.6670674818840582,5,5,0,-2.3128168097833475e-06,-0.001151530373929031,3.0,0.5186285714285714,4,"2,3,4,5,6",0.9098709677419354
r021_recovery_route,21,id01,2024-09-10,recovery_route,"Q1,S2,S3,S4",4,0,3,1.6385832094368291,2.2095914285714287,0.5523978571428572,0.5481069387382327,0.5854457142857142,0.3144249999999999,0.5179057142857143,0.5158971428571428,0.0002575651276743,0.0010302605106972,3,3,1,1,1000111,"0,4,5,6",0.7509057971014492,0.6632699275362319,0.7269021739130435,0.696508152173913,4,4,1,0,-2.9004532134162794e-06,-7.251133033540699e-07,-0.0010219965296388,-0.0002554991324097,16.0,3.0,1.0,0.4395,0.5572857142857143,0.0,0.6307121428571429,0.051614479357467526,0.75,0,0.6757721920289854,4,4,0,-2.9004532134162794e-06,-0.0010219965296388,3.0,0.4395,3,"0,4,5,6",0.907046594982079
r177_s_stage,177,id07,2024-08-28,s_stage,"S1,S2,S3,S4",4,0,4,1.325107866575886,1.6029171428571432,0.4007292857142858,0.3625780520019102,0.4240742857142857,0.4394607142857143,0.4502328571428571,0.3400171428571428,0.0004154003773426,0.0016616015093705,4,4,0,0,1111,"3,4,5,6",0.5878623188405797,0.8054800724637681,0.458786231884058,0.5899501811594202,4,4,1,0,-0.00033198557834135135,-8.299639458533784e-05,0.008504583422614051,0.0021261458556535127,10.0,2.5,1.0,0.5605,0.40014285714285713,1.0,0.5207342857142857,0.1223091903576373,0.75,0,0.7260258152173913,4,4,0,-0.00033198557834135135,0.008504583422614051,2.5,0.5605,4,"3,4,5,6",0.9017491039426523
r092_recovery_route,92,id04,2024-09-26,recovery_route,"Q1,S2,S3,S4",4,0,3,1.6861994951511148,2.399894285714286,0.5999735714285716,0.6151326530239472,0.6611800000000001,0.3105535714285714,0.5697671428571429,0.5188771428571428,0.0021517314591852,0.0086069258367411,2,3,1,1,1000111,"0,4,5,6",0.7744565217391305,0.5849184782608695,0.7377717391304348,0.7444565217391304,4,4,1,0,-2.1185919743760515e-06,-5.296479935940129e-07,-0.008565459750831362,-0.0021413649377078404,14.25,3.0,1.0,0.5426428571428571,0.38285714285714284,0.0,0.6331521428571429,0.11885435459820932,0.5,0,0.6658038949275362,4,4,0,-2.1185919743760515e-06,-0.008565459750831362,3.0,0.5426428571428571,3,"0,4,5,6",0.8986236559139785
r177_q3_s_stage,177,id07,2024-08-28,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,1.1322091131194232,1.55822,0.311644,0.292202485533246,0.3676228571428571,0.5005857142857143,0.3880342857142856,0.3400171428571428,0.0003330952930756,0.0016654764653783,5,5,1,0,11111,"2,3,4,5,6",0.463768115942029,0.9026268115942028,0.360054347826087,0.5142889492753624,5,5,1,0,-0.00033198762001003583,-6.639752400200717e-05,0.008501934590757307,0.0017003869181514615,8.8,2.2,1.0,0.5992571428571428,0.36228571428571427,1.0,0.4645582857142857,0.09834782774292451,0.6,0,0.700461956521739,5,5,0,-0.00033198762001003583,0.008501934590757307,2.2,0.5992571428571428,5,"2,3,4,5,6",0.8968924731182796
r021_s_stage,21,id01,2024-09-10,s_stage,"S1,S2,S3,S4",4,0,4,1.6247052451473147,2.107045714285715,0.5267614285714287,0.515475194859053,0.5416371428571428,0.35185,0.4711942857142857,0.5158971428571428,0.0001726366183966,0.0006905464735865,4,4,0,0,1111,"3,4,5,6",0.7459239130434783,0.8054800724637681,0.6372282608695652,0.6963088768115941,4,4,1,0,-1.8777754969948174e-06,-4.6944387424870436e-07,-0.0006820757708108309,-0.00017051894270270773,16.0,3.0,1.0,0.5164285714285713,0.5634285714285714,0.0,0.60102,0.04121870184555172,0.75,0,0.641075634057971,4,4,0,-1.8777754969948174e-06,-0.0006820757708108309,3.0,0.5164285714285713,4,"3,4,5,6",0.8928602150537633
r177_nonq2_full,177,id07,2024-08-28,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,1.0716037855303229,1.6608657142857144,0.2768109523809524,0.2644849225165824,0.3430971428571428,0.5289452380952381,0.3885466666666666,0.3400171428571428,0.0003715742749048,0.0022294456494289,6,5,2,1,1011111,"0,2,3,4,5,6",0.4243659420289855,0.9402173913043478,0.3251811594202898,0.4982699275362318,6,6,1,0,-0.00033207575118372095,-5.534595853062016e-05,0.008115087239757606,0.001352514539959601,8.0,2.0,1.0,0.6469999999999999,0.33790476190476193,1.0,0.4383761904761905,0.08834786770314478,0.5,0,0.6858718297101449,6,6,0,-0.00033207575118372095,0.008115087239757606,2.0,0.6469999999999999,5,"0,2,3,4,5,6",0.8903906810035843
