config_id,prior_kind,beta,n_samples,best_world_mae,top100_world_mae,p01_world_mae,p05_world_mae,median_world_mae,best_world_p90_abs,best_world_spearman,mean_row_vector_entropy,mean_max_vector_prob,config_score
global_b0.15,global,0.15,70000,0.00017536924004523167,0.0002609392709194651,0.0003799137457561083,0.0005104761112006259,0.0014083859025483276,0.00043104201890707,0.9218045112781955,3.8036309303738527,0.11100048779618382,0.00031211882016803793
global_b0.25,global,0.25,70000,0.00015817355321351987,0.00026977453534557546,0.0003888447715364323,0.0005184211333037714,0.0013951796083536763,0.0003692956051203646,0.9593984962406013,3.74080692874754,0.12108649382495824,0.0003144204459153806
subject_b0.15,subject,0.15,70000,0.00015240392765592924,0.00026837179269937364,0.00038622353002154536,0.0005127282388639813,0.0013956638132255827,0.000318249872227583,0.9052631578947368,3.7361084883838083,0.12388736851903495,0.0003149372328786684
subject_b0.25,subject,0.25,70000,0.00016045968013548252,0.00027175603162625414,0.0003924467543807822,0.0005191089931570246,0.0013740223245641346,0.0003710131250090375,0.9834586466165413,3.6159353970883377,0.14396327039882573,0.00031661186769970674
global_b0.4,global,0.4,70000,0.0001553217124557857,0.00027619401894918327,0.000409347655357978,0.0005406684752823162,0.0013921665443926987,0.00030193036849257153,0.9804511278195487,3.6347816170271545,0.13708202522058424,0.00031854567876434106
none_b0,none,0.0,70000,0.0001898886878621884,0.00026700839443689645,0.0003799168505026012,0.0005121923234173388,0.0014344885476215545,0.000500577639262028,0.9533834586466164,3.88242539076177,0.09749251559257664,0.0003238707476933052
subject_b0.4,subject,0.4,70000,0.000187188889024675,0.0002940761990967457,0.00042512667265450134,0.0005581156542198408,0.0013677751994696174,0.0003640678901030956,0.9413533834586465,3.4162419263517614,0.17506734629100806,0.0003471454871146052
global_b0.6,global,0.6,70000,0.00022897567608381317,0.00030456586541106006,0.0004352223522382913,0.0005704352365184592,0.001389772930668045,0.0004927002233521716,0.8857142857142858,3.478717916778275,0.16005834009475658,0.0003667605910844139
subject_b0.6,subject,0.6,70000,0.00019916689760552715,0.00033876090905642737,0.0004761944420185166,0.00060674655108203,0.0013764184421986227,0.0005968059632788559,0.9248120300751879,3.1416767455089016,0.21694256019810437,0.0003964277167574052
global_b0.85,global,0.85,70000,0.00021444881249993303,0.00034730346150911183,0.000489382994305083,0.000625424854755562,0.001409514025744353,0.0005120783212091328,0.9789473684210527,3.272715230914359,0.19068219726339897,0.0004034855430119719
subject_b0.85,subject,0.85,70000,0.0002592112601520982,0.0003848765627780271,0.0005313866430719809,0.0006589724549529369,0.0014232237630637525,0.00046689324441020715,0.9293233082706768,2.823784307067966,0.2669217775678825,0.0004579383428751295
global_b1.15,global,1.15,70000,0.0002946941438040315,0.0004110228132235369,0.0005604127474045564,0.0006975729832830742,0.0014380915823780098,0.0006330028449039335,0.9142857142857143,3.0243582750198885,0.23053715196857555,0.0004933090524864289
subject_b1.15,subject,1.15,70000,0.00032719714168457205,0.00044817545984911965,0.0005866750867001177,0.000717421367907726,0.0015422931077166985,0.0006743961611812074,0.9022556390977443,2.502845478284069,0.32206918098380766,0.0005415745847673421
