posterior_id,config_id,prior_kind,beta,method,temperature,top_k,weight_power,posterior_mae,posterior_p90_abs,posterior_spearman,best_world_mae,top100_world_mae,median_world_mae,ess,ess_rate,q_abs_shift_vs_h018,q_max_abs_shift_vs_h018,q_spearman_vs_h018,mean_max_vector_posterior,row_vector_kl_from_prior,posterior_score
none_b0_soft_t0.00012_p2,none_b0,none,0.0,soft,0.00012,0,2.0,1.2622920291682945e-05,2.3274024822686483e-05,0.9954887218045112,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,977.9534874533597,0.013970764106476567,0.010608997295338944,0.04467034966619965,0.9978361627040048,0.10093727147076947,0.04728288197173786,-2.5621721292961466e-05
none_b0_soft_t8e-05_p1.5,none_b0,none,0.0,soft,8e-05,0,1.5,1.328579078242161e-05,2.3511743812383928e-05,0.9909774436090225,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,668.5026059008989,0.009550037227155698,0.01284157355446834,0.05344185256305761,0.9968487954627078,0.10220145746843547,0.06533420788794257,-2.5612000430630647e-05
none_b0_top250_t0.0005,none_b0,none,0.0,topk,0.0005,250,1.0,1.5627924708289458e-05,3.0007255917815926e-05,0.9909774436090225,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,249.1998610572647,0.0035599980151037815,0.020861249073306977,0.10416181089836496,0.9919505870808366,0.10585374265308825,0.21202410071697966,-2.4853858685940255e-05
none_b0_top250_t0.00025,none_b0,none,0.0,topk,0.00025,250,1.0,1.558879023621073e-05,3.0496858396533234e-05,0.9849624060150375,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,246.59237349322942,0.00352274819276042,0.02096405438453639,0.10095739076731025,0.9918657004000038,0.10611805546205064,0.2131856532925009,-2.4571113159072023e-05
none_b0_elite250,none_b0,none,0.0,elite,0.0,250,1.0,1.5697781551164605e-05,3.087039874652198e-05,0.9909774436090225,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,250.0,0.0035714285714285713,0.020827854328126397,0.10694311722175542,0.9919724125859956,0.10564800000000002,0.2117649677787349,-2.4554858237816358e-05
none_b0_top250_t0.00012,none_b0,none,0.0,topk,0.00012,250,1.0,1.5629082030088267e-05,3.222236788155667e-05,0.9849624060150375,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,233.4222178428829,0.0033346031120411843,0.021540780535835226,0.09626768914451767,0.9914001659984145,0.10698419244075585,0.21960035419917306,-2.433013445445816e-05
none_b0_top1000_t0.00012,none_b0,none,0.0,topk,0.00012,1000,1.0,1.2823042784466683e-05,2.905601373737709e-05,0.9954887218045112,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,856.154361973623,0.012230776599623187,0.01129654483426014,0.04902072373109756,0.9975900904431614,0.10106634794755184,0.06387546939926783,-2.4251120587073552e-05
none_b0_top2500_t0.00012,none_b0,none,0.0,topk,0.00012,2500,1.0,1.23848485644628e-05,2.745362975060204e-05,0.9954887218045112,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,1888.3703104162676,0.026976718720232395,0.0076991538255840606,0.03616033837276689,0.9988360789553752,0.09941983449051082,0.029150197843832937,-2.3650954400300766e-05
none_b0_top500_t0.00012,none_b0,none,0.0,topk,0.00012,500,1.0,1.4501654162946652e-05,3.1084727742777474e-05,0.9909774436090225,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,451.3291473851798,0.0064475592483597115,0.01544008065295247,0.07315082713246557,0.9954203687154843,0.10377795444815255,0.1190340183812103,-2.354229390690087e-05
none_b0_top1000_t0.00025,none_b0,none,0.0,topk,0.00025,1000,1.0,1.2720994030160186e-05,3.187556940178523e-05,0.9954887218045112,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,969.5363063591824,0.013850518662274033,0.010646019955201211,0.04528749693473588,0.9978788422495355,0.1006071319296868,0.05819318020065112,-2.3388070473654443e-05
none_b0_top1000_t0.0005,none_b0,none,0.0,topk,0.0005,1000,1.0,1.2799918337824853e-05,3.2858438191735355e-05,0.9954887218045112,0.0001898886878621884,0.00026700839443689645,0.0014344885476215545,992.854820274519,0.014183640289635986,0.010548680604097423,0.04458081404749936,0.9979271664571144,0.10051064561280643,0.05717348889657352,-2.302449322806073e-05
