rowweighted_delta_vs_h012,uniform_delta_vs_h012,row_beats_rate,row_p90_delta,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h018,max_abs_prob_delta_vs_h018,h018_rowweighted_delta_vs_h012,h019_rowweighted_delta_vs_h012,h020_decision,decision_rank,file
-0.0011054554959945189,-0.001067146043754436,1.0,-0.00040038138634108407,combined_all_k1750_a1,combined,all,1750,1.0,250,1750,0.015251317152706886,0.12328370558887525,0.010608997295338941,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1750_a1_4e9832a3.csv
-0.0011054554959945189,-0.001067146043754436,1.0,-0.00040038138634108407,gain_all_k1750_a1,gain,all,1750,1.0,250,1750,0.015251317152706886,0.12328370558887525,0.010608997295338941,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1750_a1_4e9832a3.csv
-0.0011054554959945189,-0.001067146043754436,1.0,-0.00040038138634108407,shift_all_k1750_a1,shift,all,1750,1.0,250,1750,0.015251317152706886,0.12328370558887525,0.010608997295338941,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_shift_all_k1750_a1_4e9832a3.csv
-0.0011054554959945189,-0.001067146043754436,1.0,-0.00040038138634108407,move_all_k1750_a1,move,all,1750,1.0,250,1750,0.015251317152706886,0.12328370558887525,0.010608997295338941,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1750_a1_4e9832a3.csv
-0.001105076195977407,-0.0010667573188905177,1.0,-0.00039944753527403607,gain_all_k1600_a1,gain,all,1600,1.0,250,1600,0.015150398219969398,0.12328370558887525,0.01061175643896671,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1600_a1_4117e18a.csv
-0.0011050577272605615,-0.0010667369214110423,1.0,-0.00039944753527403607,move_all_k1600_a1,move,all,1600,1.0,250,1600,0.015145140909991408,0.12328370558887525,0.010609511799723383,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1600_a1_812f9a89.csv
-0.0011035609456499014,-0.001065030593049191,1.0,-0.00039607031349902974,combined_all_k1600_a1,combined,all,1600,1.0,250,1600,0.015038559712362903,0.12328370558887525,0.010706236830658897,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1600_a1_ffa79e25.csv
-0.0010983052754013846,-0.0010599798703254198,0.996,-0.00039117888476884516,gain_all_k1300_a1,gain,all,1300,1.0,249,1300,0.014569064046766401,0.12328370558887525,0.010654627164742168,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1300_a1_1bc979cc.csv
-0.0010963084132371722,-0.0010577134577635311,1.0,-0.0003949899907727641,move_all_k1300_a1,move,all,1300,1.0,250,1300,0.014382054518496563,0.12328370558887525,0.010688341332052728,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1300_a1_139c6685.csv
-0.0010905663126062443,-0.0010511316387164123,1.0,-0.0003465927623433158,combined_all_k1300_a1,combined,all,1300,1.0,250,1300,0.01421900607978759,0.12328370558887525,0.011085254976656064,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1300_a1_47971a9a.csv
-0.0010549723860840828,-0.0010230444122788296,1.0,-0.00036292639385005415,shift_all_k1600_a1,shift,all,1600,1.0,250,1600,0.014629017206415022,0.12328370558887525,0.01118268729565822,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_shift_all_k1600_a1_0c328847.csv
-0.0010401888598444064,-0.0010037780768917196,1.0,-0.00037564542365361113,combined_all_k1750_a1.25,combined,all,1750,1.25,250,1750,0.018980885588362844,0.1528531517928886,0.013468354655791204,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1750_a1.25_49b60354.csv
-0.0010401888598444064,-0.0010037780768917196,1.0,-0.00037564542365361113,gain_all_k1750_a1.25,gain,all,1750,1.25,250,1750,0.018980885588362844,0.1528531517928886,0.013468354655791204,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1750_a1.25_49b60354.csv
-0.0010401888598444064,-0.0010037780768917196,1.0,-0.00037564542365361113,shift_all_k1750_a1.25,shift,all,1750,1.25,250,1750,0.018980885588362844,0.1528531517928886,0.013468354655791204,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_shift_all_k1750_a1.25_49b60354.csv
-0.0010401888598444064,-0.0010037780768917196,1.0,-0.00037564542365361113,move_all_k1750_a1.25,move,all,1750,1.25,250,1750,0.018980885588362844,0.1528531517928886,0.013468354655791204,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1750_a1.25_49b60354.csv
-0.0010398332671728106,-0.0010034136478024522,1.0,-0.00037500668647189934,gain_all_k1600_a1.25,gain,all,1600,1.25,250,1600,0.01885473695926261,0.1528531517928886,0.0134708420689936,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1600_a1.25_87fac475.csv
-0.0010398159500364934,-0.0010033945227860515,1.0,-0.00037500668647189934,move_all_k1600_a1.25,move,all,1600,1.25,250,1600,0.018848167191246396,0.1528531517928886,0.013468038148571587,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1600_a1.25_d58e7163.csv
-0.0010389540431052504,-0.0010026855655048358,1.0,-0.0003755326656356745,combined_all_k1750_a0.75,combined,all,1750,0.75,250,1750,0.011490653169710855,0.09299138979406657,0.008410024963167888,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1750_a0.75_49682f7b.csv
-0.0010389540431052504,-0.0010026855655048358,1.0,-0.0003755326656356745,gain_all_k1750_a0.75,gain,all,1750,0.75,250,1750,0.011490653169710855,0.09299138979406657,0.008410024963167888,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1750_a0.75_49682f7b.csv
-0.0010389540431052504,-0.0010026855655048358,1.0,-0.0003755326656356745,shift_all_k1750_a0.75,shift,all,1750,0.75,250,1750,0.011490653169710855,0.09299138979406657,0.008410024963167888,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_shift_all_k1750_a0.75_49682f7b.csv
-0.0010389540431052504,-0.0010026855655048358,1.0,-0.0003755326656356745,move_all_k1750_a0.75,move,all,1750,0.75,250,1750,0.011490653169710855,0.09299138979406657,0.008410024963167888,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1750_a0.75_49682f7b.csv
