route,n,jackpot,local_only,best_local_worst,best_local_mean,best_selector_mean,best_selector_p90,best_jackpot_score
objective_mobility_s1down_s4up,21,1,3,-0.0077033334611404936,-0.01771350691667123,-0.01257996695167641,0.0007019366466662883,-1.7236934751437607
intervention_mobility_q2up_s4up,18,0,9,-0.009432542539982047,-0.022537961410542373,-0.004270573584044822,0.0013944361136442609,-1.8885886454627259
subjective_intervention_q1down_q2up_s4up,22,0,6,-0.007623831892361821,-0.01922686201847401,-0.0006123282379443515,0.0016562370740775337,-1.7685065966473439
drain_route_q1down_s1down_s4up,22,0,5,-0.007973680230328517,-0.01726449013945275,-0.0016228962859810502,0.0009877351028531767,-1.683061844291512
mobility_core_q2up_s1down_s4up,15,0,2,-0.006702003200574569,-0.016552185270436448,-0.019412641165671877,0.0029326463715406313,-1.5618943065868538
