candidate_id,route,op,score_signal,strength,group,k,reverse,targets,file,basename,changed_rows,changed_cells,mean_abs_prob_delta,max_abs_prob_delta,mean_Q2_before,mean_Q2_after,mean_S4_before,mean_S4_after,mean_Q1_before,mean_Q1_after,mean_S1_before,mean_S1_after
intervention_mobility_q2up_s4up_target_delta_pos_global_s0.4,intervention_mobility_q2up_s4up,quantile,target_delta_pos,0.4,global,0,False,"Q2,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_target_delta_pos_global_s0_4_46426076.csv,submission_h010_intervention_mobility_q2up_s4up_target_delta_pos_global_s0_4_46426076.csv,250,499,0.09033688855191642,0.3304647441728523,0.5486605446144907,0.5507439265701758,0.5654989620215859,0.5759041658852637,,,,
intervention_mobility_q2up_s4up_target_delta_pos_global_s0.25,intervention_mobility_q2up_s4up,quantile,target_delta_pos,0.25,global,0,False,"Q2,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_target_delta_pos_global_s0_25_1602b118.csv,submission_h010_intervention_mobility_q2up_s4up_target_delta_pos_global_s0_25_1602b118.csv,250,499,0.05465290865026412,0.19043446918439072,0.5486605446144907,0.5501653338965058,0.5654989620215859,0.5734597249315465,,,,
intervention_mobility_q2up_s4up_teacher_rank_global_s0.25,intervention_mobility_q2up_s4up,quantile,teacher_rank,0.25,global,0,False,"Q2,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_teacher_rank_global_s0_25_194f94c0.csv,submission_h010_intervention_mobility_q2up_s4up_teacher_rank_global_s0_25_194f94c0.csv,250,499,0.05022541286250741,0.1837935350387847,0.5486605446144907,0.5502227340401326,0.5654989620215859,0.5702218861001982,,,,
drain_route_q1down_s1down_s4up_teacher_rank_subject_s0.6,drain_route_q1down_s1down_s4up,quantile,teacher_rank,0.6,subject,0,False,"Q1,S1,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_drain_route_q1down_s1down_s4up_teacher_rank_subject_s0_6_8283944e.csv,submission_h010_drain_route_q1down_s1down_s4up_teacher_rank_subject_s0_6_8283944e.csv,250,710,0.08874860282061216,0.45252035430620485,,,0.5654989620215859,0.5659722275619445,0.4951471199280472,0.4931423869539788,0.6601210606347063,0.6652400300212951
objective_mobility_s1down_s4up_teacher_rank_subject_s0.6,objective_mobility_s1down_s4up,quantile,teacher_rank,0.6,subject,0,False,"S1,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_objective_mobility_s1down_s4up_teacher_rank_subject_s0_6_9906125b.csv,submission_h010_objective_mobility_s1down_s4up_teacher_rank_subject_s0_6_9906125b.csv,249,479,0.07861270616233763,0.4129758009094331,,,0.5654989620215859,0.5659722275619445,,,0.6601210606347063,0.6652400300212951
subjective_intervention_q1down_q2up_s4up_target_delta_pos_subject_s0.6,subjective_intervention_q1down_q2up_s4up,quantile,target_delta_pos,0.6,subject,0,False,"Q1,Q2,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_subjective_intervention_q1down_q2up_s4up_target_delta_pos_subject_s0_6_6449aaca.csv,submission_h010_subjective_intervention_q1down_q2up_s4up_target_delta_pos_subject_s0_6_6449aaca.csv,250,699,0.04806984478760188,0.24065817852765503,0.5486605446144907,0.548936319415868,0.5654989620215859,0.5660734744193909,0.4951471199280472,0.4959082306129866,,
drain_route_q1down_s1down_s4up_teacher_rank_subject_s0.85,drain_route_q1down_s1down_s4up,quantile,teacher_rank,0.85,subject,0,False,"Q1,S1,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_drain_route_q1down_s1down_s4up_teacher_rank_subject_s0_85_c6b1a589.csv,submission_h010_drain_route_q1down_s1down_s4up_teacher_rank_subject_s0_85_c6b1a589.csv,250,710,0.12585393152661917,0.657233679023711,,,0.5654989620215859,0.5657582937402527,0.4951471199280472,0.4939941004511058,0.6601210606347063,0.6627198064491295
intervention_mobility_q2up_s4up_teacher_rank_global_s0.4,intervention_mobility_q2up_s4up,quantile,teacher_rank,0.4,global,0,False,"Q2,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_teacher_rank_global_s0_4_e2cf6d6a.csv,submission_h010_intervention_mobility_q2up_s4up_teacher_rank_global_s0_4_e2cf6d6a.csv,250,499,0.0822382815168651,0.31728633880502133,0.5486605446144907,0.5506184243879455,0.5654989620215859,0.5718704405114665,,,,
subjective_intervention_q1down_q2up_s4up_teacher_rank_subject_s0.6,subjective_intervention_q1down_q2up_s4up,quantile,teacher_rank,0.6,subject,0,False,"Q1,Q2,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_subjective_intervention_q1down_q2up_s4up_teacher_rank_subject_s0_6_21a83aed.csv,submission_h010_subjective_intervention_q1down_q2up_s4up_teacher_rank_subject_s0_6_21a83aed.csv,250,710,0.06707059399512243,0.45252035430620485,0.5486605446144907,0.5489855678726928,0.5654989620215859,0.5659722275619445,0.4951471199280472,0.4931423869539788,,
drain_route_q1down_s1down_s4up_target_delta_pos_subject_s0.6,drain_route_q1down_s1down_s4up,quantile,target_delta_pos,0.6,subject,0,False,"Q1,S1,S4",hitl/h010_mobility_route_triad_jackpot/submission_h010_drain_route_q1down_s1down_s4up_target_delta_pos_subject_s0_6_c1c0cc77.csv,submission_h010_drain_route_q1down_s1down_s4up_target_delta_pos_subject_s0_6_c1c0cc77.csv,249,673,0.04305517879067444,0.24065817852765503,,,0.5654989620215859,0.5660734744193909,0.4951471199280472,0.4959082306129866,0.6601210606347063,0.6620389582822034
