file,basename,changed_rows_vs_current,changed_cells_vs_current,mean_abs_logit_delta_vs_current,l1_logit_delta_vs_current,max_abs_logit_delta_vs_current,max_abs_prob_delta_vs_current,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4
hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_teacher_rank_subject_s0_25_ec065b62.csv,submission_h010_intervention_mobility_q2up_s4up_teacher_rank_subject_s0_25_ec065b62.csv,250,479,0.02478995199251424,43.382415986899915,0.41825369515726096,0.10416537894994948,0,237,0,0,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_human_state_subject_s0_25_8774fba7.csv,submission_h010_intervention_mobility_q2up_s4up_human_state_subject_s0_25_8774fba7.csv,250,485,0.025208348084805907,44.11460914841034,0.41825369515726096,0.10416537894994948,0,243,0,0,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_target_delta_pos_subject_s0_25_9c18d014.csv,submission_h010_intervention_mobility_q2up_s4up_target_delta_pos_subject_s0_25_9c18d014.csv,249,481,0.02884234268487612,50.47409969853321,0.416510011262735,0.1037417090412065,0,239,0,0,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_objective_mobility_s1down_s4up_target_delta_pos_subject_s0_25_4a15b3a8.csv,submission_h010_objective_mobility_s1down_s4up_target_delta_pos_subject_s0_25_4a15b3a8.csv,247,455,0.030002293534636165,52.50401368561329,0.422995040680997,0.1037417090412065,0,0,0,213,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_teacher_rank_subject_s0_4_6fab5960.csv,submission_h010_intervention_mobility_q2up_s4up_teacher_rank_subject_s0_4_6fab5960.csv,250,479,0.039663923188022795,69.4118655790399,0.6692059122516176,0.16536673813746683,0,237,0,0,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_subjective_intervention_q1down_q2up_s4up_target_delta_pos_subject_s0_25_626d2a9d.csv,submission_h010_subjective_intervention_q1down_q2up_s4up_target_delta_pos_subject_s0_25_626d2a9d.csv,250,699,0.040055511236105394,70.09714466318444,0.416510011262735,0.1037417090412065,218,239,0,0,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_human_state_subject_s0_4_34b27fab.csv,submission_h010_intervention_mobility_q2up_s4up_human_state_subject_s0_4_34b27fab.csv,250,485,0.040333356935689436,70.58337463745652,0.6692059122516176,0.16536673813746683,0,243,0,0,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_drain_route_q1down_s1down_s4up_target_delta_pos_subject_s0_25_4748f6cc.csv,submission_h010_drain_route_q1down_s1down_s4up_target_delta_pos_subject_s0_25_4748f6cc.csv,249,673,0.04121546208586544,72.12705865026452,0.422995040680997,0.1037417090412065,218,0,0,213,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_intervention_mobility_q2up_s4up_target_delta_pos_subject_s0_4_0a1b0441.csv,submission_h010_intervention_mobility_q2up_s4up_target_delta_pos_subject_s0_4_0a1b0441.csv,249,481,0.046147748295801795,80.75855951765314,0.6664160180203759,0.16464459170346424,0,239,0,0,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_objective_mobility_s1down_s4up_target_delta_pos_subject_s0_4_a8e82354.csv,submission_h010_objective_mobility_s1down_s4up_target_delta_pos_subject_s0_4_a8e82354.csv,247,455,0.04800366965541787,84.00642189698128,0.6767920650895967,0.16464459170346424,0,0,0,213,0,0,242
hitl/h010_mobility_route_triad_jackpot/submission_h010_objective_mobility_s1down_s4up_human_state_subject_s0_25_67f79c6f.csv,submission_h010_objective_mobility_s1down_s4up_human_state_subject_s0_25_67f79c6f.csv,250,484,0.04859804598164639,85.04658046788118,0.8170327846693914,0.1982384042325182,0,0,0,242,0,0,242
