feature_set,alpha,n_x_features,loo_mae,loo_rmse,loo_spearman,loo_pair_acc,full_fit_mae,rank_score,perm_p
state_context,10.0,120,0.0004230232054772577,0.0005885581233384465,0.9784736043441951,0.9527272727272728,0.00028007869218515957,0.0004185360914542301,0.0
state_core,10.0,105,0.00045770621811257666,0.0006233499084671824,0.9776038500292226,0.9490909090909091,0.00027938895865842894,0.0004696169282835229,1.0
state_context,3.0,120,0.0004310619569825351,0.0007106496948693092,0.9802131129741404,0.9527272727272728,0.00018799298293620758,0.00048134209928540114,1.0
state_context,30.0,120,0.0005060486364160415,0.0006448659790335392,0.9784736043441951,0.9527272727272728,0.000413062590117453,0.0005269000574558057,1.0
state_core,30.0,105,0.0005190280995328055,0.0006517496256365225,0.9767340957142499,0.9490909090909091,0.00040088747951544943,0.0005438056578614521,1.0
state_context,1.0,120,0.0004584157209720891,0.0008168539650143445,0.9802131129741404,0.9527272727272728,0.00012985497836685885,0.0005564877848402208,1.0
state_core,3.0,105,0.0004816382972021465,0.0007651630854501096,0.9793433586591676,0.9490909090909091,0.00019132765286843,0.0005571909861524155,1.0
target_only,30.0,59,0.0005412989126256715,0.0006961421757331817,0.9784736043441951,0.9527272727272728,0.0004387910371019919,0.0005852246221802747,1.0
target_only,10.0,59,0.0005262098790923919,0.0007477421860836521,0.9749945870843046,0.9490909090909091,0.00031088744241202713,0.0005943580404852414,1.0
state_context,0.3,120,0.0004710689287190086,0.0008721937695655378,0.9715155698244141,0.9381818181818182,7.747923150875269e-05,0.0005975318407683318,1.0
state_context,0.1,120,0.0004806265100510411,0.0008763894219542711,0.9662970439345784,0.9236363636363636,4.2649358151716656e-05,0.0006121175000824598,1.0
state_core,1.0,105,0.0005211765294103557,0.000890007671722141,0.9706458155094415,0.9345454545454546,0.00013262251555590875,0.0006563972183161931,1.0
state_context,0.03,120,0.0005121095853758033,0.0009398488223156105,0.9689063068794963,0.9309090909090909,2.4157791756240234e-05,0.0006705872883662421,1.0
state_core,0.1,105,0.0005221466526240311,0.0009530916487653984,0.9610785180447428,0.92,3.811986053149771e-05,0.0006893300427639861,1.0
state_core,0.03,105,0.0005244085958563345,0.0009789275498245837,0.9619482723597155,0.92,2.007562560160745e-05,0.0007031311660414257,1.0
state_core,0.3,105,0.000534124480943312,0.0009583191158757592,0.9593390094147974,0.9163636363636364,7.577528755023811e-05,0.0007044887276004693,1.0
state_core,100.0,105,0.0006637657833475398,0.0008279073828220412,0.9784736043441951,0.9527272727272728,0.0005748660274301973,0.0007669858360921296,1.0
target_conflict,30.0,47,0.0006531545424247476,0.0008467628103637515,0.9715155698244141,0.9418181818181818,0.00046680034993649907,0.0007675189773787216,1.0
state_core,0.01,105,0.0005448696405425088,0.0011124905596112018,0.961513395202229,0.9309090909090909,1.2489234987747146e-05,0.0007817754164836902,1.0
target_only,3.0,59,0.000573592212054602,0.0010739831439012073,0.9741248327693319,0.9454545454545454,0.0002196818782784207,0.0007892903253513939,1.0
state_context,100.0,120,0.0006807914634979535,0.0008521896553336638,0.9793433586591676,0.9527272727272728,0.0005969187946606222,0.0007948515634412763,1.0
target_conflict,10.0,47,0.000638310574427981,0.0009946769759083224,0.9732550784543594,0.9454545454545454,0.00033506645611007757,0.0008184078875594718,1.0
target_only,100.0,59,0.0006953867137279463,0.0008844710636670308,0.9749945870843046,0.9490909090909091,0.0006260020252528253,0.0008250628700333161,1.0
state_context,0.01,120,0.0005754302886170495,0.001162275690181612,0.9706458155094415,0.9381818181818182,1.666069406862178e-05,0.0008325170403751035,1.0
target_conflict,100.0,47,0.000753151611275781,0.0009535924051380841,0.9732550784543594,0.9454545454545454,0.0006577716978941866,0.0009147608675606647,1.0
target_only,1.0,59,0.000587547607946691,0.0013285550319731096,0.9784736043441951,0.9490909090909091,0.0001562635391327685,0.0009167136482638073,1.0
target_only,0.3,59,0.0005840249227875343,0.0014804099690699268,0.9715155698244141,0.9381818181818182,9.832738266355252e-05,0.0009841851246138325,1.0
state_core,0.003,105,0.000621526014653978,0.0013956402122167636,0.9562948693123933,0.9272727272727272,7.252886337275619e-06,0.0009870255323111913,1.0
target_conflict,3.0,47,0.0006700307900307798,0.0013131589128345224,0.9732550784543594,0.9454545454545454,0.00023166278103287278,0.0009934449747790606,1.0
state_context,0.003,120,0.0006344560764220771,0.0014839034582702518,0.9745597099268184,0.9454545454545454,1.0346134079707532e-05,0.0010345748434691905,1.0
target_only,0.1,59,0.0006072698592772597,0.001574738698290874,0.9671667982495511,0.9309090909090909,5.651764583905714e-05,0.0010516219573195615,1.0
state_context,0.001,120,0.0006646528163988542,0.001540778786374682,0.9762992185567636,0.9454545454545454,5.962341032860606e-06,0.0010901915302299666,1.0
target_conflict,1.0,47,0.0006758998626534939,0.0015311485552105114,0.9784736043441951,0.9490909090909091,0.00016805464083483556,0.0010962329884274407,1.0
target_conflict,0.3,47,0.0006667777042661456,0.0016858608170832695,0.9680365525645237,0.9345454545454546,0.00011147451323943891,0.0011603932348789828,1.0
state_core,0.001,105,0.000709078841851701,0.0016429685636561405,0.9562948693123933,0.9236363636363636,3.795296524648816e-06,0.0011865306631111793,1.0
target_only,0.03,59,0.0006641170324302085,0.0017523105289145218,0.9632529038321742,0.9236363636363636,3.133794493969249e-05,0.0011900769346039803,1.0
target_conflict,0.01,47,0.000734402665882409,0.0016314747339159575,0.8554033687755697,0.8581818181818182,2.8360901085848467e-05,0.0012285532319943058,1.0
target_conflict,0.001,47,0.0007673416919103604,0.0015457430431708693,0.8162644246018018,0.8363636363636363,1.3964931333042613e-05,0.0012307541643316166,1.0
target_conflict,0.03,47,0.000711859548363134,0.0017038170959356848,0.8928028043193923,0.88,4.0459818215229254e-05,0.0012308969611022529,1.0
target_conflict,0.003,47,0.0007566559653986992,0.00159272822018966,0.8449663169958982,0.8545454545454545,1.9721494351612014e-05,0.0012350688509662746,1.0
target_conflict,0.1,47,0.0007192144137473863,0.001746800969496636,0.952815852052503,0.9127272727272727,6.806834438867215e-05,0.001245702355724713,1.0
target_only,0.01,59,0.0007487365565564874,0.002080591039400016,0.9597738865722838,0.9236363636363636,2.0575427673583395e-05,0.0014227705901747206,1.0
