candidate_id,mode,file,basename,weight,cap,top_k,changed_rows,changed_cells,mean_abs_logit_move,l1_logit_move,max_abs_logit_move,max_abs_prob_delta,move_mean,selected_raw_delta_mean,selected_mobility_rank_mean,selected_low_energy_mean
full_logit_blend_w0p015,full_blend,hitl/h008_s4_latent_column_translator/submission_h008_full_logit_blend_w0p015_0dcd5e48.csv,submission_h008_full_logit_blend_w0p015_0dcd5e48.csv,0.015,0.08,250,250,250,0.00869377340375143,2.1734433509378577,0.03775872142931123,0.007877344725033597,-0.003598023358371055,-0.23986822389140372,0.5170747826086957,0.501
full_logit_blend_w0p025,full_blend,hitl/h008_s4_latent_column_translator/submission_h008_full_logit_blend_w0p025_1abf6cae.csv,submission_h008_full_logit_blend_w0p025_1abf6cae.csv,0.025,0.08,250,250,250,0.014489622339585718,3.6224055848964296,0.06293120238218539,0.013128433753150148,-0.005996705597285093,-0.23986822389140372,0.5170747826086957,0.501
full_logit_blend_w0p04,full_blend,hitl/h008_s4_latent_column_translator/submission_h008_full_logit_blend_w0p04_704ab61d.csv,submission_h008_full_logit_blend_w0p04_704ab61d.csv,0.04,0.08,250,250,250,0.022999100409185468,5.7497751022963675,0.08,0.01999555482394838,-0.009410433621504467,-0.23986822389140372,0.5170747826086957,0.501
full_logit_blend_w0p065,full_blend,hitl/h008_s4_latent_column_translator/submission_h008_full_logit_blend_w0p065_62ea8f37.csv,submission_h008_full_logit_blend_w0p065_62ea8f37.csv,0.065,0.08,250,250,250,0.0351605213788839,8.790130344720975,0.08,0.01999555482394838,-0.013448975395472186,-0.23986822389140372,0.5170747826086957,0.501
full_logit_blend_w0p09,full_blend,hitl/h008_s4_latent_column_translator/submission_h008_full_logit_blend_w0p09_094917ab.csv,submission_h008_full_logit_blend_w0p09_094917ab.csv,0.09,0.08,250,250,250,0.04401523833744637,11.003809584361592,0.08,0.01999555482394838,-0.015413282816252268,-0.23986822389140372,0.5170747826086957,0.501
pos_consensus_top40_w0p06_cap0p02,pos_consensus,hitl/h008_s4_latent_column_translator/submission_h008_pos_consensus_top40_w0p06_cap0p02_3b6dcb31.csv,submission_h008_pos_consensus_top40_w0p06_cap0p02_3b6dcb31.csv,0.06,0.02,40,35,35,0.0023393984255628483,0.584849606390712,0.02,0.004992809005958776,0.0023393984255628483,0.5361011910567247,0.8419627329192547,0.6962571428571429
pos_consensus_top60_w0p06_cap0p02,pos_consensus,hitl/h008_s4_latent_column_translator/submission_h008_pos_consensus_top60_w0p06_cap0p02_f5b53b78.csv,submission_h008_pos_consensus_top60_w0p06_cap0p02_f5b53b78.csv,0.06,0.02,60,47,47,0.003106438162087566,0.7766095405218915,0.02,0.0049965165760503805,0.003106438162087566,0.5162904656471883,0.8024051803885291,0.6885319148936171
pos_consensus_top80_w0p05_cap0p018,pos_consensus,hitl/h008_s4_latent_column_translator/submission_h008_pos_consensus_top80_w0p05_cap0p018_68342464.csv,submission_h008_pos_consensus_top80_w0p05_cap0p018_68342464.csv,0.05,0.018,80,57,57,0.003272670490352575,0.8181676225881438,0.018,0.004496988883351483,0.003272670490352575,0.49895154982963486,0.7784744469870329,0.667701754385965
pos_consensus_top120_w0p04_cap0p015,pos_consensus,hitl/h008_s4_latent_column_translator/submission_h008_pos_consensus_top120_w0p04_cap0p015_d217451c.csv,submission_h008_pos_consensus_top120_w0p04_cap0p015_d217451c.csv,0.04,0.015,120,75,75,0.0035337404454930245,0.8834351113732561,0.015,0.0037488841614138346,0.0035337404454930245,0.4937807045891084,0.7257391304347827,0.6109466666666667
lowenergy_signed_top60_w0p07_cap0p02,lowenergy_signed,hitl/h008_s4_latent_column_translator/submission_h008_lowenergy_signed_top60_w0p07_cap0p02_392260e9.csv,submission_h008_lowenergy_signed_top60_w0p07_cap0p02_392260e9.csv,0.07,0.02,60,60,60,0.004260108963699578,1.0650272409248944,0.02,0.004999459210597967,-0.0005994829175602998,-0.12651639369551718,0.8343333333333334,0.8358666666666666
