variant,family,file,basename,q2_scale,s1_scale,gate,q2_gate_rows,s1_gate_rows
h001_control_e247_identity,h001_control,hitl/h001_e247locked_q2s1_transplant/submission_h001_control_e247_identity_2b454b90.csv,submission_h001_control_e247_identity_2b454b90.csv,0.0,0.0,identity,,
h001_control_e365_body,h001_control,hitl/h001_e247locked_q2s1_transplant/submission_h001_control_e365_body_84dae3ad.csv,submission_h001_control_e365_body_84dae3ad.csv,,,control_body,,
h001_control_e368_public_file,h001_control,hitl/h001_e247locked_q2s1_transplant/submission_h001_control_e368_public_file_33882436.csv,submission_h001_control_e368_public_file_33882436.csv,,,control_body_action,,
h001_e247locked_all_q20p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s10p5_50ca1ab6.csv,submission_h001_e247locked_all_q20p0_s10p5_50ca1ab6.csv,0.0,0.5,all,250.0,250.0
h001_e247locked_all_q20p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s10p75_336b448a.csv,submission_h001_e247locked_all_q20p0_s10p75_336b448a.csv,0.0,0.75,all,250.0,250.0
h001_e247locked_all_q20p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s11p0_bd7c96e6.csv,submission_h001_e247locked_all_q20p0_s11p0_bd7c96e6.csv,0.0,1.0,all,250.0,250.0
h001_e247locked_all_q20p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s11p06_87992fe1.csv,submission_h001_e247locked_all_q20p0_s11p06_87992fe1.csv,0.0,1.06,all,250.0,250.0
h001_e247locked_all_q20p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s11p25_3195fe97.csv,submission_h001_e247locked_all_q20p0_s11p25_3195fe97.csv,0.0,1.25,all,250.0,250.0
h001_e247locked_all_q20p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s10p0_648c638f.csv,submission_h001_e247locked_all_q20p25_s10p0_648c638f.csv,0.25,0.0,all,250.0,250.0
h001_e247locked_all_q20p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s10p5_2d71be13.csv,submission_h001_e247locked_all_q20p25_s10p5_2d71be13.csv,0.25,0.5,all,250.0,250.0
h001_e247locked_all_q20p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s10p75_888f287b.csv,submission_h001_e247locked_all_q20p25_s10p75_888f287b.csv,0.25,0.75,all,250.0,250.0
h001_e247locked_all_q20p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s11p0_3c59bc3c.csv,submission_h001_e247locked_all_q20p25_s11p0_3c59bc3c.csv,0.25,1.0,all,250.0,250.0
h001_e247locked_all_q20p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s11p06_bfa973f5.csv,submission_h001_e247locked_all_q20p25_s11p06_bfa973f5.csv,0.25,1.06,all,250.0,250.0
h001_e247locked_all_q20p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s11p25_a079a0ca.csv,submission_h001_e247locked_all_q20p25_s11p25_a079a0ca.csv,0.25,1.25,all,250.0,250.0
h001_e247locked_all_q20p5_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s10p0_b8dd535b.csv,submission_h001_e247locked_all_q20p5_s10p0_b8dd535b.csv,0.5,0.0,all,250.0,250.0
h001_e247locked_all_q20p5_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s10p5_6a93f35e.csv,submission_h001_e247locked_all_q20p5_s10p5_6a93f35e.csv,0.5,0.5,all,250.0,250.0
h001_e247locked_all_q20p5_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s10p75_2a416bfa.csv,submission_h001_e247locked_all_q20p5_s10p75_2a416bfa.csv,0.5,0.75,all,250.0,250.0
h001_e247locked_all_q20p5_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s11p0_be8457f4.csv,submission_h001_e247locked_all_q20p5_s11p0_be8457f4.csv,0.5,1.0,all,250.0,250.0
h001_e247locked_all_q20p5_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s11p06_45d858f1.csv,submission_h001_e247locked_all_q20p5_s11p06_45d858f1.csv,0.5,1.06,all,250.0,250.0
h001_e247locked_all_q20p5_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s11p25_391b67ee.csv,submission_h001_e247locked_all_q20p5_s11p25_391b67ee.csv,0.5,1.25,all,250.0,250.0
h001_e247locked_all_q20p75_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s10p0_0559caa7.csv,submission_h001_e247locked_all_q20p75_s10p0_0559caa7.csv,0.75,0.0,all,250.0,250.0
h001_e247locked_all_q20p75_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s10p5_2612b0b7.csv,submission_h001_e247locked_all_q20p75_s10p5_2612b0b7.csv,0.75,0.5,all,250.0,250.0
h001_e247locked_all_q20p75_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s10p75_eb43abe4.csv,submission_h001_e247locked_all_q20p75_s10p75_eb43abe4.csv,0.75,0.75,all,250.0,250.0
h001_e247locked_all_q20p75_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s11p0_673fb390.csv,submission_h001_e247locked_all_q20p75_s11p0_673fb390.csv,0.75,1.0,all,250.0,250.0
h001_e247locked_all_q20p75_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s11p06_7e948764.csv,submission_h001_e247locked_all_q20p75_s11p06_7e948764.csv,0.75,1.06,all,250.0,250.0
h001_e247locked_all_q20p75_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s11p25_74a6f9af.csv,submission_h001_e247locked_all_q20p75_s11p25_74a6f9af.csv,0.75,1.25,all,250.0,250.0
h001_e247locked_all_q21p0_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s10p0_92f32ec0.csv,submission_h001_e247locked_all_q21p0_s10p0_92f32ec0.csv,1.0,0.0,all,250.0,250.0
h001_e247locked_all_q21p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s10p5_9e363772.csv,submission_h001_e247locked_all_q21p0_s10p5_9e363772.csv,1.0,0.5,all,250.0,250.0
h001_e247locked_all_q21p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s10p75_b1d95e44.csv,submission_h001_e247locked_all_q21p0_s10p75_b1d95e44.csv,1.0,0.75,all,250.0,250.0
h001_e247locked_all_q21p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s11p0_47269973.csv,submission_h001_e247locked_all_q21p0_s11p0_47269973.csv,1.0,1.0,all,250.0,250.0
h001_e247locked_all_q21p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s11p06_d7afb53c.csv,submission_h001_e247locked_all_q21p0_s11p06_d7afb53c.csv,1.0,1.06,all,250.0,250.0
h001_e247locked_all_q21p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s11p25_8802d18f.csv,submission_h001_e247locked_all_q21p0_s11p25_8802d18f.csv,1.0,1.25,all,250.0,250.0
h001_e247locked_all_q21p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s10p0_fb21b8dd.csv,submission_h001_e247locked_all_q21p25_s10p0_fb21b8dd.csv,1.25,0.0,all,250.0,250.0
h001_e247locked_all_q21p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s10p5_fe124cd5.csv,submission_h001_e247locked_all_q21p25_s10p5_fe124cd5.csv,1.25,0.5,all,250.0,250.0
h001_e247locked_all_q21p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s10p75_cdf1bb94.csv,submission_h001_e247locked_all_q21p25_s10p75_cdf1bb94.csv,1.25,0.75,all,250.0,250.0
h001_e247locked_all_q21p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s11p0_4e17a0ef.csv,submission_h001_e247locked_all_q21p25_s11p0_4e17a0ef.csv,1.25,1.0,all,250.0,250.0
