variant,family,file,basename,q2_scale,s1_scale,gate,q2_gate_rows,s1_gate_rows,move_l1,move_l2,changed_cells_1e12,changed_rows_1e12,non_q2s1_l1,all_cos_e323_bad_vs_e247,all_cos_e323_bad_vs_e365,q2_cos_e323_bad_vs_e247,q2_cos_e323_bad_vs_e365,s1_cos_e323_bad_vs_e247,s1_cos_e323_bad_vs_e365,l1_Q1,signed_sum_Q1,changed_Q1,l1_Q2,signed_sum_Q2,changed_Q2,l1_Q3,signed_sum_Q3,changed_Q3,l1_S1,signed_sum_S1,changed_S1,l1_S2,signed_sum_S2,changed_S2,l1_S3,signed_sum_S3,changed_S3,l1_S4,signed_sum_S4,changed_S4,q2_transfer_abs_spearman,s1_transfer_abs_spearman,q2_transfer_signed_spearman,s1_transfer_signed_spearman
h001_control_e247_identity,h001_control,hitl/h001_e247locked_q2s1_transplant/submission_h001_control_e247_identity_2b454b90.csv,submission_h001_control_e247_identity_2b454b90.csv,0.0,0.0,identity,,,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,8.171262772973446e-14,8.17105878865477e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
h001_control_e365_body,h001_control,hitl/h001_e247locked_q2s1_transplant/submission_h001_control_e365_body_84dae3ad.csv,submission_h001_control_e365_body_84dae3ad.csv,,,control_body,,,2.5986782600941702,0.338199430711028,379.0,221.0,1.4524538467048955,-0.0281124002543324,-0.15136517948409242,-0.11082361793882073,-0.9999999999469306,0.00014091423899877727,-0.10192194808770295,1.312943828605447,-1.3034140227248747,171.0,0.5475893293291185,-0.5475893293291185,34.0,0.13951001809944863,-0.018080943094213597,14.0,0.5986350840601563,0.02356155029446695,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4319080895399083,0.19899891704646086,-0.4319080895399083,0.02907431024094869
h001_control_e368_public_file,h001_control,hitl/h001_e247locked_q2s1_transplant/submission_h001_control_e368_public_file_33882436.csv,submission_h001_control_e368_public_file_33882436.csv,,,control_body_action,,,2.505513327868369,0.33229051020891165,379.0,221.0,1.4524538467048962,-0.03147521040417017,-0.15387899051922857,-0.12752418841383117,-0.9822362508151126,-0.01511602564090938,-0.11504548063597235,1.3129438286054476,-1.3034140227248754,171.0,0.48345797095841453,-0.48345797095841453,34.0,0.13951001809944863,-0.018080943094213597,14.0,0.5696015102050582,0.01111330811454242,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43270465877686737,0.2031481199391104,-0.43270465877686737,0.0282051407250477
h001_e247locked_all_q20p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s10p5_50ca1ab6.csv,submission_h001_e247locked_all_q20p0_s10p5_50ca1ab6.csv,0.0,0.5,all,250.0,250.0,0.054638020156870644,0.013201732218616381,160.0,160.0,4.440892098500626e-16,-0.03602996736022898,-0.02983032052525678,0.0,0.0,-0.0758808855964185,-0.06320046219691625,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0546380201568702,-0.006224121089971814,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.197475314012705,,0.005292888391400691
h001_e247locked_all_q20p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s10p75_336b448a.csv,submission_h001_e247locked_all_q20p0_s10p75_336b448a.csv,0.0,0.75,all,250.0,250.0,0.08195703023534227,0.019802598327925608,160.0,160.0,4.440892098500626e-16,-0.03602996736053963,-0.029830320525509393,0.0,0.0,-0.07588088559785569,-0.06320046219810371,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.08195703023534183,-0.009336181634948024,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.197475314012705,,0.005292888391400691
h001_e247locked_all_q20p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s11p0_bd7c96e6.csv,submission_h001_e247locked_all_q20p0_s11p0_bd7c96e6.csv,0.0,1.0,all,250.0,250.0,0.10927604031373245,0.026403464437232255,160.0,160.0,4.440892098500626e-16,-0.03602996736069501,-0.029830320525632587,0.0,0.0,-0.07588088559857444,-0.0632004621986908,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.109276040313732,-0.012448242179950622,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.197475314012705,,0.005292888391400691
h001_e247locked_all_q20p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s11p06_87992fe1.csv,submission_h001_e247locked_all_q20p0_s11p06_87992fe1.csv,0.0,1.06,all,250.0,250.0,0.1158326027326162,0.027987672303468183,160.0,160.0,4.440892098500626e-16,-0.036029967360716585,-0.02983032052565027,0.0,0.0,-0.07588088559868636,-0.06320046219878364,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.11583260273261574,-0.013195136710719209,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.197475314012705,,0.005292888391400691
h001_e247locked_all_q20p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p0_s11p25_3195fe97.csv,submission_h001_e247locked_all_q20p0_s11p25_3195fe97.csv,0.0,1.25,all,250.0,250.0,0.13659505039223563,0.03300433054654191,160.0,160.0,4.440892098500626e-16,-0.036029967360772956,-0.02983032052569498,0.0,0.0,-0.07588088559897349,-0.06320046219901866,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.13659505039223518,-0.015560302724911088,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.197475314012705,,0.005292888391400691
h001_e247locked_all_q20p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s10p0_648c638f.csv,submission_h001_e247locked_all_q20p25_s10p0_648c638f.csv,0.25,0.0,all,250.0,250.0,0.019353676997714717,0.00713257919437177,34.0,34.0,4.440892098500626e-16,-1.0662565638970722e-11,0.02967766094732477,-0.01391775997137168,0.5917345462007702,0.0,0.0,0.0,0.0,0.0,0.019353676997714273,0.01603283959267497,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,,-0.059234847659693404,
h001_e247locked_all_q20p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s10p5_2d71be13.csv,submission_h001_e247locked_all_q20p25_s10p5_2d71be13.csv,0.25,0.5,all,250.0,250.0,0.07399169715458492,0.01500531304358689,194.0,168.0,4.440892098500626e-16,-0.03169930408190813,-0.012137943142271911,-0.01391775997137168,0.5917345462007702,-0.0758808855964185,-0.06320046219691625,0.0,0.0,0.0,0.019353676997714273,0.01603283959267497,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0546380201568702,-0.006224121089971814,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
