candidate_id,action_id,route_id,row,subject_id,sleep_date,route_name,route_targets,mode,route_group,route_n_cells,action_cells,action_q2_cells,changed_cells,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_conflict_rate,selected_toxic_mean,selected_safe_cell_mean,mean_bad_same_rank,mean_h098_frontier_cell_score,max_h098_frontier_cell_score,assignment_route_score,h071_route_score,h071_route_rank,h071_novelty_rank,h071_shortcut_avoid_rank,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells,h099_route_score,basis_spec,basis_id,basis_alpha,basis_cap,basis_norm_l2,basis_norm_l1,h100_route_basis_pred_delta,h100_action_score,h102_bad_max_pos,h102_bad_mean_pos,h102_bad_weighted_pos,h102_h088_axis_cos,h102_good_max_cos,h102_good_mean_cos,h102_good_bad_margin,h102_shadow_ratio,h102_axis_score
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r146_full_state_conflict_invert,r146_full_state,146,id06,2024-08-20,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",conflict_invert,conflict,7,1,0,1,-2.599711601117163e-06,9.262889783924012e-09,5.011701972953649e-08,1.0,1.0,1.0,0.4641428571428571,0.1833594285714285,0.1785714285714285,0.4251408571428571,0.4251408571428571,0.4921784420289855,1.1487463490143184,0.4759963768115942,0.9977355072463768,0.0615942028985507,0,0,0,1,0,0,0,0.5913176127984079,basis_conflict_a052,basis_conflict_a052__r146_full_state_conflict_invert,0.52,0.68,0.013462857975587465,0.013462857975587465,-2.558191160147833e-05,0.7959334894827412,0.0,0.0,0.0,-0.007967225787415294,0.02210717642388692,0.02201391133782515,0.02210717642388692,22107176.42388692,0.9282584818663224
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r151_q1q3_subjective_hybrid_route,r151_q1q3_subjective,151,id06,2024-08-25,q1q3_subjective,"Q1,Q3",hybrid_route,tail,2,2,0,2,-1.6099621261535268e-05,3.603186921670317e-06,5.911506941279621e-06,1.0,1.0,1.0,0.4635,0.11866702857142855,0.6911428571428572,0.48481501714285724,0.5168146514285716,0.2380932971014492,0.7634947318475085,0.2241847826086956,0.46875,0.1453804347826087,1,0,1,0,0,0,0,0.6843203264482344,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r151_q1q3_subjective_hybrid_route,0.44,0.58,0.2708261950090625,0.3464963236337095,-0.0007263683371430512,0.7534133389572518,0.0,0.0,0.0,-0.011863228096755022,0.030866354867458545,0.03073613682477733,0.030866354867458545,30866354.86745854,0.9023195331603648
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r035_recovery_route_conflict_invert,r035_recovery_route,35,id02,2024-09-03,recovery_route,"Q1,S2,S3,S4",conflict_invert,conflict,4,1,0,1,-2.278801603930892e-06,1.204682367785427e-07,4.0619232808089216e-07,1.0,1.0,1.0,0.7718571428571429,-0.0347169142857142,0.1785714285714285,0.25910259428571436,0.25910259428571436,0.2438994565217391,0.5928661951511144,0.1331521739130435,0.7373188405797102,0.0828804347826086,0,0,0,0,1,0,0,0.4811818652897035,basis_conflict_a052,basis_conflict_a052__r035_recovery_route_conflict_invert,0.52,0.68,0.05723925183989927,0.05723925183989927,3.0764008749583054e-06,0.705544716063671,0.0,0.0,0.0,-0.011545494529263874,0.031774914181327,0.03164086313614129,0.031774914181327,31774914.181327,0.8850926611952459
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r196_q_subjective_counter_h088,r196_q_subjective,196,id08,2024-09-11,q_subjective,"Q1,Q2,Q3",counter_h088,q2_route,3,1,0,1,-3.994129202209156e-06,2.612340611489034e-07,8.157239080421564e-07,1.0,1.0,1.0,0.4917428571428572,-0.0122389714285714,0.8971428571428571,0.4509399885714287,0.4509399885714287,0.430919384057971,1.041468842082381,0.3958333333333333,0.5849184782608695,0.3048007246376811,1,0,0,0,0,0,0,0.6110091009373189,basis_q2_counter_a050,basis_q2_counter_a050__r196_q_subjective_counter_h088,0.5,0.62,0.04910422229902966,0.04910422229902966,2.83319238192554e-06,0.6995404788372518,0.0,0.0,0.0,-0.011545494529263874,0.031774914181327,0.03164086313614129,0.031774914181327,31774914.181327,0.8774482090308541
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r078_q_subjective_conflict_invert,r078_q_subjective,78,id03,2024-10-06,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,1,0,1,-2.180315096233349e-06,3.269773327914684e-08,2.6477272750006766e-08,1.0,1.0,1.0,0.4491428571428572,-0.0359851428571428,0.6982857142857143,0.24309862857142855,0.24309862857142855,0.629447463768116,1.3642141756895494,0.6096014492753623,0.5849184782608695,0.7124094202898551,0,0,1,0,0,0,0,0.43484677195380794,basis_conflict_a052,basis_conflict_a052__r078_q_subjective_conflict_invert,0.52,0.68,0.02574091923510007,0.02574091923510007,2.1348303170095825e-06,0.6721368073108918,0.0,0.0,0.0,-0.004007794808448122,0.01839331842178125,0.0183157212473309,0.01839331842178125,18393318.42178125,0.8644468426734396
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r216_q_subjective_conflict_invert,r216_q_subjective,216,id09,2024-09-07,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,1,0,1,-1.8231101508046823e-06,2.056175948744197e-07,9.529739416959663e-08,1.0,1.0,1.0,0.4528285714285714,0.0221749714285713,0.5434285714285715,0.26142321142857144,0.26142321142857144,0.4870923913043478,1.1515341794386862,0.4782608695652174,0.6632699275362319,0.2273550724637681,0,0,1,0,0,0,0,0.45233970677736196,basis_conflict_a052,basis_conflict_a052__r216_q_subjective_conflict_invert,0.52,0.68,0.05133703194706661,0.05133703194706661,2.8999433527169063e-06,0.6833008832177953,0.0,0.0,0.0,-0.004007794808448122,0.01839331842178125,0.0183157212473309,0.01839331842178125,18393318.42178125,0.8635224884737521
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r010_q3_s_stage_conflict_invert,r010_q3_s_stage,10,id01,2024-08-13,q3_s_stage,"Q3,S1,S2,S3,S4",conflict_invert,conflict,5,1,0,1,-2.095624394463135e-06,7.401797120886587e-08,1.9787638838031435e-07,1.0,1.0,1.0,0.4495714285714286,-0.0067589714285714,0.4988571428571428,0.27865553142857147,0.27865553142857147,0.2781702898550724,0.6820863853631356,0.1788949275362318,0.9026268115942028,0.0747282608695652,0,0,1,0,0,0,0,0.453202430772847,basis_conflict_a052,basis_conflict_a052__r010_q3_s_stage_conflict_invert,0.52,0.68,0.03303614542404812,0.03303614542404812,2.352876160019164e-06,0.671718340331294,0.0,0.0,0.0,-0.0025463900511292605,0.02413878919954267,0.024036953207059713,0.02413878919954267,24138789.19954267,0.8556623261121595
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r056_q3_s_stage_conflict_invert,r056_q3_s_stage,56,id02,2024-10-14,q3_s_stage,"Q3,S1,S2,S3,S4",conflict_invert,conflict,5,1,0,1,-8.199900503876945e-07,1.3275881270975702e-06,1.7728137415064761e-06,1.0,1.0,1.0,0.4693714285714285,-0.0053579428571428,0.672,0.25314420571428575,0.25314420571428575,0.3435778985507246,0.8600580251803898,0.2830615942028985,0.9026268115942028,0.1209239130434782,0,0,1,0,0,0,0,0.3897278135288676,basis_conflict_a052,basis_conflict_a052__r056_q3_s_stage_conflict_invert,0.52,0.68,0.1428638660756768,0.1428638660756768,5.637557051587109e-06,0.5754745350717634,0.0,0.0,0.0,-0.01164016143804883,0.030361803406728,0.030233713950461687,0.030361803406728,30361803.406728,0.8300758883919819
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r164_s14_edge_frontier_descent,r164_s14_edge,164,id07,2024-07-26,s14_edge,"S1,S4",frontier_descent,objective,2,2,0,2,9.319559579222189e-07,1.968358824485104e-07,-9.042056144987377e-08,1.0,1.0,1.0,0.47674285714285713,0.0625157714285713,0.966,0.3922026628571429,0.3923701142857143,0.1131793478260869,0.3593673432974166,0.0398550724637681,0.46875,0.0108695652173913,0,0,0,1,0,0,1,0.3941919720945159,basis_objective_a042,basis_objective_a042__r164_s14_edge_frontier_descent,0.42,0.56,0.05696711003985893,0.0796180373833056,-3.7966989453914915e-05,0.5901206258462289,0.0,0.0,0.0,-0.008300687800235306,0.024969597039383902,0.024864256059959244,0.024969597039383902,24969597.0393839,0.8287526487994891
h102_shadow_margin_conflict_c96_r34_amp105_008a60e1,r143_nonq2_full_conflict_invert,r143_nonq2_full,143,id06,2024-08-13,nonq2_full,"Q1,Q3,S1,S2,S3,S4",conflict_invert,conflict,6,2,0,2,1.4984890798031914e-06,1.9450406571062052e-07,7.100373389125858e-07,1.0,1.0,1.0,0.8200714285714287,0.05652142857142855,0.29899999999999993,0.3928021428571429,0.46207152000000007,0.6149230072463768,1.4943025782267945,0.6793478260869565,0.9026268115942028,0.3917572463768116,1,0,1,0,0,0,0,0.5011976494916105,basis_conflict_a052,basis_conflict_a052__r143_nonq2_full_conflict_invert,0.52,0.68,0.06149087166077254,0.07583440732073052,4.377918889678176e-06,0.7209905615077569,0.0,0.0,0.0,-0.0014439318219446255,0.011427874801847922,0.011379663229892223,0.011427874801847922,11427874.801847922,0.8193280250309438
