family,n,strict,resolution_escape,info,best_mean,best_p90,best_beats,best_bad_axis
delta_pos,24,0,0,24,-2.8849753362233265e-05,1.6213692257447325e-06,0.8611111111111112,5.9665139465842065e-05
state_highlow,36,0,0,21,-3.521027906188132e-06,8.384480610153624e-07,0.8611111111111112,5.108831027583749e-06
state_high,20,0,0,17,-4.0187097091243465e-05,1.707149923244635e-06,0.8888888888888888,0.00010787262654277097
delta_signed,20,0,0,15,-1.716096691601269e-05,-1.015708005539732e-06,0.9166666666666666,1.5428688756952136e-05
toward_plus,24,0,0,15,-8.08807105247509e-06,9.685034261007724e-07,0.8611111111111112,3.342045199306032e-06
orthogonalized,18,0,0,11,-3.562081303935043e-05,2.228616653288648e-07,0.8611111111111112,1.7882288007337044e-05
continuous_all,20,0,0,0,-1.1376095572666078e-05,-3.026552379893902e-07,0.9166666666666666,3.1282095014351086e-07
continuous_orthogonalized,9,0,0,0,-1.7815590020939768e-05,7.061092713436973e-07,0.5833333333333334,0.00015518920528506674
down_control,6,0,0,0,5.4277490922276294e-06,2.424250754027805e-05,0.18055555555555555,0.00024135381351519936
