signal,mean,std,min,p10,median,p90,max,positive_rate
model_delta,0.03293185300324446,0.42942308048801325,-1.8600733854984701,-0.4143213985974359,0.09621077409548609,0.42592276198967377,1.3823782991235867,0.636
model_delta_pos,0.16559178016097303,0.21279569313428184,0.0,0.0,0.09621077409548609,0.42592276198967377,1.3823782991235867,0.636
toward_plus,-0.23986822389140372,0.711951879062701,-2.517248095287415,-1.159697344323647,-0.20553073643521527,0.655964692340061,1.8016054449816037,0.384
teacher_rank_centered,-0.04911960907504357,0.801959237372591,-1.4419938917975565,-1.2185731239092494,0.0,1.0118677137870855,1.2583603839441535,0.5
balanced_state,-0.025994791305926163,0.8957562536802718,-2.2176579594570347,-1.2213758629559786,0.0,1.1879554821585145,1.9637357859446618,0.5
anti_energy_state,0.16896743709169715,1.2137716041701003,-4.261784303512319,-1.1582357651466522,0.0,1.8110238735457198,4.616494092152763,0.5
weekend_state,-0.08748464008942954,1.0811790288123928,-3.631277416101595,-1.5069296979045006,-1.1275702593849246e-17,1.0573773437709022,3.280326667296311,0.5
consensus_score,0.502,0.20751931457095746,0.1482,0.2096,0.5267,0.75264,0.8815999999999999,1.0
support_score,0.502,0.18961952473308227,0.13479999999999998,0.25470000000000004,0.5057,0.76998,0.8984000000000001,1.0
low_energy_score,0.502,0.28867282518449844,0.004,0.10360000000000001,0.502,0.9004,1.0,1.0
abs_delta_score,0.5019999999999999,0.28867282518449844,0.004,0.10360000000000001,0.502,0.9004,1.0,1.0
toward_abs_score,0.502,0.28867282518449844,0.004,0.10360000000000001,0.502,0.9004,1.0,1.0
