candidate_id,family,raw_signal,select_signal,mode,top_k,scale,cap,project_bad_axis,file,basename,changed_rows,changed_cells,mean_abs_logit_move,l1_logit_move,max_abs_logit_move,positive_move_rows,negative_move_rows,max_abs_prob_delta,selected_mobility_rank_mean,selected_low_energy_mean,promotion_decision,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current,strict_promote_gate,info_sensor_gate,below_resolution_gate,block_gate,bad_axis_abs_load,mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,changed_rows_vs_current,changed_cells_vs_current,l1_logit_delta_vs_current,max_abs_prob_delta_vs_current,cos_delta_with_h003_tiny,l1_ratio_to_h003_tiny,shape_gate_70,shape_gate_120,h008_strict_upload_gate,h008_resolution_escape_gate,h008_info_gate,h008_decision
delta_signed_k60_s0.024_c0.01,delta_signed,model_delta,abs_delta_score,signed,60,0.024,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k60_s0_024_c0_01_0bb3b071.csv,submission_h008_delta_signed_k60_s0_024_c0_01_0bb3b071.csv,60,60,0.002386850336809907,0.5967125842024767,0.01,33,27,0.0024999935516696326,0.40156521739130435,-0.4922767362961853,too_small_to_submit,-8.446001690588269e-06,-2.674431642713579e-05,-1.015708005539732e-06,0.9166666666666666,0.00011961535371218801,False,True,True,False,0.19967988017613697,0.04442535646298026,0.04752103438625811,60,60,0.5967125842024776,0.0024999935516696326,0.053724083558107,0.04406632024180449,False,True,False,False,True,too_small_to_submit
delta_signed_k60_s0.016_c0.008,delta_signed,model_delta,abs_delta_score,signed,60,0.016,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k60_s0_016_c0_008_4fa22482.csv,submission_h008_delta_signed_k60_s0_016_c0_008_4fa22482.csv,60,60,0.0018239353334218499,0.45598383335546244,0.008,33,27,0.0019999944327821484,0.40156521739130435,-0.4922767362961853,too_small_to_submit,-6.1122269111727376e-06,-1.8625769931480017e-05,-3.826562590643565e-07,0.9027777777777778,7.62297126206124e-05,False,True,True,False,0.1996364945350454,0.044405343297673046,0.04750572933943365,60,60,0.45598383335546405,0.0019999944327821484,0.0559866316451536,0.03367371521514505,True,True,False,False,True,too_small_to_submit
delta_signed_k80_s0.006_c0.004,delta_signed,model_delta,abs_delta_score,signed,80,0.006,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k80_s0_006_c0_004_40af3892.csv,submission_h008_delta_signed_k80_s0_006_c0_004_40af3892.csv,80,80,0.000978567189830805,0.24464179745770123,0.004,47,33,0.0009999948078449616,0.43902173913043485,-0.3096916467578357,too_small_to_submit,-2.7609129532099176e-06,-9.768056124618855e-06,-1.542648783799981e-07,0.9027777777777778,3.7322817335150305e-05,False,True,True,False,0.19959758763975993,0.04437168800705009,0.047489541619661166,80,80,0.2446417974576972,0.0009999948078449616,0.05369573338060167,0.018066426076316016,False,True,False,False,True,too_small_to_submit
delta_signed_k60_s0.006_c0.004,delta_signed,model_delta,abs_delta_score,signed,60,0.006,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k60_s0_006_c0_004_99de218a.csv,submission_h008_delta_signed_k60_s0_006_c0_004_99de218a.csv,60,60,0.0008093620330405786,0.20234050826014466,0.004,33,27,0.0009999948078449616,0.40156521739130435,-0.4922767362961853,too_small_to_submit,-2.4243363633723617e-06,-6.517544262650347e-06,-6.535732150439218e-08,0.9027777777777778,2.5653858500396254e-05,False,True,True,False,0.19958591868092518,0.04436910273217666,0.0474872036067934,60,60,0.20234050826014266,0.0009999948078449616,0.05893768617245909,0.014942539961341596,True,True,False,False,True,too_small_to_submit
delta_signed_k80_s0.016_c0.008,delta_signed,model_delta,abs_delta_score,signed,80,0.016,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k80_s0_016_c0_008_00f145da.csv,submission_h008_delta_signed_k80_s0_016_c0_008_00f145da.csv,80,80,0.0022751490848624528,0.5687872712156132,0.008,47,33,0.0019999944327821484,0.43902173913043485,-0.3096916467578357,too_small_to_submit,-7.075298038626465e-06,-2.8465702771348524e-05,-6.423444679831515e-08,0.9027777777777778,0.00010734693618003055,False,True,True,False,0.1996676117586048,0.04441254724669588,0.0475119640404144,80,80,0.5687872712156153,0.0019999944327821484,0.04932899120859542,0.0420040781884106,False,True,False,False,True,too_small_to_submit
delta_signed_k80_s0.01_c0.006,delta_signed,model_delta,abs_delta_score,signed,80,0.01,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k80_s0_01_c0_006_f0be6a61.csv,submission_h008_delta_signed_k80_s0_01_c0_006_f0be6a61.csv,80,80,0.001554717106178979,0.38867927654474477,0.006,47,33,0.0014999945181743968,0.43902173913043485,-0.3096916467578357,too_small_to_submit,-4.4727233561246705e-06,-1.6650005368775772e-05,-5.757922535107309e-08,0.9027777777777778,6.503784551870062e-05,False,True,True,False,0.19962530266794348,0.044389349697855046,0.047497859803509554,80,80,0.38867927654474543,0.0014999945181743968,0.05246603021637748,0.028703375670324143,False,True,False,False,True,too_small_to_submit
delta_signed_k60_s0.01_c0.006,delta_signed,model_delta,abs_delta_score,signed,60,0.01,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k60_s0_01_c0_006_903ad64d.csv,submission_h008_delta_signed_k60_s0_01_c0_006_903ad64d.csv,60,60,0.0012727085115286018,0.31817712788215047,0.006,33,27,0.0014999945181743968,0.40156521739130435,-0.4922767362961853,too_small_to_submit,-3.898218940849834e-06,-1.1239997298885763e-05,4.8959808888969854e-08,0.8888888888888888,4.558958079406428e-05,False,True,True,False,0.19960585440321885,0.044385040906399324,0.047493963115396595,60,60,0.3181771278821531,0.0014999945181743968,0.058199352380434555,0.02349689881203334,True,True,False,False,True,too_small_to_submit
delta_signed_k80_s0.024_c0.01,delta_signed,model_delta,abs_delta_score,signed,80,0.024,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k80_s0_024_c0_01_ccfa30bf.csv,submission_h008_delta_signed_k80_s0_024_c0_01_ccfa30bf.csv,80,80,0.0030636709639708117,0.7659177409927029,0.01,47,33,0.0024999935516696326,0.43902173913043485,-0.3096916467578357,too_small_to_submit,-1.0052999919913272e-05,-4.2124226561447797e-05,1.8091652646946593e-07,0.8611111111111112,0.00016629118905128748,False,True,True,False,0.19972655601147607,0.0444388167512279,0.047530386437729215,80,80,0.7659177409927036,0.0024999935516696326,0.04579930376688929,0.05656186470170275,False,True,False,False,True,too_small_to_submit
orth_delta_k80_s0.01_c0.006,orthogonalized,model_delta,abs_delta_score,signed,80,0.01,0.006,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_delta_k80_s0_01_c0_006_d6cfce4a.csv,submission_h008_orth_delta_k80_s0_01_c0_006_d6cfce4a.csv,80,80,0.0015307931950655938,0.38269829876639844,0.006,47,33,0.0014999945181743968,0.43902173913043485,-0.3096916467578357,too_small_to_submit,-4.6951188189775205e-06,-1.8460929520499324e-05,2.228616653288648e-07,0.8611111111111112,0.00011778376113552591,False,True,True,False,0.1996780485835603,0.04439516821673067,0.047501554980984795,80,80,0.3826982987663941,0.0014999945181743968,0.030058261124789282,0.02826168952339597,False,True,False,False,True,too_small_to_submit
delta_signed_k100_s0.006_c0.004,delta_signed,model_delta,abs_delta_score,signed,100,0.006,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k100_s0_006_c0_004_0128af99.csv,submission_h008_delta_signed_k100_s0_006_c0_004_0128af99.csv,100,100,0.0011141141726500208,0.2785285431625052,0.004,61,39,0.0009999948078449616,0.46701739130434783,-0.1922128434544198,too_small_to_submit,-3.5758492445746615e-06,-1.3891328384159061e-05,2.2339068781609975e-07,0.8472222222222222,7.206168900936172e-05,False,True,True,False,0.19963232651143414,0.04438331279082906,0.0474973018085375,100,100,0.27852854316249953,0.0009999948078449616,0.0552727755803431,0.020568910903540162,False,True,False,False,True,too_small_to_submit
