candidate_id,family,raw_signal,select_signal,mode,top_k,scale,cap,project_bad_axis,file,basename,changed_rows,changed_cells,mean_abs_logit_move,l1_logit_move,max_abs_logit_move,positive_move_rows,negative_move_rows,max_abs_prob_delta,selected_mobility_rank_mean,selected_low_energy_mean
continuous_anti_energy_state_s0.005_c0.005,continuous_all,anti_energy_state,consensus_score,continuous,250,0.005,0.005,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_anti_energy_state_s0_005_c0_005_66410217.csv,submission_h008_continuous_anti_energy_state_s0_005_c0_005_66410217.csv,250,250,0.0031840808916702877,0.7960202229175719,0.005,125,125,0.0012499818485104397,0.5170747826086957,0.24238220617915437
continuous_teacher_rank_centered_s0.005_c0.005,continuous_all,teacher_rank_centered,consensus_score,continuous,250,0.005,0.005,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_teacher_rank_centered_s0_005_c0_005_d1f9d2fe.csv,submission_h008_continuous_teacher_rank_centered_s0_005_c0_005_d1f9d2fe.csv,250,250,0.003194852739965096,0.798713184991274,0.005,125,125,0.0012499945749749886,0.5170747826086957,0.24238220617915437
continuous_toward_plus_s0.008_c0.006,continuous_all,toward_plus,consensus_score,continuous,250,0.008,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_toward_plus_s0_008_c0_006_dc35ce61.csv,submission_h008_continuous_toward_plus_s0_008_c0_006_dc35ce61.csv,250,250,0.0036213552741527944,0.9053388185381986,0.006,96,154,0.0014999945181743968,0.5170747826086957,0.24238220617915437
continuous_balanced_state_s0.008_c0.006,continuous_all,balanced_state,consensus_score,continuous,250,0.008,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_balanced_state_s0_008_c0_006_14d29c8d.csv,submission_h008_continuous_balanced_state_s0_008_c0_006_14d29c8d.csv,250,250,0.004332841764636326,1.0832104411590815,0.006,125,125,0.0014999945181743968,0.5170747826086957,0.24238220617915437
continuous_anti_energy_state_s0.008_c0.006,continuous_all,anti_energy_state,consensus_score,continuous,250,0.008,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_anti_energy_state_s0_008_c0_006_facf7051.csv,submission_h008_continuous_anti_energy_state_s0_008_c0_006_facf7051.csv,250,250,0.00435212230604539,1.0880305765113476,0.006,125,125,0.0014999805869717053,0.5170747826086957,0.24238220617915437
continuous_teacher_rank_centered_s0.008_c0.006,continuous_all,teacher_rank_centered,consensus_score,continuous,250,0.008,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_teacher_rank_centered_s0_008_c0_006_3fc985c6.csv,submission_h008_continuous_teacher_rank_centered_s0_008_c0_006_3fc985c6.csv,250,250,0.004380963881326352,1.095240970331588,0.006,125,125,0.0014999945181743968,0.5170747826086957,0.24238220617915437
continuous_toward_plus_s0.012_c0.008,continuous_all,toward_plus,consensus_score,continuous,250,0.012,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_toward_plus_s0_012_c0_008_606c041e.csv,submission_h008_continuous_toward_plus_s0_012_c0_008_606c041e.csv,250,250,0.005116030860245068,1.2790077150612669,0.008,96,154,0.0019999944327821484,0.5170747826086957,0.24238220617915437
continuous_balanced_state_s0.012_c0.008,continuous_all,balanced_state,consensus_score,continuous,250,0.012,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_balanced_state_s0_012_c0_008_dd544921.csv,submission_h008_continuous_balanced_state_s0_012_c0_008_dd544921.csv,250,250,0.006034807658880982,1.5087019147202456,0.008,125,125,0.0019999944327821484,0.5170747826086957,0.24238220617915437
continuous_anti_energy_state_s0.012_c0.008,continuous_all,anti_energy_state,consensus_score,continuous,250,0.012,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_anti_energy_state_s0_012_c0_008_78e24b5e.csv,submission_h008_continuous_anti_energy_state_s0_012_c0_008_78e24b5e.csv,250,250,0.006070722065598625,1.5176805163996563,0.008,125,125,0.0019999944327821484,0.5170747826086957,0.24238220617915437
continuous_teacher_rank_centered_s0.012_c0.008,continuous_all,teacher_rank_centered,consensus_score,continuous,250,0.012,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_continuous_teacher_rank_centered_s0_012_c0_008_c61e6895.csv,submission_h008_continuous_teacher_rank_centered_s0_012_c0_008_c61e6895.csv,250,250,0.006086702282722513,1.5216755706806282,0.008,125,125,0.0019999944327821484,0.5170747826086957,0.24238220617915437
