variant,metric,actual,null_mean,null_std,z,p,actual_cells,actual_rows,actual_mean_action_health,actual_mean_bad_tangent_abs_rank,actual_anti_bad_rate,actual_source_family_mean,actual_bad_tangent_dot,actual_bad_tangent_cosine,actual_q_rate,actual_s_rate
anti_bad_tangent_pressure,mean_action_health,0.5925152899645814,0.60318672087215,0.009252323002676116,-1.1533785520114288,0.868,64.0,56.0,0.5925152899645814,0.7886409622302158,1.0,1.453125,-0.32755916145212877,-0.09642013914267872,0.4375,0.5625
anti_bad_tangent_pressure,mean_bad_tangent_abs_rank,0.7886409622302158,0.6065112410071942,0.02425477437977696,7.5090255786867655,0.0,64.0,56.0,0.5925152899645814,0.7886409622302158,1.0,1.453125,-0.32755916145212877,-0.09642013914267872,0.4375,0.5625
anti_bad_tangent_pressure,anti_bad_rate,1.0,1.0,0.0,0.0,1.0,64.0,56.0,0.5925152899645814,0.7886409622302158,1.0,1.453125,-0.32755916145212877,-0.09642013914267872,0.4375,0.5625
anti_bad_tangent_pressure,source_family_mean,1.453125,1.71046875,0.07877842350356418,-3.266678089697453,1.0,64.0,56.0,0.5925152899645814,0.7886409622302158,1.0,1.453125,-0.32755916145212877,-0.09642013914267872,0.4375,0.5625
anti_bad_tangent_pressure,bad_tangent_dot,-0.32755916145212877,-0.2319617493188029,0.06594081023004897,-1.44974579171553,0.062,64.0,56.0,0.5925152899645814,0.7886409622302158,1.0,1.453125,-0.32755916145212877,-0.09642013914267872,0.4375,0.5625
anti_bad_tangent_pressure,bad_tangent_cosine,-0.09642013914267872,-0.06835152965119819,0.019431757613937093,-1.4444709556972244,0.062,64.0,56.0,0.5925152899645814,0.7886409622302158,1.0,1.453125,-0.32755916145212877,-0.09642013914267872,0.4375,0.5625
anti_bad_tangent_sparse,mean_action_health,0.6413929745324111,0.6279394521205444,0.01676856616598292,0.8023060695051443,0.198,32.0,30.0,0.6413929745324111,0.8299235611510791,1.0,1.59375,-0.0770882676708157,-0.040742984763338895,0.28125,0.71875
anti_bad_tangent_sparse,mean_bad_tangent_abs_rank,0.8299235611510791,0.6161786196043165,0.039681693779780355,5.3864873493801175,0.0,32.0,30.0,0.6413929745324111,0.8299235611510791,1.0,1.59375,-0.0770882676708157,-0.040742984763338895,0.28125,0.71875
anti_bad_tangent_sparse,anti_bad_rate,1.0,1.0,0.0,0.0,1.0,32.0,30.0,0.6413929745324111,0.8299235611510791,1.0,1.59375,-0.0770882676708157,-0.040742984763338895,0.28125,0.71875
anti_bad_tangent_sparse,source_family_mean,1.59375,1.9345,0.15462830781313722,-2.2036715321995524,0.994,32.0,30.0,0.6413929745324111,0.8299235611510791,1.0,1.59375,-0.0770882676708157,-0.040742984763338895,0.28125,0.71875
