label,rank,feature,family,corr,abs_corr
Q1,1,cn_h29_distance__subj_z,activity/step,-0.18601699945618308,0.18601699945618308
Q1,2,cn_h29_steps__subj_z,activity/step,-0.18542028634522975,0.18542028634522975
Q1,3,cn_h29_speed__subj_z,activity/step,-0.18524999862370523,0.18524999862370523
Q1,4,cn_h29_wlight__subj_z,sensor/coverage,-0.16619639111477172,0.16619639111477172
Q1,5,cn_h29_wlight_max__subj_z,sensor/coverage,-0.16061596740695552,0.16061596740695552
Q1,6,h05_wlight_n_h__subj_z,sensor/coverage,0.1600564574183443,0.1600564574183443
Q1,7,amb_inside_prob__weekday_vs_subject_mean__subj_z,sensor/coverage,0.1594381018470314,0.1594381018470314
Q1,8,h06_wlight_n_h__subj_z,sensor/coverage,0.15850233081643678,0.15850233081643678
Q1,9,cn_h31_screen__subj_z,phone/app/screen,-0.15846917628426802,0.15846917628426802
Q1,10,h03_wlight_n_h__subj_z,sensor/coverage,0.15730590955659474,0.15730590955659474
Q1,11,app_media_time__weekday_vs_subject_mean__subj_z,phone/app/screen,0.1556205157129603,0.1556205157129603
Q1,12,cn_h30_wlight_max__subj_z,sensor/coverage,-0.15082163722086822,0.15082163722086822
Q1,13,h04_wlight_n_h__subj_z,sensor/coverage,0.15028547093470807,0.15028547093470807
Q1,14,late_activity_last_hour__dev_weekday_mean__subj_z,activity/step,-0.14734519665746493,0.14734519665746493
Q1,15,h07_wlight_n_h__subj_z,sensor/coverage,0.14686991037301095,0.14686991037301095
Q1,16,q1x_morning_hr_minus_late_hr__subj_z,sensor/coverage,-0.1453293535029912,0.1453293535029912
Q1,17,topapp_evening_통화_time__subj_z,phone/app/screen,-0.14304500175193832,0.14304500175193832
Q1,18,ble_records__prev_delta__subj_z,gps/context,-0.14132381085942453,0.14132381085942453
Q1,19,cn_h30_mlight__subj_z,sensor/coverage,-0.13925156570103378,0.13925156570103378
Q1,20,cn_h30_wlight__subj_z,sensor/coverage,-0.13921443856263946,0.13921443856263946
Q1,21,topapp_21_03_통화_time__subj_z,phone/app/screen,-0.13894211000072115,0.13894211000072115
Q1,22,s4x_cross_screenoff_longest_h__subj_z,sleep/long-rest,0.13808222807831302,0.13808222807831302
Q1,23,q1x_morning_ble_near_sum__subj_z,gps/context,-0.1380131441098851,0.1380131441098851
Q1,24,topapp_evening_instagram_time__subj_z,phone/app/screen,-0.1379808826674193,0.1379808826674193
Q1,25,state_2_ratio__dev_weekday_mean__subj_z,routine/regularity,0.13781645339616497,0.13781645339616497
Q1,26,h15_mlight_n_h__subj_z,sensor/coverage,0.13780248162785932,0.13780248162785932
Q1,27,amb_records__subj_z,sensor/coverage,0.13703134338364215,0.13703134338364215
Q1,28,q3x_evening_amb_outside_mean__subj_z,sensor/coverage,-0.135493046967456,0.135493046967456
Q1,29,cn_h32_screen__subj_z,phone/app/screen,-0.13499190836669844,0.13499190836669844
Q1,30,h01_activity_n_h__subj_z,activity/step,-0.13356929240865273,0.13356929240865273
Q1,31,ble_near_count__subj_z,gps/context,-0.13199048168628252,0.13199048168628252
Q1,32,cn_h32_activity_max__subj_z,activity/step,-0.13198592740421936,0.13198592740421936
Q1,33,quiet_hours_screen0_steps0__dev_weekday_mean__subj_z,sleep/long-rest,0.13185589850809007,0.13185589850809007
Q1,34,h21_wlight_n_h__subj_z,sensor/coverage,0.13150169129180075,0.13150169129180075
Q1,35,topapp_21_03_전화_time__subj_z,phone/app/screen,-0.13122195192390734,0.13122195192390734
Q1,36,mlight_n__subj_z,sensor/coverage,0.13106714230295047,0.13106714230295047
Q1,37,activity_n__subj_z,activity/step,0.12945476334085082,0.12945476334085082
Q1,38,topapp_00_06_google_play_스토어_time__subj_z,phone/app/screen,-0.12893513460420541,0.12893513460420541
Q1,39,q3x_day_mobility_hours__subj_z,other,0.128864080695089,0.128864080695089
Q1,40,gps_speed_mean__prev_abs_delta__subj_z,gps/context,0.12879891423556603,0.12879891423556603
Q2,1,sleepwin_wlight_mean__dev_roll7__subj_z,sleep/long-rest,0.1781424296354672,0.1781424296354672
Q2,2,topapp_21_03_youtube_time__subj_z,phone/app/screen,0.17058085227715292,0.17058085227715292
Q2,3,h06_distance_sum_h__subj_z,activity/step,-0.16551066068252093,0.16551066068252093
Q2,4,h06_steps_sum_h__subj_z,activity/step,-0.16370487356342217,0.16370487356342217
Q2,5,sleepwin_wlight_mean__dev_roll3__subj_z,sleep/long-rest,0.1624434761320027,0.1624434761320027
Q2,6,steps_sum__weekday_vs_subject_mean__subj_z,activity/step,-0.16182655955908185,0.16182655955908185
Q2,7,distance_sum__weekday_vs_subject_mean__subj_z,activity/step,-0.161255261155015,0.161255261155015
Q2,8,state_4_ratio__weekday_vs_subject_mean__subj_z,routine/regularity,-0.1586867253723131,0.1586867253723131
Q2,9,q3x_late21_24_app_media_sum__subj_z,phone/app/screen,0.1584219193573631,0.1584219193573631
Q2,10,wlight_mean_21_03__dev_roll7__subj_z,sensor/coverage,0.15778497721776918,0.15778497721776918
Q2,11,topapp_all_배달의민족_time__subj_z,phone/app/screen,0.156794698073025,0.156794698073025
Q2,12,gps_speed_std__weekday_vs_subject_mean__subj_z,gps/context,-0.1550254713515537,0.1550254713515537
Q2,13,morning_mlight_mean__dev_roll7__subj_z,sensor/coverage,-0.1543400725590137,0.1543400725590137
Q2,14,app_time_21_03__dev_roll7__subj_z,phone/app/screen,0.15269014292031502,0.15269014292031502
Q2,15,mlight_mean_morning__dev_roll7__subj_z,sensor/coverage,-0.15022248195199175,0.15022248195199175
Q2,16,gps_unique_grid4__weekday_vs_subject_mean__subj_z,gps/context,-0.14968401044811824,0.14968401044811824
Q2,17,qcarry_prev_q3x_social_arousal_score__subj_z,other,0.14886376931975806,0.14886376931975806
Q2,18,morning_mlight_mean__weekday_vs_subject_mean__subj_z,sensor/coverage,-0.14800531228970357,0.14800531228970357
Q2,19,mlight_mean_morning__weekday_vs_subject_mean__subj_z,sensor/coverage,-0.14779745649855883,0.14779745649855883
Q2,20,morning_mlight_mean__dev_roll3__subj_z,sensor/coverage,-0.1473473796636236,0.1473473796636236
Q2,21,day_h6_distance__subj_z,activity/step,-0.147065674516742,0.147065674516742
Q2,22,bright_interrupt_hours__dev_weekday_mean__subj_z,routine/regularity,0.14598216454284133,0.14598216454284133
Q2,23,day_h6_steps__subj_z,activity/step,-0.14570811330575403,0.14570811330575403
Q2,24,mlight_mean_morning__dev_roll3__subj_z,sensor/coverage,-0.14402270234088071,0.14402270234088071
Q2,25,wifi_unique_bssid__weekday_vs_subject_mean__subj_z,gps/context,-0.14377889601108124,0.14377889601108124
Q2,26,gps_lon_std__weekday_vs_subject_mean__subj_z,gps/context,-0.14250752085440796,0.14250752085440796
Q2,27,day_h6_speed__subj_z,activity/step,-0.14231580854627846,0.14231580854627846
Q2,28,screen_use_21_03__dev_roll7__subj_z,phone/app/screen,0.1407063239262445,0.1407063239262445
Q2,29,pre_sleep_screen_sum_21_03__dev_roll7__subj_z,sleep/long-rest,0.1407063239262445,0.1407063239262445
Q2,30,mlight_mean__weekday_vs_subject_mean__subj_z,sensor/coverage,-0.13858036626480144,0.13858036626480144
Q2,31,bright_interrupt_hours__dev_roll7__subj_z,routine/regularity,0.1379170536591145,0.1379170536591145
Q2,32,bright_interrupt_hours__subj_z,other,0.13727115178479246,0.13727115178479246
Q2,33,screen_use_18_24__dev_roll3__subj_z,phone/app/screen,0.13723488844352646,0.13723488844352646
Q2,34,wifi_unique_bssid__dev_roll7__subj_z,gps/context,-0.13575755618772561,0.13575755618772561
Q2,35,wlight_mean_21_03__prev_abs_delta__subj_z,sensor/coverage,0.1349434731370918,0.1349434731370918
Q2,36,gps_radius_proxy__weekday_vs_subject_mean__subj_z,gps/context,-0.13414890720390166,0.13414890720390166
Q2,37,screen_use_21_03__dev_roll3__subj_z,phone/app/screen,0.13408637932225234,0.13408637932225234
Q2,38,pre_sleep_screen_sum_21_03__dev_roll3__subj_z,sleep/long-rest,0.13408637932225234,0.13408637932225234
Q2,39,wifi_unique_bssid__prev_delta__subj_z,gps/context,-0.13356365922193694,0.13356365922193694
Q2,40,wlight_mean_21_03__dev_roll3__subj_z,sensor/coverage,0.13278122965535272,0.13278122965535272
Q3,1,sleepwin_wlight_max__dev_roll7__subj_z,sleep/long-rest,-0.1753362497432525,0.1753362497432525
Q3,2,state_4_ratio__weekday_vs_subject_mean__subj_z,routine/regularity,-0.1710969826811276,0.1710969826811276
Q3,3,wlight_max_21_03__dev_roll7__subj_z,sensor/coverage,-0.17033164526854414,0.17033164526854414
Q3,4,h00_mlight_n_h__subj_z,sensor/coverage,0.16942985263493074,0.16942985263493074
Q3,5,sleepwin_wlight_max__subj_z,sleep/long-rest,-0.16422651782255254,0.16422651782255254
Q3,6,sleepwin_wlight_max__dev_roll3__subj_z,sleep/long-rest,-0.16277422376286568,0.16277422376286568
Q3,7,wlight_max_21_03__dev_roll3__subj_z,sensor/coverage,-0.15910142967354285,0.15910142967354285
