comparison,changed_cells,changed_rows,targets,l1_absdiff,max_absdiff,public_left,public_right,public_delta_left_minus_right
h144_minus_h145,2,2,"Q3,S2",0.0023198537762343374,0.0021167147297088684,0.567929641,0.567929641,0.0
h145_minus_h141,1,1,Q3,0.0015524825941954923,0.0015524825941954923,0.567929641,,
h144_minus_h139,1,1,Q3,0.0013493435476700233,0.0013493435476700233,0.567929641,,
h145_minus_h057,27,22,"S2,S1,Q1,Q3,S4",0.15147837798329078,0.03706146565254731,0.567929641,0.5677475939,0.00018204710000002677
h144_minus_h057,28,23,"S2,S1,Q1,Q3,S4",0.15379823175952512,0.03706146565254731,0.567929641,0.5677475939,0.00018204710000002677
h141_minus_h057,27,22,"S2,S1,Q1,Q3,S4",0.15303086057748627,0.03706146565254731,,0.5677475939,
