feature,e256_q3_top20_d,e323_bad_top20_d,e368_q2s1_top20_d,max_abs_sensor_d
hsjepa_resid_routine_fragmentation,0.0,-0.281190711386249,0.35351990292825447,0.35351990292825447
hsjepa_resid_commute_pressure,0.0,-0.3253805399353558,0.07430211260924541,0.3253805399353558
hsjepa_pred_badnight_aftereffect,0.0,-0.13554802017498094,0.30681696307519873,0.30681696307519873
hsjepa_pc6,0.0,0.08074793197787374,-0.303317994403179,0.303317994403179
hsjepa_resid_home_recovery,0.0,0.24261910294983227,-0.2893885802607345,0.2893885802607345
hsjepa_cluster_distance,0.0,0.28925891434353895,-0.15067091935962537,0.28925891434353895
hsjepa_resid_bedtime_arousal,0.0,-0.058040979603288204,0.28264964754073124,0.28264964754073124
hsjepa_resid_routine_anchor_recovery,0.0,0.2626373223750131,-0.23098234584547866,0.2626373223750131
hsjepa_pred_routine_fragmentation,0.0,0.2563506656020761,-0.010751388014879454,0.2563506656020761
hsjepa_pred_cashflow_stress,0.0,0.12644607749533884,0.2416179496356437,0.2416179496356437
hsjepa_pred_commute_pressure,0.0,-0.07314402232474715,0.23853584613027223,0.23853584613027223
hsjepa_resid_badnight_aftereffect,0.0,-0.04261020056231011,0.23363935834990324,0.23363935834990324
hsjepa_pred_routine_anchor_recovery,0.0,-0.06932064114188316,-0.22902219470576762,0.22902219470576762
hsjepa_surprise,0.0,0.2097982165512044,-0.062350792147665014,0.2097982165512044
hsjepa_resid_cashflow_relief_spend,0.0,0.14419283602480945,-0.20177317697988534,0.20177317697988534
hsjepa_pc8,0.0,-0.1962781901565424,0.16060035721415408,0.1962781901565424
hsjepa_resid_physiology_strain,0.0,0.04936271523592417,0.18972105769007166,0.18972105769007166
hsjepa_pc1,0.0,0.01164607930990334,0.18521663455410706,0.18521663455410706
hsjepa_pc2,0.0,-0.17060325560616652,0.06119727522407479,0.17060325560616652
hsjepa_pc4,0.0,-0.15946189985201958,-0.05833390129422688,0.15946189985201958
hsjepa_resid_measurement_wear_confidence,0.0,-0.10705952522894516,0.14207413274268813,0.14207413274268813
hsjepa_k6,0.0,0.14085453489327204,-0.12320152611867893,0.14085453489327204
hsjepa_pc7,0.0,0.12809542804921123,-0.11774979096984158,0.12809542804921123
hsjepa_k5,0.0,-0.12465491212862202,0.124654912128622,0.12465491212862202
hsjepa_pred_cashflow_relief_spend,0.0,-0.11684058309996927,0.07725977743135558,0.11684058309996927
hsjepa_center_distance,0.0,0.11673718356222011,0.048363673310069084,0.11673718356222011
hsjepa_energy,0.0,0.11673718356222011,0.048363673310068786,0.11673718356222011
hsjepa_resid_social_overload,0.0,0.014020788476064427,0.10468287973246782,0.10468287973246782
hsjepa_k1,0.0,-0.10034526860959025,0.011140543098542262,0.10034526860959025
hsjepa_pc5,0.0,-0.09605267408307738,0.07375432763265197,0.09605267408307738
hsjepa_pred_social_overload,0.0,-0.07826838705419005,0.029649532060665763,0.07826838705419005
hsjepa_pred_bedtime_arousal,0.0,0.07358149619206206,0.07706974075569488,0.07706974075569488
hsjepa_k4,0.0,0.07666014121552893,0.0,0.07666014121552893
hsjepa_pc3,0.0,0.01725283181229448,-0.06844728447901859,0.06844728447901859
hsjepa_k0,0.0,0.06429100507328643,-0.042852735091824176,0.06429100507328643
hsjepa_resid_cashflow_stress,0.0,-0.06085150183094777,0.060684341853880004,0.06085150183094777
hsjepa_pred_home_recovery,0.0,-0.06019793267741381,-0.01034436290902094,0.06019793267741381
hsjepa_pred_measurement_wear_confidence,0.0,-0.039369710602590986,0.021904856543591908,0.039369710602590986
hsjepa_pred_physiology_strain,0.0,-0.03275376790236831,-0.0378797442850356,0.0378797442850356
hsjepa_k2,0.0,0.0,0.0,0.0
hsjepa_k3,0.0,0.0,0.0,0.0
hsjepa_k7,0.0,0.0,0.0,0.0
