split,episode,target,base_loss,route_loss,delta_logloss,null_best,null_median,dominance,row_dominance,subject_dominance,dateblock_dominance,route_gate
subject5,home_recovery,S3,0.669304895458884,0.6562607227037796,-0.0130441727551045,-0.006362687699962177,-0.001697998324577843,1.0,1.0,1.0,1.0,True
subject5,bedtime_arousal,S3,0.669304895458884,0.658859947865834,-0.010444947593050036,-0.007035222955569798,3.1443176988221744e-05,1.0,1.0,1.0,1.0,True
subject5,social_overload,S3,0.669304895458884,0.6601830601983653,-0.009121835260518796,-0.012238470963154446,0.0006927258985894857,0.8888888888888888,1.0,1.0,0.6666666666666666,True
dateblock5,routine_anchor_recovery,S2,0.5799113592090732,0.5739895057855241,-0.005921853423549117,-0.007900734318050717,0.00299286192101067,0.8888888888888888,1.0,1.0,0.6666666666666666,True
dateblock5,home_recovery,S4,0.6594409187589685,0.6544414850503553,-0.004999433708613221,-0.00013820344606196855,0.0033929336000008137,1.0,1.0,1.0,1.0,True
dateblock5,cashflow_stress,S3,0.5308989278141828,0.526061911450144,-0.004837016364038771,-0.003544628799490468,0.0006121617036005667,1.0,1.0,1.0,1.0,True
dateblock5,home_recovery,S3,0.5308989278141828,0.5261921717597008,-0.004706756054482009,-0.007966811882891722,0.0008370229380638694,0.8888888888888888,1.0,0.6666666666666666,1.0,True
subject5,badnight_aftereffect,Q3,0.6867059364875235,0.6821203159364748,-0.004585620551048719,-0.002588019195529534,0.0007651793624235959,1.0,1.0,1.0,1.0,True
dateblock5,routine_fragmentation,S3,0.5308989278141828,0.526472964205189,-0.0044259636089938326,-0.0008246808650602677,0.0010651198328489597,1.0,1.0,1.0,1.0,True
subject5,routine_anchor_recovery,Q2,0.7007588794264572,0.6976218268394371,-0.0031370525870201282,-0.007874024124793322,0.00010789525615773066,0.8888888888888888,1.0,1.0,0.6666666666666666,True
dateblock5,routine_anchor_recovery,S3,0.5308989278141828,0.5280221046849,-0.002876823129282835,-0.003897717192562822,0.001707748395791464,0.8888888888888888,0.6666666666666666,1.0,1.0,True
