split,target,base_loss,hsjepa_loss,delta_logloss,null_best,null_median,null_q20,dominance,row_dominance,subject_dominance,dateblock_dominance,target_gate
subject5,Q2,0.7007588794264572,0.7028755382678638,0.002116658841406549,-0.004818294985145188,0.03379284184873127,0.01170613393253217,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,False
dateblock5,Q3,0.6766811680567885,0.6835488286623689,0.006867660605580417,-0.0028039317601175062,0.023848371826787285,0.015219110991276175,0.8333333333333334,1.0,1.0,0.5,False
dateblock5,S1,0.5822218022839711,0.5906393363024743,0.008417534018503203,0.0021405441123479862,0.03085355622681063,0.023214914741352087,0.8888888888888888,0.8333333333333334,0.8333333333333334,1.0,False
subject5,S1,0.6489969819268863,0.6696911880379932,0.02069420611110695,0.013841588138930327,0.05152117919130711,0.02375252196242175,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,False
dateblock5,Q1,0.6760975964382475,0.6983612303875253,0.022263633949277772,0.0003307642311382031,0.022014699894230827,0.016035895953067824,0.4444444444444444,0.5,0.6666666666666666,0.16666666666666666,False
dateblock5,Q2,0.6953928328598021,0.7177041545092997,0.022311321649497562,0.012577540457775926,0.026841735210434314,0.01941913881835138,0.7222222222222222,0.8333333333333334,0.6666666666666666,0.6666666666666666,False
dateblock5,S4,0.6594409187589685,0.6879251075191721,0.028484188760203644,0.009395692400918199,0.030886847347688096,0.02226992079951371,0.5555555555555556,0.5,0.6666666666666666,0.5,False
subject5,Q3,0.6867059364875235,0.720173003286148,0.033467066798624434,-0.02653352851354973,0.04090432379683734,0.015342004323194684,0.5555555555555556,0.3333333333333333,1.0,0.3333333333333333,False
dateblock5,S3,0.5308989278141828,0.5678983162401633,0.036999388425980495,0.0037364812909609357,0.01970807375969086,0.010042108770645599,0.0,0.0,0.0,0.0,False
dateblock5,S2,0.5799113592090732,0.6220132547195658,0.04210189551049259,-0.009431533429657635,0.039941282277692225,0.03191863276448914,0.5,0.3333333333333333,0.5,0.6666666666666666,False
subject5,Q1,0.7117002424364823,0.7644189348650318,0.05271869242854943,0.014525773029977818,0.0419649310164002,0.026308752334975295,0.3888888888888889,0.0,0.6666666666666666,0.5,False
subject5,S2,0.6788921194843245,0.7326654018981269,0.053773282413802415,0.009779646143582621,0.04932276818401676,0.029057802101081887,0.4444444444444444,0.0,0.5,0.8333333333333334,False
subject5,S4,0.705276994213305,0.7741777053878781,0.06890071117457308,0.015155571023585224,0.03692882294416022,0.02532793549317878,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,False
subject5,S3,0.669304895458884,0.7390636046777553,0.06975870921887128,-0.008680028878253254,0.04078172170993655,0.023526420661397342,0.1111111111111111,0.0,0.3333333333333333,0.0,False
