view_id,split,episode,context_cols,r2,corr,train_pred_mean,test_pred_mean,train_test_pred_z_gap
family_jepa_context,dateblock5,measurement_wear_confidence,126,0.6944870447041971,0.8358508297513431,-0.25585906726132734,-0.1691874228584431,0.10195361385085411
hybrid_context,dateblock5,social_overload,246,0.6250226110395738,0.8029861089921683,-0.005382564547862264,-0.045298353969714045,-0.042668619641431836
family_jepa_context,dateblock5,badnight_aftereffect,126,0.624071483112385,0.7983998424382471,-0.22227586351002673,-0.1858547821984529,0.040908869593923654
family_jepa_context,dateblock5,commute_pressure,126,0.6213653810062223,0.794130477719082,-0.04043934725271592,-0.17025931524167245,-0.1636541182994615
family_jepa_context,dateblock5,social_overload,126,0.6155857193964613,0.7873577285616181,0.0011638992227909562,-0.0757464921494844,-0.0910495937540086
hybrid_context,dateblock5,commute_pressure,246,0.6109340665362891,0.7938719339182401,-0.030774824087870665,-0.10786804460387475,-0.09288938354717927
hybrid_context,dateblock5,bedtime_arousal,246,0.6097684079733284,0.8000871779529214,-0.052782260870680046,0.0995870612882307,0.13427526694787517
hybrid_context,dateblock5,physiology_strain,246,0.5655961995717542,0.7760540461403191,-0.020532737344583975,0.05490211013609846,0.08789778864815183
family_jepa_context,subject5,badnight_aftereffect,126,0.5264479964869486,0.7566582683268774,-0.22347889733764564,-0.1858547821984529,0.039701505323325885
raw_human_context,dateblock5,bedtime_arousal,260,0.46644381029407456,0.7249093709362292,-0.07154045315665652,-0.05148626024040748,0.017803856423077982
family_jepa_context,dateblock5,bedtime_arousal,126,0.45714307873937265,0.6915524367327327,-0.024845828444497543,0.02148146487876217,0.047621649812996915
raw_human_context,dateblock5,badnight_aftereffect,260,0.44062802163236214,0.6964355367010491,-0.20984867263805965,-0.10558282212962986,0.11764129867241795
hybrid_context,dateblock5,badnight_aftereffect,246,0.4401983320698072,0.728564044500789,-0.1883417963447575,-0.12290092961771386,0.0650227999150289
family_jepa_context,dateblock5,physiology_strain,126,0.43155363106106304,0.6734842809184886,-0.0312740292161324,0.04946223739271989,0.1108660212022726
raw_human_context,dateblock5,physiology_strain,260,0.42561788972004333,0.7248837289132322,-0.04344652767251615,0.06272319768204619,0.11515214174098673
