target,source_family,size
Q1,best_late_fusion,5
Q2,best_late_fusion,5
Q3,event_rhythm,3
Q3,best_late_fusion,2
S1,best_late_fusion,5
S2,best_late_fusion,5
S3,best_late_fusion,5
S4,event_rhythm,5
