row,driver_target,driver_flat,driver_step,bridge_target,bridge_flat,bridge_step,actions,action_count,public_delta_estimate,driver_public_delta,bridge_public_delta,public_utility,old_route_energy,new_route_energy,route_energy_delta,same_direction,driver_h088_alignment,driver_stability,source_support,solver_score,bundle_source,selected_seed,s2hub_score,route_gain,_key,row_support_score,row_support_rank,row_support_min_rank,driver_matched_toxicity,bridge_matched_toxicity,driver_joint_safety,bridge_joint_safety,bundle_joint_safety,driver_hardworld_safe,bridge_hardworld_safe,bundle_hardworld_safe,driver_broad_safe,bridge_broad_safe,bundle_broad_safe,driver_hardworld_top_toxic,bridge_hardworld_top_toxic,driver_broad_top_toxic,bridge_broad_top_toxic,driver_conflict,bridge_conflict,mean_responsibility,mean_selection,mean_listener_benefit,mean_human_state_responsibility,route_quality_raw,route_quality_rank,support_route_safety_score,route_toxicity_fusion_score,action_kind,flat_idx,target,raw_step,amp,decoded_logit_move,variant
19,S4,139,0.7392072684956029,S2,137,0.62,,2,-0.0005274732028893,-0.0005274732028893,0.0,0.0005274732028893,0.6716795897053528,0.6391783889967105,-0.0325012007086422,True,0.6,1.0,9,0.0020346610023341,s2hub_selected,True,0.0023270522401805,0.0325012007086422,19|139|137|1|1,0.6927745460133418,0.856,0.876,True,True,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.6506590171434998,0.8837775202780996,0.7902560414269275,0.6835876993166287,0.0325012007086422,0.8633879781420765,0.8153959324458688,0.7801595593754524,driver,139,S4,0.7392072684956029,0.879411287443475,0.6500672156752927,s2_route_toxicity_fusion
19,S4,139,0.7392072684956029,S2,137,0.62,,2,-0.0005274732028893,-0.0005274732028893,0.0,0.0005274732028893,0.6716795897053528,0.6391783889967105,-0.0325012007086422,True,0.6,1.0,9,0.0020346610023341,s2hub_selected,True,0.0023270522401805,0.0325012007086422,19|139|137|1|1,0.6927745460133418,0.856,0.876,True,True,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.6506590171434998,0.8837775202780996,0.7902560414269275,0.6835876993166287,0.0325012007086422,0.8633879781420765,0.8153959324458688,0.7801595593754524,bridge,137,S2,0.62,0.879411287443475,0.5452349982149545,s2_route_toxicity_fusion
182,S3,1279,1.45,S2,1278,0.62,,2,-0.0058809670752207,-0.0059726593615131,9.169228629240468e-05,0.0058809670752207,0.7520618144445538,0.7400859875143342,-0.0119758269302195,True,0.0,1.0,6,0.0077822876138633,s2hub_selected,True,0.0088824326033768,0.0119758269302195,182|1279|1278|1|1,0.76433689929626,0.912,0.9,True,True,0.9264194669756662,0.9096176129779838,0.9096176129779838,0.9264194669756662,0.9264194669756662,0.9264194669756662,0.5469293163383546,0.522595596755504,0.522595596755504,False,False,False,False,False,False,0.7675501109837282,0.9652954808806489,0.8394505178365939,0.5825968109339409,0.0119758269302195,0.4808743169398907,0.7899572704934016,0.7509186971363357,driver,1279,S3,1.45,0.8784995659648109,1.2738243706489758,s2_route_toxicity_fusion
182,S3,1279,1.45,S2,1278,0.62,,2,-0.0058809670752207,-0.0059726593615131,9.169228629240468e-05,0.0058809670752207,0.7520618144445538,0.7400859875143342,-0.0119758269302195,True,0.0,1.0,6,0.0077822876138633,s2hub_selected,True,0.0088824326033768,0.0119758269302195,182|1279|1278|1|1,0.76433689929626,0.912,0.9,True,True,0.9264194669756662,0.9096176129779838,0.9096176129779838,0.9264194669756662,0.9264194669756662,0.9264194669756662,0.5469293163383546,0.522595596755504,0.522595596755504,False,False,False,False,False,False,0.7675501109837282,0.9652954808806489,0.8394505178365939,0.5825968109339409,0.0119758269302195,0.4808743169398907,0.7899572704934016,0.7509186971363357,bridge,1278,S2,0.62,0.8784995659648109,0.5446697308981828,s2_route_toxicity_fusion
109,S2,767,-1.0944966519250197,S4,769,-0.31,,2,-0.0009753061365721,-0.0009753061365721,-0.0,0.0009753061365721,0.7380815683072779,0.7120670213107225,-0.0260145469965553,True,0.5554285714285714,1.0,3,0.0023179366081776,s2hub_selected,True,0.0025098839444813,0.0260145469965553,109|767|769|-1|-1,0.8569819744299707,0.976,0.984,True,True,0.7902665121668597,0.7821552723059096,0.7821552723059096,0.7902665121668597,0.7821552723059096,0.7821552723059096,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.3579521908355955,0.3402201622247972,0.3864815880322209,0.675626423690205,0.0260145469965553,0.7595628415300546,0.7368130082842635,0.7239325428620408,driver,767,S2,-1.0944966519250197,0.8819141803510034,-0.9652521176793712,s2_route_toxicity_fusion
109,S2,767,-1.0944966519250197,S4,769,-0.31,,2,-0.0009753061365721,-0.0009753061365721,-0.0,0.0009753061365721,0.7380815683072779,0.7120670213107225,-0.0260145469965553,True,0.5554285714285714,1.0,3,0.0023179366081776,s2hub_selected,True,0.0025098839444813,0.0260145469965553,109|767|769|-1|-1,0.8569819744299707,0.976,0.984,True,True,0.7902665121668597,0.7821552723059096,0.7821552723059096,0.7902665121668597,0.7821552723059096,0.7821552723059096,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.3579521908355955,0.3402201622247972,0.3864815880322209,0.675626423690205,0.0260145469965553,0.7595628415300546,0.7368130082842635,0.7239325428620408,bridge,769,S4,-0.31,0.8819141803510034,-0.27339339590881107,s2_route_toxicity_fusion
161,S1,1130,0.4040649299779903,S2,1131,0.62,,2,-0.0001307858550265,-0.0001307858550265,0.0,0.0001307858550265,0.6656427624430343,0.6477562496689714,-0.0178865127740629,True,0.4674285714285714,1.0,3,0.0009209516820926,s2hub_selected,True,0.0010517627955846,0.0178865127740629,161|1130|1131|1|1,0.6084000305282579,0.784,0.808,True,True,0.8470451911935111,0.6060254924681344,0.6060254924681344,0.8470451911935111,0.6060254924681344,0.6060254924681344,0.4913093858632676,0.7995365005793743,0.4913093858632676,False,False,False,False,False,False,0.43912243594124556,0.5276825028968712,0.5661536248561565,0.47541571753986334,0.0178865127740629,0.5901639344262295,0.6278266473979689,0.579355738359697,driver,1130,S1,0.4040649299779903,0.8241455975330454,0.33300833315885897,s2_route_toxicity_fusion
161,S1,1130,0.4040649299779903,S2,1131,0.62,,2,-0.0001307858550265,-0.0001307858550265,0.0,0.0001307858550265,0.6656427624430343,0.6477562496689714,-0.0178865127740629,True,0.4674285714285714,1.0,3,0.0009209516820926,s2hub_selected,True,0.0010517627955846,0.0178865127740629,161|1130|1131|1|1,0.6084000305282579,0.784,0.808,True,True,0.8470451911935111,0.6060254924681344,0.6060254924681344,0.8470451911935111,0.6060254924681344,0.6060254924681344,0.4913093858632676,0.7995365005793743,0.4913093858632676,False,False,False,False,False,False,0.43912243594124556,0.5276825028968712,0.5661536248561565,0.47541571753986334,0.0178865127740629,0.5901639344262295,0.6278266473979689,0.579355738359697,bridge,1131,S2,0.62,0.8241455975330454,0.5109702704704882,s2_route_toxicity_fusion
19,S4,139,0.7392072684956029,S2,137,0.62,,2,-0.0005274732028893,-0.0005274732028893,0.0,0.0005274732028893,0.6716795897053528,0.6391783889967105,-0.0325012007086422,True,0.6,1.0,9,0.0020346610023341,s2hub_selected,True,0.0023270522401805,0.0325012007086422,19|139|137|1|1,0.6927745460133418,0.856,0.876,True,True,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.6506590171434998,0.8837775202780996,0.7902560414269275,0.6835876993166287,0.0325012007086422,0.8633879781420765,0.8153959324458688,0.7801595593754524,driver,139,S4,0.7392072684956029,0.859411287443475,0.6352830703053806,seed_route_toxicity_fusion
19,S4,139,0.7392072684956029,S2,137,0.62,,2,-0.0005274732028893,-0.0005274732028893,0.0,0.0005274732028893,0.6716795897053528,0.6391783889967105,-0.0325012007086422,True,0.6,1.0,9,0.0020346610023341,s2hub_selected,True,0.0023270522401805,0.0325012007086422,19|139|137|1|1,0.6927745460133418,0.856,0.876,True,True,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.6506590171434998,0.8837775202780996,0.7902560414269275,0.6835876993166287,0.0325012007086422,0.8633879781420765,0.8153959324458688,0.7801595593754524,bridge,137,S2,0.62,0.859411287443475,0.5328349982149545,seed_route_toxicity_fusion
