name,source,mode,cap,k,amp,base_mean,base_max,base_pos,sem_mean,sem_max,sem_pos,h088_cos,changed,rows,decision
h155_h061_all_cap1.0_k150_a1.15,h061,all,1.0,150,1.15,-0.002062808119990066,-0.0006439272573988398,10,-0.001876322496406595,-8.700565332373852e-05,10,0.002381613640433275,150,114,2.180664667713676
h155_h061_all_cap0.72_k150_a1.15,h061,all,0.72,150,1.15,-0.0020449841526942293,-0.0006464626607761761,10,-0.0018549450921380793,-0.0005078841300777746,10,0.0028080327903656226,150,114,2.1624569231829
h155_h061_all_cap0.52_k150_a1.15,h061,all,0.52,150,1.15,-0.002032218167360778,-0.0006482721928843079,10,-0.001839648195448173,-0.000808509044769514,10,0.003143133146562206,150,114,2.149389347528872
h155_h061_all_cap1.0_k110_a1.15,h061,all,1.0,110,1.15,-0.0020564672526757802,-0.0006394951679068514,10,-0.001839433027028423,-8.391065233736055e-05,10,0.0017322837896977911,110,85,2.1429081972650526
h155_h061_all_cap0.72_k110_a1.15,h061,all,0.72,110,1.15,-0.002038643285379944,-0.0006420305712841875,10,-0.0018180556227599073,-0.0005047891290913966,10,0.002043839938647439,110,85,2.1248038294351614
h155_h061_all_cap0.38_k150_a1.15,h061,all,0.38,150,1.15,-0.002000581368714755,-0.0006376114589065096,10,-0.00182041931007304,-0.001012080705902004,10,0.003484858142331584,150,114,2.117444996386656
h155_h061_all_cap0.52_k110_a1.15,h061,all,0.52,110,1.15,-0.0020258773000464926,-0.0006438401033923194,10,-0.0018027587260700008,-0.0008054140437831357,10,0.0022891563447310333,110,85,2.1118170593362344
h155_h061_all_cap1.0_k80_a1.15,h061,all,1.0,80,1.15,-0.0020202284824147087,-0.0006057653853832776,10,-0.0017624236745005062,-9.128825736412559e-05,10,0.0008675108633204631,80,63,2.0834477226377204
h155_h061_all_cap0.38_k110_a1.15,h061,all,0.38,110,1.15,-0.001994240501400469,-0.0006331793694145211,10,-0.001783529840694868,-0.001008985704915626,10,0.0025398175998348656,110,85,2.0799546655606176
h155_h061_all_cap0.72_k80_a1.15,h061,all,0.72,80,1.15,-0.002002404515118872,-0.0006083007887606136,10,-0.0017410462702319904,-0.000512166734118162,10,0.0010253313467429213,80,63,2.065481716906804
h155_h061_all_cap0.52_k80_a1.15,h061,all,0.52,80,1.15,-0.0019896385297854206,-0.0006101103208687455,10,-0.0017257493735420837,-0.0008127916488099003,10,0.0011502258136846374,80,63,2.0526033265531045
h155_h061_noS3S4_cap1.0_k150_a1.15,h061,noS3S4,1.0,150,1.15,-0.001955914694881645,-0.0006619587744247874,10,-0.001748225536876019,-0.00011971077649464922,10,0.0016407613358312963,117,95,2.048038009679397
h155_h061_noS3S4_cap1.0_k110_a1.15,h061,noS3S4,1.0,110,1.15,-0.0019563396203607754,-0.0006615634223444674,10,-0.0017480180342605081,-0.00012044118904622329,10,0.0016188947916086999,110,93,2.0428826150483275
h155_h061_noS3S4_cap0.72_k150_a1.15,h061,noS3S4,0.72,150,1.15,-0.0019380907275858088,-0.0006644941778021235,10,-0.0017268481326075038,-0.0005405892532486858,10,0.00196151001583578,117,95,2.029925368571557
h155_h061_noS3S4_cap0.72_k110_a1.15,h061,noS3S4,0.72,110,1.15,-0.001938515653064939,-0.0006640988257218036,10,-0.0017266406299919928,-0.0005413196658002598,10,0.0019353931696015148,110,93,2.0247737992122974
h155_h061_all_cap0.38_k80_a1.15,h061,all,0.38,80,1.15,-0.0019580017311393973,-0.0005994495868909471,10,-0.0017065204881669513,-0.0010163633099423907,10,0.0012784947326848004,80,63,2.020851085879981
h155_h061_noS3S4_cap1.0_k80_a1.15,h061,noS3S4,1.0,80,1.15,-0.00195653717612154,-0.0006499065198411673,10,-0.001731423702454498,-0.00011160091806303343,10,0.001228795639136517,80,70,2.019431260046317
h155_h061_noS3S4_cap0.52_k150_a1.15,h061,noS3S4,0.52,150,1.15,-0.0019253247422523572,-0.0006663037099102554,10,-0.001711551235917597,-0.0008412141679404243,10,0.002223911153857644,117,95,2.0169232222138853
h155_h061_noS3S4_cap0.52_k110_a1.15,h061,noS3S4,0.52,110,1.15,-0.001925749667731487,-0.0006659083578299354,10,-0.0017113437333020857,-0.0008419445804919982,10,0.002194326755041653,110,93,2.0117747736519496
h155_h061_noS3S4_cap0.72_k80_a1.15,h061,noS3S4,0.72,80,1.15,-0.0019387132088257038,-0.0006524419232185034,10,-0.001710046298185982,-0.0005324793948170698,10,0.0014696788978183013,80,70,2.0013904978176673
h155_h061_all_cap1.0_k60_a1.15,h061,all,1.0,60,1.15,-0.0019408314830482373,-0.0005946685411880699,10,-0.00163116012301543,-6.731737072404988e-05,10,0.000386422019009949,60,50,1.9884837032311284
h155_h061_noS3S4_cap0.52_k80_a1.15,h061,noS3S4,0.52,80,1.15,-0.001925947223492252,-0.0006542514553266353,10,-0.0016947494014960755,-0.0008331043095088083,10,0.0016670070195018035,80,70,1.9884469171747003
h155_h061_noS3S4_cap0.38_k150_a1.15,h061,noS3S4,0.38,150,1.15,-0.0018938596620961434,-0.0006556073392507335,10,-0.0016925229802256686,-0.0010447714212915063,10,0.0024960357928595412,117,95,1.9852132298825698
h155_h061_all_cap0.28_k150_a1.15,h061,all,0.28,150,1.15,-0.0018678211114223943,-0.0005997065552585992,10,-0.0017346637267258423,-0.0010253198661678159,10,0.003944481719707885,150,114,1.9842710778746573
h155_h061_noS3S4_cap0.38_k110_a1.15,h061,noS3S4,0.38,110,1.15,-0.0018942845875752738,-0.0006552119871704135,10,-0.0016923154776101574,-0.0010455018338430802,10,0.0024628657869661228,110,93,1.9800680083670044
h155_h061_noS3S4_cap1.0_k60_a1.15,h061,noS3S4,1.0,60,1.15,-0.0019316817339255325,-0.0006134030383785914,10,-0.0016766615679012753,-0.0001032055087057664,10,0.0005133281147847063,60,53,1.9792197386222263
h155_h061_all_cap0.72_k60_a1.15,h061,all,0.72,60,1.15,-0.001923007515752401,-0.000597203944565406,10,-0.0016097827187469146,-0.00048819584747808627,10,0.00045777152565192546,60,50,1.9705955213793145
h155_h061_noS3S4_cap0.72_k60_a1.15,h061,noS3S4,0.72,60,1.15,-0.0019138577666296963,-0.0006159384417559275,10,-0.00165528416363276,-0.0005240839854598028,10,0.0006147580763313785,60,53,1.9613044843609981
h155_h061_all_cap0.52_k60_a1.15,h061,all,0.52,60,1.15,-0.001910241530418949,-0.0005990134766735379,10,-0.0015944858220570076,-0.0007888207621698246,10,0.0005146109597071639,60,50,1.9577783805552127
h155_h061_noS3S4_cap0.38_k80_a1.15,h061,noS3S4,0.38,80,1.15,-0.0018944821433360382,-0.0006435550846671135,10,-0.001675721145804147,-0.00103666156285989,10,0.0018719358240577924,80,70,1.9567974010943863
h155_h061_noS3S4_cap0.52_k60_a1.15,h061,noS3S4,0.52,60,1.15,-0.0019010917812962442,-0.0006177479738640594,10,-0.0016399872669428529,-0.0008247089001515414,10,0.0006981679679577817,60,53,1.9484634301250823
h155_h061_all_cap0.28_k110_a1.15,h061,all,0.28,110,1.15,-0.0018614802441081087,-0.0005952744657666106,10,-0.00169777425734767,-0.001022224865181438,10,0.0028778465154633117,110,85,1.9468901822441917
h155_h061_subjective_cap1.0_k60_a1.15,h061,subjective,1.0,60,1.15,-0.0018966934084039936,-0.0006505615614722077,10,-0.0016682303238463084,-0.00012833248708746502,10,0.0007925895879886015,60,57,1.943980077774804
h155_h061_Q_cap1.0_k60_a1.15,h061,Q,1.0,60,1.15,-0.0018966934084039936,-0.0006505615614722077,10,-0.0016682303238463084,-0.00012833248708746502,10,0.0007925895879886015,60,57,1.943980077774804
h155_h061_subjective_cap1.0_k80_a1.15,h061,subjective,1.0,80,1.15,-0.0018896143608939768,-0.0006526591525897677,10,-0.001666807863992662,-0.00012526378835719585,10,0.0008197328915308926,67,60,1.942476601291599
h155_h061_Q_cap1.0_k80_a1.15,h061,Q,1.0,80,1.15,-0.0018896143608939768,-0.0006526591525897677,10,-0.001666807863992662,-0.00012526378835719585,10,0.0008197328915308926,67,60,1.942476601291599
h155_h061_subjective_cap1.0_k110_a1.15,h061,subjective,1.0,110,1.15,-0.0018896143608939768,-0.0006526591525897677,10,-0.001666807863992662,-0.00012526378835719585,10,0.0008197328915308926,67,60,1.942476601291599
h155_h061_Q_cap1.0_k110_a1.15,h061,Q,1.0,110,1.15,-0.0018896143608939768,-0.0006526591525897677,10,-0.001666807863992662,-0.00012526378835719585,10,0.0008197328915308926,67,60,1.942476601291599
h155_h061_Q_cap1.0_k150_a1.15,h061,Q,1.0,150,1.15,-0.0018896143608939768,-0.0006526591525897677,10,-0.001666807863992662,-0.00012526378835719585,10,0.0008197328915308926,67,60,1.942476601291599
h155_h061_subjective_cap1.0_k150_a1.15,h061,subjective,1.0,150,1.15,-0.0018896143608939768,-0.0006526591525897677,10,-0.001666807863992662,-0.00012526378835719585,10,0.0008197328915308926,67,60,1.942476601291599
h155_h061_all_cap1.4_k150_a1.15,h061,all,1.4,150,1.15,-0.002087717391055676,-0.0006403839918093951,10,-0.001906197750819117,0.0005011785533201005,9,0.0019158668260400487,150,114,1.9352859789201797
