a_h154,b_h155,base_mean,base_max,base_pos,sem_mean,sem_max,sem_pos,h088_cos,changed,rows,decision
1.3,1.3,-0.006653632032695364,-0.002085099036664177,10,-0.005567832431094119,-0.0028100046716521866,10,0.0026488738778391017,160,117,6.71524804620531
1.3,1.15,-0.0063478271922589565,-0.0019898918621258565,10,-0.005292176281479722,-0.002571193710839804,10,0.002611116080234574,160,117,6.409477187786746
1.15,1.3,-0.006197345449397989,-0.0019411158205049112,10,-0.00520951718046927,-0.002452658632494182,10,0.002623390043276891,160,117,6.25898439835904
1.3,1.0,-0.006042022351822549,-0.0018946846875875375,10,-0.005016520131865328,-0.002332382750027422,10,0.0025655109010577822,160,117,6.103713392011597
1.15,1.15,-0.005891540608961581,-0.0018459086459665913,10,-0.0049338610308548745,-0.0022138476716817993,10,0.00258293258214038,160,117,5.953215969637655
1.0,1.3,-0.005740110093554884,-0.0017973295028000742,10,-0.004850093418259595,-0.0020953921986684877,10,0.002606030969679702,160,117,5.801764665682173
1.15,1.0,-0.005585106744832052,-0.0017508320125084618,10,-0.0046574699526697756,-0.0019750894881555535,10,0.0025445276644188537,160,117,5.646816669934076
1.3,0.75,-0.005532269586547333,-0.0017360222571492982,10,-0.004557002046987767,-0.0019343710290983863,10,0.0024689078021722963,160,117,5.594047569525378
1.0,1.15,-0.005433611522240545,-0.0017022662980027306,10,-0.004573626738536165,-0.0018566394443011805,10,0.002574992870057878,160,117,5.495294028657493
1.0,1.0,-0.005127112950926206,-0.0016072030932053865,10,-0.0042971600588127355,-0.0016178866899338752,10,0.0025361180872820787,160,117,5.188830444647652
1.15,0.75,-0.0050742757926414885,-0.0015923933378462225,10,-0.004196692153130727,-0.0015771682308767083,10,0.002461280017784396,160,117,5.136060640625483
1.3,0.5,-0.00502143863435677,-0.0015775835824870577,10,-0.0040962242474487185,-0.0015364497718195415,10,0.0023577490969252136,160,117,5.083316660169537
0.75,1.3,-0.004976787103711807,-0.0015579479706282822,10,-0.004249576928497861,-0.0015000542016323584,10,0.002582607895778331,160,117,5.038462756605607
0.75,1.15,-0.004670288532397468,-0.0014628847658309386,10,-0.003973110248774431,-0.0012613014472650525,10,0.002548923064505219,160,117,4.731994501639413
1.0,0.75,-0.004616281998735641,-0.0014487644185431471,10,-0.003836382259273686,-0.001219965432655032,10,0.002447835816039431,160,117,4.678078946501206
1.15,0.5,-0.004563444840450923,-0.0014339546631839824,10,-0.0037359143535916775,-0.0011792469735978643,10,0.002341757907128229,160,117,4.625337258334508
1.3,0.25,-0.004510607682166204,-0.0014191449078248181,10,-0.003635446447909668,-0.0011385285145406984,10,0.0022023583078136697,159,117,4.572225559689173
0.75,1.0,-0.00436378996108313,-0.0013678215610335948,10,-0.0036966435690510015,-0.0010225486928977473,10,0.0025058616248930096,160,117,4.425534685620725
0.5,1.3,-0.00421346411386873,-0.00131856643845649,10,-0.0036490604387361264,-0.0009047162045962312,10,0.0025331516024515313,160,117,4.275184277426523
1.0,0.5,-0.004105451046545077,-0.0012903257438809073,10,-0.0033756044597346374,-0.0008220441753761879,10,0.0023177993612093885,158,117,4.166565027119989
1.15,0.25,-0.004052613888260359,-0.0012755159885217426,10,-0.003275136554052628,-0.0007813257163190226,10,0.002170494220607213,158,117,4.113860443461813
1.3,0.0,-0.003999776729975641,-0.0012607062331625781,10,-0.0031746686483706196,-0.000740607257261856,10,0.001987732809757713,95,77,4.035987770446859
0.5,1.15,-0.00390696554255439,-0.001223503233659146,10,-0.0033725937590126966,-0.0006659634502289244,10,0.0024934727945467574,160,117,3.968721417039298
0.75,0.75,-0.0038529590088925646,-0.001209382886371355,10,-0.0032358657695119525,-0.0006246274356189044,10,0.002404890549052787,158,117,3.9139946073984175
0.5,1.0,-0.0036004669712400524,-0.0011284400288618021,10,-0.0030961270792892676,-0.0004272106958616201,10,0.002441942581865953,158,117,3.6614692229163732
1.0,0.25,-0.0035946200943545127,-0.0011318870692186675,10,-0.002914826660195588,-0.0004241229180973458,10,0.0021264766815753994,158,117,3.6559062653410948
