spec_name,bundle_id,bundle_kind,row,subject_id,targets,n_cells,full_curv,q2_only_curv,companion_only_curv,full_curv_marginal,q2_only_curv_marginal,companion_only_curv_marginal,q2_rescue_marginal,companion_cost_marginal,bundle_score,bundle_h088_cos,bundle_bad_weighted_pos
q2_conservation_strict_b8_a035,r140_minimum_companions_1,minimum_companions,140,id06,"Q2,S3,Q3",3,-0.0002971435274277453,-0.00026417198915920496,-0.00029870460943095785,-3.548007640144339e-05,-2.508538132903063e-06,-3.7041158404655956e-05,3.297153826854033e-05,1.561082003212564e-06,0.22826167117666318,0.16720746147847085,0.01009805744216589
q2_conservation_strict_b8_a035,r130_minimum_companions_1,minimum_companions,130,id06,"Q2,Q1,S1",3,-0.00029108580894277535,-0.0002653615314468416,-0.00029583638617998085,-2.9422357916473454e-05,-3.698080420539698e-06,-3.417293515367895e-05,2.5724277495933756e-05,4.750577237205497e-06,0.22315045134611117,0.15760102658843936,0.00951790192472533
q2_conservation_strict_b8_a035,r140_top_companions_0,top_companions,140,id06,"Q2,S3,Q3,S1",4,-0.0002945974282510227,-0.00026417198915920496,-0.00029583983835576024,-3.293397722472081e-05,-2.508538132903063e-06,-3.417638732945835e-05,3.042543909181775e-05,1.2424101047375357e-06,0.2230828864923799,0.16174587682554417,0.009768219317342695
q2_conservation_strict_b8_a035,r138_minimum_companions_1,minimum_companions,138,id06,"Q2,S3,S1",3,-0.00029769039229667277,-0.00026388560216662857,-0.0002990197542457893,-3.6026941270370875e-05,-2.2221511403266742e-06,-3.735630321948739e-05,3.38047901300442e-05,1.3293619491165122e-06,0.22294869800420591,0.16691941869586258,0.010080661851449657
q2_conservation_strict_b8_a035,r140_combo2_2,combo2,140,id06,"Q2,S3,S1",3,-0.00029552912125910833,-0.00026417198915920496,-0.00029691550104963063,-3.386567023280643e-05,-2.508538132903063e-06,-3.5252050023328735e-05,3.135713209990337e-05,1.386379790522304e-06,0.22269242010383897,0.16428847334046856,0.00992177278578802
q2_conservation_strict_b8_a035,r130_top_companions_0,top_companions,130,id06,"Q2,Q1,S1,Q3",4,-0.00029053455041993777,-0.0002653615314468416,-0.0002951993865096371,-2.8871099393635875e-05,-3.698080420539698e-06,-3.353593548333523e-05,2.5173018973096177e-05,4.664836089699354e-06,0.19390793031400544,0.15685077515358528,0.009472592450983936
q2_conservation_strict_b8_a035,r031_minimum_companions_1,minimum_companions,31,id02,"Q2,S3,S1",3,-0.0002727458336303937,-0.0002608724385504287,-0.0002743934443296297,-1.1082382604091787e-05,7.910124758731853e-07,-1.272999330332778e-05,1.1873395079964972e-05,1.6476106992359928e-06,0.1803141517401459,0.05410236512038392,0.003267370881131478
q2_conservation_strict_b8_a035,r130_combo2_3,combo2,130,id06,"Q2,S1,Q3",3,-0.00029110651703333126,-0.0002653615314468416,-0.000295875273149259,-2.944306600702936e-05,-3.698080420539698e-06,-3.421182212295709e-05,2.5744985586489662e-05,4.768756115927728e-06,0.17985447332294402,0.15769131718306317,0.00952335478910672
q2_conservation_strict_b8_a035,r128_top_companions_0,top_companions,128,id06,"Q2,S3,S1",3,-0.000289249569991347,-0.0002613472752055145,-0.00028952312756210766,-2.758611896504508e-05,3.1617582078738785e-07,-2.7859676535805762e-05,2.7902294785832468e-05,2.7355757076068243e-07,0.17796613538638695,0.1428940077058662,0.00862970997344471
q2_conservation_strict_b8_a035,r132_minimum_companions_1,minimum_companions,132,id06,"Q2,S3,Q1",3,-0.0002678103634794402,-0.000261930920983036,-0.0002679881776007527,-6.1469124531382795e-06,-2.6746995673409407e-07,-6.324726574450821e-06,5.8794424964041855e-06,1.778141213125417e-07,0.17546667377336003,0.03292521233955307,0.001988432110388359
q2_conservation_strict_b8_a035,r137_minimum_companions_1,minimum_companions,137,id06,"Q2,S1,S3",3,-0.0002662451424154217,-0.00026063718258396615,-0.0002674721303721,-4.581691389119813e-06,1.026268442335743e-06,-5.8086793457980904e-06,5.607959831455556e-06,1.226987956678277e-06,0.1705504591891966,0.026329449822311394,0.0015900982789608248
q2_conservation_strict_b8_a035,r129_top_companions_0,top_companions,129,id06,"Q2,S1,S3",3,-0.00029377546028866637,-0.000262716121654681,-0.00029602395020055785,-3.211200926236447e-05,-1.0526706283790852e-06,-3.4360499174255956e-05,3.1059338633985384e-05,2.248489911891487e-06,0.17025101583432053,0.16802906054915334,0.01014767576982198
q2_conservation_strict_b8_a035,r138_top_companions_0,top_companions,138,id06,"Q2,S3,S1,Q3",4,-0.00029316622722822005,-0.00026388560216662857,-0.0002941623845821872,-3.1502776201918154e-05,-2.2221511403266742e-06,-3.249893355588532e-05,2.928062506159148e-05,9.961573539671656e-07,0.1687733112205013,0.14914343697274587,0.009007127913766884
q2_conservation_strict_b8_a035,r036_top_companions_0,top_companions,36,id02,"Q2,S1,S3",3,-0.00027441189754708896,-0.0002629226369645339,-0.00027477482805825476,-1.2748446520787068e-05,-1.2591859382320245e-06,-1.3111377031952863e-05,1.1489260582555044e-05,3.629305111657946e-07,0.160123979347178,0.07774062223161332,0.004694941612911383
q2_conservation_strict_b8_a035,r138_combo2_2,combo2,138,id06,"Q2,S3,Q3",3,-0.00029360200432381866,-0.00026388560216662857,-0.0002947467610581538,-3.193855329751676e-05,-2.2221511403266742e-06,-3.308331003185191e-05,2.971640215719009e-05,1.1447567343351485e-06,0.15924000965760232,0.1520640934040634,0.009183513322357475
q2_conservation_strict_b8_a035,r137_top_companions_0,top_companions,137,id06,"Q2,S1,S3,Q3",4,-0.00026607293854958637,-0.00026063718258396615,-0.0002672713916196973,-4.40948752328447e-06,1.026268442335743e-06,-5.60794059339541e-06,5.435755965620213e-06,1.19845307011094e-06,0.15495068860447087,0.027124020663567172,0.0016380843073708312
q2_conservation_strict_b8_a035,r031_top_companions_0,top_companions,31,id02,"Q2,S3,S1,Q1",4,-0.00027257792825421826,-0.0002608724385504287,-0.00027422447006831847,-1.0914477227916362e-05,7.910124758731853e-07,-1.256101904201657e-05,1.1705489703789547e-05,1.6465418141002088e-06,0.14917720646530194,0.05408729118503458,0.0032664605302195567
q2_conservation_strict_b8_a035,r002_top_companions_0,top_companions,2,id01,"Q2,S3,S1,Q1",4,-0.0002672611608587781,-0.00026053997983120614,-0.000268246367004761,-5.597709832476198e-06,1.1234711950957547e-06,-6.582915978459083e-06,6.721181027571953e-06,9.852061459828844e-07,0.14888113057110208,0.030851441013670666,0.0018631921134078812
q2_conservation_strict_b8_a035,r002_minimum_companions_1,minimum_companions,2,id01,"Q2,S3,S1",3,-0.0002674155140465384,-0.00026053997983120614,-0.0002684025936966791,-5.752063020236526e-06,1.1234711950957547e-06,-6.739142670377212e-06,6.875534215332281e-06,9.870796501406862e-07,0.14799139863324748,0.03057391780104223,0.0018464318246152835
q2_conservation_strict_b8_a035,r002_combo2_2,combo2,2,id01,"Q2,S3,Q1",3,-0.0002672522660966748,-0.00026053997983120614,-0.0002682395016755086,-5.588815070372904e-06,1.1234711950957547e-06,-6.576050649206725e-06,6.712286265468659e-06,9.872355788338207e-07,0.141198227565409,0.030535605824016352,0.0018441180729363246
q2_conservation_balanced_b12_a032,r140_minimum_companions_1,minimum_companions,140,id06,"Q2,S3,S2",3,-0.0003150034620956401,-0.00026423175835999196,-0.00031638478451868337,-5.334001106933818e-05,-2.5683073336900657e-06,-5.4721333492381476e-05,5.077170373564812e-05,1.381322423043294e-06,0.23556799784246527,0.2456054795707002,0.014832700759200073
q2_conservation_balanced_b12_a032,r140_q_stage_balanced_2,q_stage_balanced,140,id06,"Q2,Q3,S3,S2",4,-0.00031404845083792075,-0.00026423175835999196,-0.0003153440339014901,-5.238499981161885e-05,-2.5683073336900657e-06,-5.368058287518818e-05,4.9816692477928784e-05,1.2955830635693298e-06,0.2326633368081425,0.24274143515977734,0.014659734285558959
q2_conservation_balanced_b12_a032,r140_combo3_8,combo3,140,id06,"Q2,S3,S2,S1",4,-0.0003125546007724696,-0.00026423175835999196,-0.0003137757920897524,-5.089114974616768e-05,-2.5683073336900657e-06,-5.211234106345048e-05,4.8322842412477614e-05,1.2211913172827972e-06,0.22842609993334148,0.24019143476760324,0.014505733679305901
q2_conservation_balanced_b12_a032,r140_combo2_3,combo2,140,id06,"Q2,S3,Q3",3,-0.00029726748135555235,-0.00026423175835999196,-0.00029875981788804354,-3.560403032925046e-05,-2.5683073336900657e-06,-3.709636686174164e-05,3.303572299556039e-05,1.4923365324911834e-06,0.2282638528045999,0.16757487034377305,0.010120246139929599
q2_conservation_balanced_b12_a032,r147_minimum_companions_1,minimum_companions,147,id06,"Q2,S2,S1",3,-0.00029753035662786597,-0.0002640025192896672,-0.0002988421079071679,-3.5866905601564074e-05,-2.3390682633653032e-06,-3.7178656880866015e-05,3.352783733819877e-05,1.3117512793019408e-06,0.22822852171504446,0.16740535756669214,0.010110008858979282
q2_conservation_balanced_b12_a032,r140_top_companions_0,top_companions,140,id06,"Q2,S3,S2,Q3,S1",5,-0.00031172824644473294,-0.00026423175835999196,-0.00031288180195321856,-5.0064795418431045e-05,-2.5683073336900657e-06,-5.121835092691666e-05,4.749648808474098e-05,1.1535555084856135e-06,0.2274520346449593,0.23779299573819984,0.014360886225273076
q2_conservation_balanced_b12_a032,r130_minimum_companions_1,minimum_companions,130,id06,"Q2,Q1,S1",3,-0.00029155939406420406,-0.0002654765218161263,-0.00029611715176743026,-2.989594303790216e-05,-3.8130707898243865e-06,-3.445370074112836e-05,2.6082872248077774e-05,4.557757703226202e-06,0.22323676185607422,0.15820721417752012,0.009554511039181948
q2_conservation_balanced_b12_a032,r140_combo3_9,combo3,140,id06,"Q2,S3,Q3,S1",4,-0.0002948599661376267,-0.00026423175835999196,-0.00029605018197342934,-3.319651511132478e-05,-2.5683073336900657e-06,-3.438673094712744e-05,3.0628207777634716e-05,1.1902158358026611e-06,0.2231149015140544,0.16228604260688703,0.00980084121734681
q2_conservation_balanced_b12_a032,r138_minimum_companions_1,minimum_companions,138,id06,"Q2,S3,S1",3,-0.0002977682940865521,-0.0002639406507684524,-0.00029903967344899196,-3.610484306025021e-05,-2.2771997421505187e-06,-3.7376222422690064e-05,3.382764331809969e-05,1.2713793624398537e-06,0.2229362480506058,0.16729576797316398,0.01010339048201975
q2_conservation_balanced_b12_a032,r140_combo2_4,combo2,140,id06,"Q2,S3,S1",3,-0.00029576176573773436,-0.00026423175835999196,-0.000297088848748421,-3.409831471143246e-05,-2.5683073336900657e-06,-3.542539772211908e-05,3.15300073777424e-05,1.327083010686618e-06,0.2227211403598186,0.16475211839908369,0.009949773416820115
q2_conservation_balanced_b12_a032,r140_combo2_5,combo2,140,id06,"Q2,S2,Q3",3,-0.00029705957892181166,-0.00026423175835999196,-0.0002985518480943647,-3.539612789550976e-05,-2.5683073336900657e-06,-3.6888397068062786e-05,3.2827820561819694e-05,1.4922691725530266e-06,0.22260642324455512,0.16757487034446494,0.010120246139971383
q2_conservation_balanced_b12_a032,r054_top_companions_0,top_companions,54,id02,"Q2,S3,S1,S2",4,-0.00028942346034241634,-0.0002609119866245945,-0.00029285716932922284,-2.776000931611444e-05,7.514644017074176e-07,-3.119371830292094e-05,2.8511473717821858e-05,3.4337089868064982e-06,0.2198413603338463,0.1302700468750579,0.007867318866672432
q2_conservation_balanced_b12_a032,r147_top_companions_0,top_companions,147,id06,"Q2,S2,S1,Q1",4,-0.0002965621788306623,-0.0002640025192896672,-0.0002977476013229668,-3.48987278043604e-05,-2.3390682633653032e-06,-3.60841502966649e-05,3.25596595409951e-05,1.1854224923044977e-06,0.21732464007689895,0.16482215407929154,0.009954003038605452
q2_conservation_balanced_b12_a032,r140_combo2_6,combo2,140,id06,"Q2,S2,S1",3,-0.00029555401476130346,-0.00026423175835999196,-0.0002968810317281101,-3.389056373500157e-05,-2.5683073336900657e-06,-3.5217580701808185e-05,3.13222564013115e-05,1.3270169668066177e-06,0.2170637585088284,0.16475211839974935,0.009949773416860316
q2_conservation_balanced_b12_a032,r247_combo2_3,combo2,247,id10,"Q2,S2,S1",3,-0.00026632887964630775,-0.00026313928398618495,-0.0002662823163819025,-4.665428620005858e-06,-1.4758329598830566e-06,-4.618865355600615e-06,3.189595660122802e-06,-4.656326440524369e-08,0.21705631290534247,0.025217812954566158,0.0015229638769068466
