split,subject_id,target,k,objective,peers,heldout_cells,kept_cells,score_col,mode,threshold,objective_score,peer_cells,peer_selected_cells,peer_gain_sum,peer_selected_gain_sum,peer_improvement_sum,peer_negative_improvement_subjects,peer_min_subject_improvement,rows,kept_rows
oof,id04,Q2,1,subject_balanced_listener,id09,3.0,3.0,wm_energy_calendar_rhythm,all,0.0,0.0,2,2.0,0.6979202343533005,0.6979202343533005,0.0,0.0,0.0,,
oof,id04,Q3,1,subject_balanced_listener,id09,2.0,2.0,wm_energy_calendar_rhythm,all,0.0,0.0,3,3.0,1.2357867021353437,1.2357867021353437,0.0,0.0,0.0,,
oof,id04,S4,1,subject_balanced_listener,id09,1.0,1.0,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,,
oof,id05,Q2,1,subject_balanced_listener,id06,1.0,0.0,wm_energy_app_social_context,high_energy_listener,1.6942730761056815,0.7075563329930693,6,4.0,0.5879467251418942,1.2605030581349634,0.6725563329930693,0.0,0.672556332993069,,
oof,id05,S2,1,subject_balanced_listener,id06,4.0,4.0,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,,
oof,id05,S3,1,subject_balanced_listener,id06,6.0,1.0,wm_energy_rank_max,high_energy_listener,0.8805555555555555,1.099481471119524,6,2.0,-0.7368810449798461,0.3276004261396781,1.064481471119524,0.0,1.064481471119524,,
oof,id05,S4,1,subject_balanced_listener,id06,4.0,4.0,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,,
oof,id06,Q2,1,subject_balanced_listener,id08,6.0,6.0,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,,
oof,id06,Q3,1,subject_balanced_listener,id08,1.0,0.0,wm_energy_body_activity_sleep,low_energy_listener,0.7800722661332451,0.24210269034663953,3,2.0,0.0962708981810767,0.30337358852771623,0.20710269034663953,0.0,0.20710269034663953,,
oof,id06,S3,1,subject_balanced_listener,id08,6.0,6.0,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,,
oof,id07,S3,1,subject_balanced_listener,id10,1.0,1.0,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,,
oof,id08,Q3,1,subject_balanced_listener,id07,3.0,3.0,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,,
oof,id09,Q2,1,subject_balanced_listener,id04,2.0,1.0,wm_energy_app_social_context,low_energy_listener,1.9599782775686256,0.4050884257638431,3,2.0,0.48955828442639343,0.8596467101902365,0.3700884257638431,0.0,0.3700884257638431,,
oof,id09,Q3,1,subject_balanced_listener,id04,3.0,3.0,wm_energy_calendar_rhythm,all,0.0,0.0,2,2.0,-0.46195981659608665,-0.46195981659608665,0.0,0.0,0.0,,
oof,id10,S2,1,subject_balanced_listener,id07,1.0,1.0,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,,
test,id01,Q1,1,subject_balanced_listener,id06,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id01,Q2,1,subject_balanced_listener,id06,,,wm_energy_app_social_context,high_energy_listener,1.6942730761056815,0.7075563329930693,6,4.0,0.5879467251418942,1.2605030581349634,0.6725563329930693,0.0,0.672556332993069,27.0,9.0
test,id01,Q3,1,subject_balanced_listener,id06,,,wm_energy_calendar_rhythm,all,0.0,0.0,1,1.0,0.29821632585829716,0.29821632585829716,0.0,0.0,0.0,27.0,27.0
test,id01,S1,1,subject_balanced_listener,id06,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id01,S2,1,subject_balanced_listener,id06,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
