candidate_id,file,resolved_path,family,top_k,bottom_k,top_alpha,bottom_keep,middle_keep,mode,posterior_delta_vs_h057,changed_cells_vs_h057,changed_rows_vs_h057,changed_cells_vs_h042,retained_h057_support_cells,q2_changed_vs_h057,mean_top_support,mean_bottom_support,min_top_gain061,max_bottom_gain061,Q1_changed_vs_h057,Q2_changed_vs_h057,Q3_changed_vs_h057,S1_changed_vs_h057,S2_changed_vs_h057,S3_changed_vs_h057,S4_changed_vs_h057,h061_score
h061_split_tail_middle_t36_b24_a1p1_bk0p2_mk0p9_logit_69e9c079,submission_h061_split_tail_middle_t36_b24_a1p1_bk0p2_mk0p9_logit_69e9c079.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b24_a1p1_bk0p2_mk0p9_logit_69e9c079.csv,split_tail_middle,36,24,1.1,0.2,0.9,logit,-1.8336955245570268e-06,270,45,270,270,0,0.8987654320987656,0.20789351851851853,0.0016375064223136393,4.259305529913382e-05,45,0,45,45,45,45,45,0.3861869131455399
h061_split_tail_middle_t36_b24_a1p1_bk0p0_mk0p9_logit_2018b2cc,submission_h061_split_tail_middle_t36_b24_a1p1_bk0p0_mk0p9_logit_2018b2cc.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b24_a1p1_bk0p0_mk0p9_logit_2018b2cc.csv,split_tail_middle,36,24,1.1,0.0,0.9,logit,-1.8270730030168204e-06,270,45,246,246,0,0.8987654320987656,0.20789351851851853,0.0016375064223136393,4.259305529913382e-05,45,0,45,45,45,45,45,0.3858348004694835
h061_split_tail_middle_t36_b24_a1p1_bk0p4_mk0p9_logit_e040b256,submission_h061_split_tail_middle_t36_b24_a1p1_bk0p4_mk0p9_logit_e040b256.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b24_a1p1_bk0p4_mk0p9_logit_e040b256.csv,split_tail_middle,36,24,1.1,0.4,0.9,logit,-1.821551127403513e-06,270,45,270,270,0,0.8987654320987656,0.20789351851851853,0.0016375064223136393,4.259305529913382e-05,45,0,45,45,45,45,45,0.3851305751173708
h061_split_tail_middle_t36_b42_a1p1_bk0p4_mk0p9_logit_f9701788,submission_h061_split_tail_middle_t36_b42_a1p1_bk0p4_mk0p9_logit_f9701788.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b42_a1p1_bk0p4_mk0p9_logit_f9701788.csv,split_tail_middle,36,42,1.1,0.4,0.9,logit,-1.747946311347057e-06,270,45,270,270,0,0.8987654320987656,0.2403439153439153,0.0016375064223136393,4.7538100797384075e-05,45,0,45,45,45,45,45,0.3833700117370892
h061_split_tail_middle_t36_b42_a1p1_bk0p2_mk0p9_logit_b2c8622e,submission_h061_split_tail_middle_t36_b42_a1p1_bk0p2_mk0p9_logit_b2c8622e.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b42_a1p1_bk0p2_mk0p9_logit_b2c8622e.csv,split_tail_middle,36,42,1.1,0.2,0.9,logit,-1.7129485660545027e-06,270,45,270,270,0,0.8987654320987656,0.2403439153439153,0.0016375064223136393,4.7538100797384075e-05,45,0,45,45,45,45,45,0.38160944835680743
h061_split_tail_middle_t36_b42_a1p1_bk0p0_mk0p9_logit_d89f1a84,submission_h061_split_tail_middle_t36_b42_a1p1_bk0p0_mk0p9_logit_d89f1a84.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b42_a1p1_bk0p0_mk0p9_logit_d89f1a84.csv,split_tail_middle,36,42,1.1,0.0,0.9,logit,-1.6492713461919555e-06,270,45,228,228,0,0.8987654320987656,0.2403439153439153,0.0016375064223136393,4.7538100797384075e-05,45,0,45,45,45,45,45,0.3798488849765258
h061_split_tail_middle_t36_b60_a1p1_bk0p4_mk0p9_logit_80e5eeb6,submission_h061_split_tail_middle_t36_b60_a1p1_bk0p4_mk0p9_logit_80e5eeb6.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b60_a1p1_bk0p4_mk0p9_logit_80e5eeb6.csv,split_tail_middle,36,60,1.1,0.4,0.9,logit,-1.6097436452543433e-06,270,45,270,270,0,0.8987654320987656,0.2652237654320988,0.0016375064223136393,0.0001598705963469227,45,0,45,45,45,45,45,0.37808832159624406
h061_split_tail_middle_t36_b60_a1p1_bk0p2_mk0p9_logit_39942995,submission_h061_split_tail_middle_t36_b60_a1p1_bk0p2_mk0p9_logit_39942995.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b60_a1p1_bk0p2_mk0p9_logit_39942995.csv,split_tail_middle,36,60,1.1,0.2,0.9,logit,-1.4233450061585082e-06,270,45,270,270,0,0.8987654320987656,0.2652237654320988,0.0016375064223136393,0.0001598705963469227,45,0,45,45,45,45,45,0.3692855046948357
h061_split_tail_middle_t36_b84_a1p1_bk0p4_mk0p9_logit_be5c2fdd,submission_h061_split_tail_middle_t36_b84_a1p1_bk0p4_mk0p9_logit_be5c2fdd.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b84_a1p1_bk0p4_mk0p9_logit_be5c2fdd.csv,split_tail_middle,36,84,1.1,0.4,0.9,logit,-1.1701676088173022e-06,270,45,270,270,0,0.8987654320987656,0.2980787037037037,0.0016375064223136393,0.00030257531511035385,45,0,45,45,45,45,45,0.35520099765258206
h061_split_tail_middle_t36_b60_a1p1_bk0p0_mk0p9_logit_50ef37be,submission_h061_split_tail_middle_t36_b60_a1p1_bk0p0_mk0p9_logit_50ef37be.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b60_a1p1_bk0p0_mk0p9_logit_50ef37be.csv,split_tail_middle,36,60,1.1,0.0,0.9,logit,-1.1530996303011098e-06,270,45,210,210,0,0.8987654320987656,0.2652237654320988,0.0016375064223136393,0.0001598705963469227,45,0,45,45,45,45,45,0.3541446596244131
h061_split_tail_middle_t36_b84_a1p1_bk0p2_mk0p9_logit_993f9f2c,submission_h061_split_tail_middle_t36_b84_a1p1_bk0p2_mk0p9_logit_993f9f2c.csv,/Users/kbsoo/Downloads/cl2/hitl/h061_h057_feedback_support_translator_jepa/submission_h061_split_tail_middle_t36_b84_a1p1_bk0p2_mk0p9_logit_993f9f2c.csv,split_tail_middle,36,84,1.1,0.2,0.9,logit,-5.164746931067927e-07,270,45,270,270,0,0.8987654320987656,0.2980787037037037,0.0016375064223136393,0.00030257531511035385,45,0,45,45,45,45,45,0.3365390258215962
