law_name,feature_view,model_name,policy,param,logloss,selected_rows,switched_cells,mean_realized_gain_all_rows,mean_realized_gain_selected_rows,positive_row_gain_rate,row_null_p_ge_observed,row_null_z,row_null_mean,row_null_std
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,topfrac,0.06,0.6340299447904069,6,42,0.0029671373605880506,0.051924903810290884,0.8333333333333334,0.005833333333333334,2.2410162885973577,-0.001166678439241766,0.0018446165790330573
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,topfrac,0.08,0.6341819365096667,8,56,0.0028151456413281245,0.03694878654243163,0.75,0.012,2.0967715334551946,-0.0015388893451418581,0.0020765423972039167
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,threshold,0.04,0.6343270164554756,9,63,0.0026700656955192495,0.031150766447724576,0.6666666666666666,0.015,2.0051716044734595,-0.0017853368884881047,0.002221955753845469
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,topfrac,0.04,0.6344536996918121,4,28,0.0025433824591828283,0.06676378955354924,1.0,0.007166666666666667,2.185183049105851,-0.0007729740965883298,0.0015176561785650723
episode_context__elasticnet_sparse,episode_context,elasticnet_sparse,topfrac,0.15,0.6346542953968206,16,112,0.00234278675417416,0.015374538074267925,0.75,0.017166666666666667,2.032065593845081,-0.0033640352252884385,0.002808384727711536
episode_context__elasticnet_sparse,episode_context,elasticnet_sparse,topfrac,0.2,0.6349208377703561,21,147,0.0020762443806387346,0.010381221903193672,0.7142857142857143,0.01633333333333333,2.0910801514990767,-0.004454591254987848,0.003123187617148336
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,topfrac,0.15,0.6350715502896405,16,112,0.0019255318613543443,0.012636302840137885,0.6875,0.033166666666666664,1.7869560851493704,-0.003133300828446965,0.0028309776226976753
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,topfrac,0.1,0.6352571214536656,10,70,0.0017399606973291576,0.018269587321956153,0.6,0.052,1.5817220711278628,-0.0019457088257974918,0.0023301625427143125
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,topfrac,0.2,0.6353872467808122,21,147,0.0016098353701825912,0.008049176850912956,0.5714285714285714,0.033666666666666664,1.8245182766529946,-0.004138586119014464,0.003150651633779357
route_reset_context__elasticnet_sparse,route_reset_context,elasticnet_sparse,topfrac,0.04,0.6354726903032829,4,28,0.001524391847712009,0.04001528600244024,0.75,0.04083333333333333,1.5646263861972343,-0.00083285589177895,0.001506588256650945
route_reset_context__elasticnet_sparse,route_reset_context,elasticnet_sparse,topfrac,0.02,0.635863416281296,2,14,0.0011336658696989531,0.05951745815919504,1.0,0.0485,1.4659390204360985,-0.00041451380786038073,0.0010561010082798465
route_reset_context__elasticnet_sparse,route_reset_context,elasticnet_sparse,topfrac,0.06,0.6358874678182476,6,42,0.0011096143327473244,0.019418250823078177,0.6666666666666666,0.08633333333333333,1.2993649302737407,-0.0012644159042151768,0.0018270696566070608
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,topfrac,0.02,0.6359812113123783,2,14,0.0010158708386165997,0.05333321902737148,1.0,0.06766666666666667,1.3111732555552866,-0.0003822198861698729,0.0010662898429806486
episode_context__tree_depth2_leaf5,episode_context,tree_depth2_leaf5,topfrac,0.01,0.6359901721749205,1,7,0.0010069099760742683,0.10572554748779817,1.0,0.12266666666666666,1.0888136670745288,-0.00014978526032149222,0.0010623445235617027
episode_context__tree_depth4_leaf3,episode_context,tree_depth4_leaf3,topfrac,0.01,0.6359901721749205,1,7,0.0010069099760742683,0.10572554748779817,1.0,0.11833333333333333,1.0722487371808498,-0.00022327865588934247,0.0011472978137498356
episode_context__tree_depth5_leaf2,episode_context,tree_depth5_leaf2,topfrac,0.01,0.6359901721749205,1,7,0.0010069099760742683,0.10572554748779817,1.0,0.11833333333333333,1.081106767701698,-0.0002195698016814342,0.001134466839351168
