fold,target,view,mae,rmse,spearman,task
0,public_score,trees,0.09004510110507813,0.12959348515186145,0.8107339477125356,ctx_to_public
1,public_score,trees,0.09063699914915695,0.12581114700687193,0.8311222703479034,ctx_to_public
2,public_score,trees,0.08477793380488786,0.11952614769634555,0.8636575589372024,ctx_to_public
3,public_score,trees,0.09803574139596082,0.13767782142819085,0.7975738468144732,ctx_to_public
4,public_score,trees,0.08847146126667782,0.12373535605535647,0.8151743402529532,ctx_to_public
0,private_safe_score,trees,0.0641682414993804,0.08309225894268368,0.9433022345841232,ctx_to_private
1,private_safe_score,trees,0.06414337812732002,0.08204889301536518,0.9344167520752573,ctx_to_private
2,private_safe_score,trees,0.07378995993502295,0.09172405911820462,0.9560671045142682,ctx_to_private
3,private_safe_score,trees,0.0698902489490028,0.0892866695597127,0.9488603449772983,ctx_to_private
4,private_safe_score,trees,0.06102635798865121,0.07839535666383458,0.9350423592086199,ctx_to_private
0,factor_action_score,trees,0.06363799090102482,0.08271481827037708,0.9255177380337084,ctx_to_action
1,factor_action_score,trees,0.06372597707746692,0.0816181454941075,0.9153078217037868,ctx_to_action
2,factor_action_score,trees,0.07302103732567179,0.09097570382865966,0.9385055509869507,ctx_to_action
3,factor_action_score,trees,0.06823416288289265,0.08670435249094922,0.939496046713842,ctx_to_action
4,factor_action_score,trees,0.06206507915132622,0.07846607253417291,0.9263854413370064,ctx_to_action
0,private_safe_score,trees,0.08501023411364911,0.10735669100888576,0.9078671202333172,route_to_private
1,private_safe_score,trees,0.0791701577172092,0.09844301900140377,0.9099591251980047,route_to_private
2,private_safe_score,trees,0.11374353360953111,0.13565564333371155,0.911845411066316,route_to_private
3,private_safe_score,trees,0.10230357671654709,0.1237550550354188,0.8963587183430812,route_to_private
4,private_safe_score,trees,0.07943840870548712,0.09895637332410953,0.8959058037493751,route_to_private
0,invariant_score,trees,0.11093541428629417,0.1371854523229093,0.5398749446967486,public_to_invariant
1,invariant_score,trees,0.1077253869534644,0.13773645081144692,0.36586182063494616,public_to_invariant
2,invariant_score,trees,0.15972174146847024,0.1862944136529366,0.3625599738499451,public_to_invariant
3,invariant_score,trees,0.13836524898097546,0.16515141762040367,0.5145209106672957,public_to_invariant
4,invariant_score,trees,0.1348322706485864,0.1566027533714194,0.32464320821775944,public_to_invariant
0,shortcut_score,trees,0.10311424883645837,0.12784058748768154,0.7836106760826232,shortcut_pred
1,shortcut_score,trees,0.11989574049780637,0.14776785616409763,0.7125240936968802,shortcut_pred
2,shortcut_score,trees,0.12458888363931787,0.15654910173790312,0.7699414841222778,shortcut_pred
3,shortcut_score,trees,0.09129435050429063,0.11591391297547554,0.7790492486555733,shortcut_pred
4,shortcut_score,trees,0.10874842204162102,0.13357468174333723,0.7228553080295851,shortcut_pred
0,public_score,ridge,0.09612764451991815,0.13769303012339934,0.7731975974119483,linear_ctx_public
1,public_score,ridge,0.10015700796294925,0.13436809432280872,0.7880610379189206,linear_ctx_public
2,public_score,ridge,0.09091105223578702,0.12900016119550498,0.8286375751731866,linear_ctx_public
3,public_score,ridge,0.1058010623792987,0.14850828476209407,0.7553203131226262,linear_ctx_public
4,public_score,ridge,0.0972101004468734,0.1322485162551491,0.7798836466248663,linear_ctx_public
0,private_safe_score,ridge,0.04607724233355834,0.06596262012324713,0.9634569036955064,linear_ctx_private
1,private_safe_score,ridge,0.04777778641601526,0.0643063711883979,0.961212191863124,linear_ctx_private
2,private_safe_score,ridge,0.042859237458885105,0.06140821296878767,0.9753865013458776,linear_ctx_private
3,private_safe_score,ridge,0.050627383367346575,0.07125861498773627,0.9605953064911922,linear_ctx_private
4,private_safe_score,ridge,0.047488597827251115,0.0637341040838006,0.952932560596762,linear_ctx_private
