target,model_kind,mae,rmse,spearman,auc_h069,auc_h068,task,n_features
public_score,trees,0.09035537282487155,0.12737480447674887,0.8192702517337239,0.4670423187705198,0.44938095238095244,ctx_to_public,75
private_safe_score,trees,0.06664427175841714,0.0850920750153008,0.9416685426789411,0.46771204705218844,0.4394530612244898,ctx_to_private,75
factor_action_score,trees,0.06616893220415096,0.08425363820798128,0.9284688731486067,0.46795627127520295,0.4350503401360544,ctx_to_action,75
private_safe_score,trees,0.09200015629773621,0.11386043748248288,0.8944440415677337,0.4668937700163152,0.4501170068027211,route_to_private,53
invariant_score,trees,0.13019742347727847,0.15761957930473852,0.40545544906812986,0.48440112192076057,0.4788938775510204,public_to_invariant,62
shortcut_score,trees,0.10968355981744304,0.13728490244935435,0.7493708721900155,0.512712248474228,0.5400585034013605,shortcut_pred,71
public_score,ridge,0.09798927127474773,0.13647857012938905,0.787387156678683,0.4675055894615989,0.44401768707482997,linear_ctx_public,75
private_safe_score,ridge,0.04693048822935771,0.06538850226476248,0.96488193017719,0.4614125727637117,0.432891156462585,linear_ctx_private,75
