target,policy,decoder_action,fraction,subject_id,selected_cells,gain_sum
Q1,hold,none,0.0,id01,0,0.0
Q1,hold,none,0.0,id02,0,0.0
Q1,hold,none,0.0,id03,0,0.0
Q1,hold,none,0.0,id04,0,0.0
Q1,hold,none,0.0,id05,0,0.0
Q1,hold,none,0.0,id06,0,0.0
Q1,hold,none,0.0,id07,0,0.0
Q1,hold,none,0.0,id08,0,0.0
Q1,hold,none,0.0,id09,0,0.0
Q1,hold,none,0.0,id10,0,0.0
Q1,release_high_all,raw_memory_release,0.02,id01,0,0.0
Q1,release_high_all,raw_memory_release,0.02,id02,2,0.7778520780479938
Q1,release_high_all,raw_memory_release,0.02,id03,0,0.0
Q1,release_high_all,raw_memory_release,0.02,id04,4,-0.7506841899609236
Q1,release_high_all,raw_memory_release,0.02,id05,1,0.19638761626061246
Q1,release_high_all,raw_memory_release,0.02,id06,1,0.2700280391770674
Q1,release_high_all,raw_memory_release,0.02,id07,0,0.0
Q1,release_high_all,raw_memory_release,0.02,id08,0,0.0
Q1,release_high_all,raw_memory_release,0.02,id09,0,0.0
Q1,release_high_all,raw_memory_release,0.02,id10,1,-0.21317381692390447
Q1,release_high_decisive,raw_memory_release,0.02,id01,0,0.0
Q1,release_high_decisive,raw_memory_release,0.02,id02,1,0.44462149082639796
Q1,release_high_decisive,raw_memory_release,0.02,id03,0,0.0
Q1,release_high_decisive,raw_memory_release,0.02,id04,4,-0.7506841899609236
Q1,release_high_decisive,raw_memory_release,0.02,id05,0,0.0
Q1,release_high_decisive,raw_memory_release,0.02,id06,1,0.2700280391770674
Q1,release_high_decisive,raw_memory_release,0.02,id07,0,0.0
Q1,release_high_decisive,raw_memory_release,0.02,id08,0,0.0
Q1,release_high_decisive,raw_memory_release,0.02,id09,0,0.0
Q1,release_high_decisive,raw_memory_release,0.02,id10,1,-0.21317381692390447
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id01,0,0.0
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id02,0,0.0
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id03,1,-0.2564982144159834
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id04,0,0.0
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id05,1,-0.08087732315558427
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id06,3,-0.5809678529457166
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id07,0,0.0
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id08,1,0.1505158415014164
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id09,0,0.0
Q1,inverse_low_decisive,inverse_toxic_memory,0.02,id10,1,-0.25578234368317865
Q1,release_high_all,raw_memory_release,0.04,id01,0,0.0
Q1,release_high_all,raw_memory_release,0.04,id02,5,1.0138017387424334
Q1,release_high_all,raw_memory_release,0.04,id03,0,0.0
Q1,release_high_all,raw_memory_release,0.04,id04,8,-1.3422219097239094
Q1,release_high_all,raw_memory_release,0.04,id05,1,0.19638761626061246
Q1,release_high_all,raw_memory_release,0.04,id06,1,0.2700280391770674
Q1,release_high_all,raw_memory_release,0.04,id07,0,0.0
