target,target_route_family,policy,decoder_action,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,min_subject_gain,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,conservation_score,subject_gain_sum,subject_positive_count,subject_negative_count,subject_active_count,subject_no_action_count,subject_min_gain,subject_lower_quartile_gain,subject_selected_positive_gain_rate,subject_balance_score,accepted,accept_reason
Q1,subjective_q_shadow,hold,none,0.0,0,0.0,0.0,,0,0,0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,10,0.0,0.0,,-1.2,False,no_policy_passed_subject_balance_gate
Q2,intervention_stage_bridge,release_high_decisive,raw_memory_release,0.18,67,2.7345874945660626,0.04081473872486661,0.6268656716417911,7,7,0,0.05080992860497091,0.4220129825322874,2.0789649739057503,2.312574512033775,1.112368193336679,3.964266322664426,2.734587494566062,7,0,7,3,0.0,0.012702482151242728,0.6268656716417911,6.337799318423255,True,positive_gain_subject_balance_target_shuffle_lift
Q3,subjective_q_shadow,inverse_low_decisive,inverse_toxic_memory,0.02,7,0.7272626131652291,0.10389465902360416,0.8571428571428571,3,3,0,0.04852709693374185,0.04072975245359911,0.4762945704957373,0.68653286071163,1.441403919421278,1.6500746838344023,0.727262613165229,3,0,3,7,0.0,0.0,0.8571428571428571,1.4775491144142996,True,positive_gain_subject_balance_target_shuffle_lift
S1,objective_s1_toxic_watch,hold,none,0.0,0,0.0,0.0,,0,0,0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,10,0.0,0.0,,-1.2,False,no_policy_passed_subject_balance_gate
S2,intervention_stage_bridge,hold,none,0.0,0,0.0,0.0,,0,0,0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,10,0.0,0.0,,-1.2,False,no_policy_passed_subject_balance_gate
S3,objective_tail_bridge,inverse_low_decisive,inverse_toxic_memory,0.1,35,2.9534389523654143,0.08438397006758326,0.9428571428571428,7,5,2,-0.4335135559020904,-0.6202205164458983,1.3666278685974649,3.5736594688113126,2.6149470173463296,3.7199547679066454,2.9534389523654143,5,2,7,3,-0.4335135559020904,0.0,0.9428571428571428,4.134111632908119,True,positive_gain_subject_balance_target_shuffle_lift
S4,objective_tail_bridge,release_high_decisive,raw_memory_release,0.18,57,3.7075097767231493,0.06504403117058156,0.7368421052631579,9,8,1,-0.3756283559428514,-0.2041007887328333,1.6554722200963548,3.9116105654559825,2.362836728983777,5.071981344788278,3.7075097767231493,8,1,9,1,-0.3756283559428514,0.06965806867927404,0.7368421052631579,7.502093881670815,True,positive_gain_subject_balance_target_shuffle_lift
