variant,submission_file,verdict,cells,joint_safety_weighted,target_null_joint_safety_z,hardworld_top_toxic_exposure,target_null_hard_top_p,broad_safe_hardworld_toxic_exposure,target_null_conflict_p,source_null_conflict_p
dual_safe_expansion,submission_hsjepa_factorized_toxicity_decoder_dual_safe_expansion_23b6de1e_uploadsafe.csv,factorized_decoder_stress_supported,114,0.7125130340712691,13.666882031010777,0.0,0.0,0.0,0.0,0.0013333333333333333
teacher_dual_head,submission_hsjepa_factorized_toxicity_decoder_teacher_dual_head_2a3c5d2d_uploadsafe.csv,factorized_decoder_alive_but_source_null_weak,94,0.709917604144276,12.067193716278435,0.0,0.0,0.0,0.0,1.0
