iteration,joint_safety_weighted,hardworld_safe_weighted,broad_safe_weighted,joint_risk_weighted,hardworld_top_toxic_exposure,broad_top_toxic_exposure,broad_safe_hardworld_toxic_exposure,dual_safe_exposure
0,0.6832149778738766,0.842783409998399,0.5400631985317996,0.31678502212612336,0.0,0.17244908361466363,0.0,0.40344038480509303
1,0.7013575239125772,0.8376684140460172,0.5589908039636017,0.2986424760874228,0.0,0.13931276687126387,0.0,0.4322892339131353
2,0.7065643582848521,0.8427555614774555,0.5589435753446249,0.2934356417151479,0.0,0.14759503129208168,0.0,0.43101547748187946
3,0.7046840201454566,0.8436429227258482,0.5496741072337965,0.2953159798545434,0.0,0.1416546183672867,0.0,0.39590619826309065
4,0.7013104838073908,0.8418649367977501,0.5560978502253668,0.2986895161926092,0.0,0.14520510842743792,0.0,0.4241033311168518
5,0.7074422175337912,0.8472639342419368,0.5544733228228081,0.2925577824662088,0.0,0.16467087147915171,0.0,0.4100881359710188
6,0.6997423890546541,0.831226005692067,0.5559331576806112,0.30025761094534587,0.0,0.1443659221480091,0.0,0.4101459232902442
7,0.7099759838764015,0.8473652544078453,0.5619731026291852,0.2900240161235985,0.0,0.13903030849836778,0.0,0.43656897240013537
8,0.6883470575061392,0.8422486568196471,0.5448616806409686,0.3116529424938608,0.0,0.16337567290077165,0.0,0.415802355680722
9,0.7001345948827706,0.8477255966835311,0.5557214756950435,0.29986540511722937,0.0,0.1447736043495208,0.0,0.43075131413547046
10,0.6997674883447221,0.8397234845417305,0.5528351914568251,0.30023251165527787,0.0,0.14350422013412256,0.0,0.40370024227084905
11,0.6969149826379211,0.8359596453514901,0.5598709838754065,0.30308501736207893,0.0,0.14545746215515273,0.0,0.43637756012279866
12,0.694685079496964,0.8460330590866222,0.5345226950575345,0.305314920503036,0.0,0.1710491732999118,0.0,0.36881767254190406
13,0.7129154264867141,0.8488597184089774,0.5678669145776215,0.28708457351328587,0.0,0.12902252238459114,0.0,0.45603166693056774
14,0.7043359342465438,0.8401575080485773,0.5484604469917818,0.29566406575345616,0.0,0.13335757592741576,0.0,0.3841663394036954
15,0.689323005443491,0.8410555544675772,0.5411388036098524,0.310676994556509,0.0,0.15329022819628446,0.0,0.3972851769132154
16,0.673340022028399,0.8440067595533036,0.5172729982679777,0.32665997797160096,0.0,0.1756732307814704,0.0,0.349795648797717
17,0.7014137177416562,0.8407124005890083,0.5592797277071612,0.2985862822583438,0.0,0.14766229951330806,0.0,0.43126504307529384
18,0.7033293468314861,0.8448790311930969,0.5539739777039644,0.29667065316851393,0.0,0.15647972933562748,0.0,0.4156844484208158
19,0.7044295896261091,0.8397110539261061,0.552793196355442,0.29557041037389087,0.0,0.14130552089260817,0.0,0.39972262379462187
20,0.7232473872089834,0.8461343448491698,0.5671272760132675,0.2767526127910166,0.0,0.11598014420248116,0.0,0.4200730707325473
21,0.7215966150325511,0.8428908402886524,0.5785397933467084,0.2784033849674489,0.0,0.08926998251190871,0.0,0.4679037824597007
22,0.7020601542246252,0.8349508159942218,0.5570298074166599,0.2979398457753748,0.0,0.1234442090777239,0.0,0.4188360621698581
23,0.707221075419321,0.8462753832896087,0.5628729749955578,0.292778924580679,0.0,0.14612353328440877,0.0,0.4436114843366961
24,0.6964329526851929,0.8397152263035982,0.5464745758027972,0.3035670473148071,0.0,0.1426683397986664,0.0,0.3929861108329634
25,0.7003100263351008,0.8485480826548542,0.5406192059251966,0.29968997366489925,0.0,0.13457150805796572,0.0,0.3783701273498034
