iteration,joint_safety_weighted,hardworld_safe_weighted,broad_safe_weighted,joint_risk_weighted,hardworld_top_toxic_exposure,broad_top_toxic_exposure,broad_safe_hardworld_toxic_exposure,dual_safe_exposure
0,0.6555570353599187,0.7877392124706439,0.5323693385627416,0.3444429646400813,0.036014545152568904,0.18081939921339774,0.012100775157225999,0.37394207008937314
1,0.6555228351519188,0.7887946335623981,0.5477783345833277,0.3444771648480812,0.038671957641392016,0.13078395656148445,0.038355978458155665,0.3581698220461214
2,0.6554354176237861,0.7917627138591202,0.5446864243449142,0.3445645823762139,0.02939313970303583,0.15210317981215601,0.0355841516178704,0.35451306674541355
3,0.6601010351320836,0.7996698387297412,0.5437760064776271,0.3398989648679164,0.03694336390165947,0.15310116434842394,0.024791142939385693,0.3479112097618658
4,0.6704469578781816,0.8083098763305833,0.5487129452955001,0.32955304212181835,0.041532371299045905,0.12979070622985725,0.041532371299045905,0.34982761081204955
5,0.680334969061642,0.8075111182962279,0.5526883828965546,0.31966503093835796,0.02530984921310624,0.11042496874383208,0.02455415509977234,0.37729586973003504
6,0.6446444604074323,0.7968658787121519,0.5408919619776507,0.3553555395925677,0.030249510295382788,0.1596149304181845,0.03693075420743408,0.3388012819323045
7,0.6432702189792944,0.7911703994887547,0.5321196230584823,0.3567297810207056,0.03138515530023487,0.15584125332139684,0.037432317175592124,0.34600162598941137
8,0.657906323001334,0.7883053615252583,0.5558473764571747,0.342093676998666,0.06253411250612632,0.1390447521515857,0.04431041310324022,0.36090249890368353
9,0.6575295208958046,0.8029362676194094,0.5475671864816296,0.34247047910419537,0.03171564118411323,0.14899849805798707,0.03153666126775719,0.3744381654103736
10,0.6568566432047843,0.7959031648412974,0.5567243944561846,0.3431433567952157,0.03070494014260592,0.1548387373459693,0.036219218066246714,0.39044341610255173
11,0.6411236396913207,0.7975565325770975,0.531629090613135,0.3588763603086793,0.037788479108795674,0.1829576006674251,0.03728723122231195,0.34597001794422233
12,0.6704365636771361,0.8035454089285103,0.5598311379536736,0.3295634363228639,0.03244802985920633,0.13964714367281617,0.03783415672006098,0.3909439087064401
13,0.6861729673821952,0.8110729884738839,0.559016695145061,0.31382703261780476,0.005790962113328408,0.13142247546452,0.0059986036719235775,0.36856629803890617
14,0.638990046484788,0.7907410772720816,0.5411862101967486,0.36100995351521203,0.05060629418603715,0.17350702336080456,0.04398416209940823,0.354677725054526
15,0.6473705359046974,0.7929611183292078,0.5371260619656343,0.3526294640953026,0.036953268292361806,0.16164023063600985,0.024705028669659373,0.358550779427576
16,0.6638829258148179,0.7870310994274303,0.5553602770847494,0.3361170741851821,0.035206840490304106,0.12080269767009907,0.017939195580185623,0.3770484710792395
17,0.6576058218373256,0.7987069995636783,0.542915122768089,0.34239417816267437,0.039058403306824446,0.14566100765704754,0.03928068409659878,0.3368225820400863
18,0.6914878129652308,0.7992739212066935,0.5872562630554296,0.30851218703476924,0.0445727374984806,0.10469610465982788,0.04482893726050944,0.43489656140798716
19,0.6552402034894709,0.7930729208797461,0.5482978262915836,0.3447597965105291,0.03976444589915099,0.1452626771353252,0.03951826135914199,0.3557837738889065
20,0.6733943028404524,0.8052341318594218,0.5489326703013921,0.32660569715954757,0.018620565985714516,0.12831465446915394,0.019020615787220675,0.3787294953207008
21,0.6521086016627146,0.7892515963697605,0.5660033328114777,0.34789139833728544,0.060914972710585324,0.13424145653849384,0.07226395889005503,0.3836098004820465
22,0.6758103787463106,0.8072606374860424,0.557398420523202,0.32418962125368944,0.0414697152677972,0.12576002952468998,0.04214355677032613,0.3647135451641331
23,0.6475159255617812,0.7932401312677094,0.5394224024239361,0.35248407443821883,0.0326210454101726,0.17345487862034548,0.024705028669659367,0.3579671934303472
24,0.6487946110890954,0.7893390435666051,0.5404750719763883,0.3512053889109046,0.04973989660757258,0.16411913236728098,0.03174286492416551,0.36312820828350145
25,0.6577875176112749,0.7918175696248083,0.5570161246140456,0.34221248238872515,0.0416669475186529,0.14432745435969893,0.04215861024644278,0.4029591634332351
26,0.6569922381461613,0.7763872074578213,0.5618269633644216,0.34300776185383874,0.06966903624250764,0.12824496068841754,0.045006093832403456,0.3589165533379869
27,0.6800740759905369,0.8121858720208331,0.5571249464812694,0.31992592400946307,0.018743981064028442,0.14973858553849068,0.024555272381248126,0.3836643805705058
28,0.6723929171769346,0.8017739493951831,0.5478805105899405,0.3276070828230654,0.036747063310618666,0.1496925605537196,0.018761093840833378,0.3629634362767318
29,0.6657886992845061,0.8067447938283127,0.5525454393835154,0.3342113007154939,0.006009101939814782,0.17199786223176405,0.0181555016263426,0.3964049361748345
30,0.6602830236012509,0.7984691519229798,0.5473426485020201,0.3397169763987491,0.03023355521705352,0.16383028149657286,0.025826451108322625,0.3753607841065119
31,0.6450690118757064,0.7926797934363892,0.5395724836482672,0.3549309881242936,0.035683352493608406,0.14551918144160436,0.04249090800150075,0.35685104075224405
32,0.6583563118011451,0.7904952344849855,0.5696415922705629,0.34164368819885493,0.057439947343721216,0.14565491959915408,0.05628164015625684,0.39169153627268927
33,0.6703333773776676,0.8043858768585143,0.5562535280122584,0.3296666226223324,0.031334009017717185,0.11171731953844509,0.03052505718174841,0.36668025326060344
34,0.653666988636868,0.7933483285636959,0.5618984859964953,0.346333011363132,0.023665090763097283,0.15408652812944143,0.0613198734810826,0.38454001249742154
35,0.6501667579530362,0.8073820269355335,0.5288223364082562,0.34983324204696375,0.019426621304156157,0.15642985581696284,0.02521758341748456,0.3382939862726168
36,0.6605653343074906,0.795430004906891,0.5564931663136987,0.33943466569250935,0.045109371409633954,0.14131605036007575,0.04473146358920703,0.3708198273943826
37,0.6461742410925794,0.7988542552146627,0.5274968076845789,0.35382575890742063,0.029937487200247456,0.16449162189188068,0.036504609676931206,0.3357839123204854
38,0.662517138562172,0.8033260608023551,0.5511592085259748,0.337482861437828,0.035489651341809605,0.14490813232944094,0.03596475434341568,0.36750232203539535
39,0.6675927236637684,0.8053817803943224,0.5454430795584873,0.33240727633623157,0.024534893710861462,0.15122060855662892,0.0247975448794018,0.3392612460658672
40,0.6583740132823266,0.7982260850573966,0.5502702008499224,0.3416259867176734,0.02546905326131621,0.1618842096912449,0.02663133616230254,0.37003751238061394
41,0.6494403894188296,0.7856743925887778,0.5425825361214497,0.35055961058117036,0.030609069949136654,0.1503955136482849,0.04217104814810354,0.3501838912646106
42,0.6631977409323981,0.802789310338027,0.5334646357606841,0.33680225906760186,0.01790346117976619,0.16420248859251976,0.014464426502354211,0.35953101264271453
43,0.6601170348053175,0.8024184944374615,0.5406288888656109,0.33988296519468253,0.030716002356227713,0.15333511413308945,0.03003279817036942,0.3609345008862557
44,0.6586939242407056,0.7954528607261306,0.5333478831991645,0.3413060757592944,0.029149038926015787,0.15682407770824017,0.023645179596667,0.33708923000394453
45,0.6581162791589551,0.7916398412503315,0.5614357936549185,0.3418837208410449,0.0421091137096954,0.1277970123996674,0.050610115883500145,0.371949276899732
46,0.6374824368952149,0.7947173517049084,0.5325899755726294,0.3625175631047851,0.04337308504382716,0.17317814613155721,0.024730377077033412,0.36058830296123107
47,0.6445571837802474,0.7905674021868595,0.5350653420773419,0.3554428162197526,0.03829897712931433,0.16134790568279941,0.044602313220938695,0.3202433282440102
48,0.6607036205757366,0.7898980191033671,0.560554641804126,0.3392963794242634,0.038016735146662504,0.1387574712803091,0.036780729920888246,0.3710469746346162
49,0.6528230096712994,0.7938801524523461,0.5560590476285544,0.34717699032870064,0.04444615720071057,0.15572949302403025,0.04423876880212938,0.39197594629372323
50,0.6469520917972417,0.7851770411960647,0.5446629273107741,0.35304790820275833,0.04932464000146646,0.15395671223563706,0.04336999433585165,0.35971550111854655
51,0.6572139833157633,0.7977268173551798,0.5432637319478033,0.3427860166842367,0.0194037617509251,0.1513254117493495,0.019175668074762724,0.37723771372653414
52,0.6684952915263581,0.8048363477487064,0.5570873850794956,0.3315047084736419,0.017928555891254555,0.13986665170892998,0.025111047689789574,0.3872559719670492
53,0.6537721578934331,0.796498973461295,0.5519805284278565,0.3462278421065669,0.03702990614982053,0.16591084563952826,0.03155126307922345,0.40709014756975087
54,0.657257301097555,0.7932389989786611,0.5482188853631962,0.342742698902445,0.02607208231258641,0.12051160185076777,0.027121568159519265,0.3621882643024863
55,0.6406033461735514,0.7988759467175978,0.551947801064647,0.3593966538264486,0.036380086034775126,0.17640909497531773,0.060811454404235875,0.38191624301590926
56,0.6577085810088257,0.8013806999137865,0.5438215747239464,0.3422914189911743,0.0290978496956542,0.1619657949388075,0.022528024120862657,0.3744778992955678
57,0.670809152587437,0.7877026373928251,0.5596865910825853,0.329190847412563,0.03638995183203484,0.12913514640436094,0.03746692905674511,0.3780690396823845
58,0.6611329089445367,0.806597059291528,0.5557554068630257,0.3388670910554633,0.03302109414747492,0.16893952013830718,0.044886183032583134,0.38350048790631575
59,0.6713263218224708,0.7975486465407315,0.5514562030453408,0.32867367817752924,0.017413179693292716,0.11289993520518782,0.029798229179727416,0.34010494772003597
60,0.6317602473206545,0.7757913437078668,0.5359854502314332,0.3682397526793455,0.06347213265872867,0.16414903648689771,0.06347213265872867,0.3086627252325108
61,0.6880034769135657,0.8077924979669553,0.5680666301929475,0.31199652308643433,0.01826433840316983,0.10655553472340518,0.025913048423920303,0.3847621816792427
62,0.6572752188111055,0.7932264671254584,0.5537376845581924,0.3427247811888945,0.05687876832739783,0.14917601330947328,0.026324154652461136,0.38946391287446813
63,0.666196491229651,0.8091433339140442,0.5201848349344871,0.33380350877034903,0.018204623775506856,0.15803229391328466,0.006009101939814781,0.32952108437649796
64,0.6516991756844199,0.7909363967505648,0.5559182689917398,0.34830082431558007,0.03737126428317384,0.13322220959477554,0.04975461423931613,0.3653922677222149
65,0.6671447027217438,0.7948313467295439,0.5647884283667122,0.33285529727825625,0.024725049185525115,0.13295654516701888,0.04298239074804233,0.3706134199740443
66,0.6393518969903157,0.7975847628189446,0.5251404440253232,0.3606481030096843,0.030198939819409996,0.17811088427750896,0.029832164502478713,0.3400138968190564
67,0.6683718458422608,0.8039734357899851,0.5486663374406132,0.33162815415773916,0.02432407561250193,0.13295912719124273,0.03691034680523381,0.3547392907186937
68,0.659596604082836,0.8057470561957315,0.5414601031673191,0.34040339591716395,0.01998338751341917,0.1481984069424036,0.025552659407299862,0.3590497237570024
