target,source,best_view_split,base_logloss,aug_logloss,delta_logloss,dominance,placebo_adjusted_vs_median,gate,student_spearman,comment,sign_hit,r2,mae
Q1,E330_target_residual_lifestyle_latent,jepa_resid/dateblock,0.6789693600090467,0.6531265876023047,-0.025842772406742,0.9583333333333334,-0.0257210882167316,True,-0.2212021458542182,local residual latent signal; not necessarily public-safe,,,
Q2,E330_target_residual_lifestyle_latent,jepa_resid/subject,0.765899724395758,0.7356891080506113,-0.0302106163451467,1.0,-0.0331088102542583,True,-0.234482211434789,local residual latent signal; not necessarily public-safe,,,
Q3,E330_target_residual_lifestyle_latent,family/dateblock,0.6845739000444798,0.6800667382050789,-0.0045071618394009,0.875,-0.0044215649915915,True,-0.1585615072996245,local residual latent signal; not necessarily public-safe,,,
S1,E330_target_residual_lifestyle_latent,family_jepa_story/subject,0.6566789899315844,0.6475513435130703,-0.009127646418514,1.0,-0.0104649016689881,True,0.1721896239816822,local residual latent signal; not necessarily public-safe,,,
S2,E330_target_residual_lifestyle_latent,raw_day/subject,0.6986893302524716,0.6822372557578323,-0.0164520744946392,0.9583333333333334,-0.0167583391296764,True,0.2068346016523538,local residual latent signal; not necessarily public-safe,,,
S3,E330_target_residual_lifestyle_latent,jepa_resid/dateblock,0.533414861676673,0.5314964425865426,-0.0019184190901303,0.9166666666666666,-0.0032686734310842,True,-0.057182504604961,local residual latent signal; not necessarily public-safe,,,
S4,E330_target_residual_lifestyle_latent,story_bundle/subject,0.7387006974633308,0.7373323332562736,-0.0013683642070572,0.7916666666666666,-0.0027564559678528,False,-0.0645437261418575,local residual latent signal; not necessarily public-safe,,,
Q1,E304_stable_hidden_block_predictability,family_jepa/block_random5,,,,,,,0.0961817021255552,target predictability from stable hidden-block views,0.5348837209302325,-0.1045682536756216,0.5033992765075322
Q2,E304_stable_hidden_block_predictability,calendar/subject_holdout,,,,,,,0.1612311242102388,target predictability from stable hidden-block views,0.5465116279069767,-0.0160439847427873,0.5418975759494816
Q3,E304_stable_hidden_block_predictability,family_jepa/subject_holdout,,,,,,,0.1840097761897558,target predictability from stable hidden-block views,0.6046511627906976,-1.2655114481044376,0.6463561190902485
S1,E304_stable_hidden_block_predictability,family_jepa/subject_holdout,,,,,,,0.182518154478852,target predictability from stable hidden-block views,0.5465116279069767,-0.1973169475941323,0.4989373456252066
S2,E304_stable_hidden_block_predictability,family_jepa/subject_holdout,,,,,,,0.1142587572159832,target predictability from stable hidden-block views,0.5581395348837209,-0.6083827950321654,0.6841805331996048
S3,E304_stable_hidden_block_predictability,story_episode/subject_holdout,,,,,,,0.3038589898673468,target predictability from stable hidden-block views,0.5930232558139535,0.0524254625788481,0.4557298132547169
S4,E304_stable_hidden_block_predictability,family_jepa/subject_holdout,,,,,,,0.1246331966888094,target predictability from stable hidden-block views,0.5581395348837209,-0.2373138650776851,0.5436678390645983
