latent_id,target,view_id,split,context_cols,base_logloss,aug_logloss,actual_delta,teacher_std,student_oof_r2,student_spearman,null_best,null_median,null_q20,dominance,placebo_adjusted_vs_median,test_delta_l1,test_delta_std,gate
Q2_jepa_resid_subject,Q2,jepa_resid,subject,32,0.765899724395758,0.7356891080506113,-0.0302106163451467,0.529534051053269,-0.1955390004708543,-0.234482211434789,-0.0278404041914361,0.0005539525530302,-0.0099340425624072,1.0,-0.0307645688981769,16.975667617773976,0.0702200528067359,True
Q2_jepa_resid_dateblock,Q2,jepa_resid,dateblock,32,0.7153337395560486,0.7080280536162756,-0.0073056859397729,0.5096029778241529,-0.1107509064672804,-0.0889946123190732,-0.0075778496355389,0.0007173672052982,-0.0032404997285668,0.9666666666666668,-0.0080230531450712,15.033446365058031,0.0643999342718662,True
Q2_family_subject,Q2,family,subject,40,0.765899724395758,0.761606747817211,-0.0042929765785469,0.529534051053269,-0.3329701014680846,-0.1035484948896867,-0.0091945661660178,0.0011880780085723,-0.0021042905726683,0.8333333333333334,-0.0054810545871193,13.306817250993143,0.0582155309006724,True
Q2_raw_day_dateblock,Q2,raw_day,dateblock,160,0.7153337395560486,0.7119287366520164,-0.0034050029040322,0.5096029778241529,-0.4471522587480505,-0.0987223969830303,-0.0145300269690309,0.0004276592130442,-0.00283249834705,0.8666666666666667,-0.0038326621170764,14.791727146194196,0.0632971585125057,True
Q2_story_bundle_subject,Q2,story_bundle,subject,208,0.765899724395758,0.7665933701067598,0.0006936457110017,0.529534051053269,-0.6188852243571705,0.0055324059213461,-0.0195551130541323,0.0022968792905389,-0.0006175746177909,0.7333333333333333,-0.0016032335795371,10.93312336262206,0.0489737253352611,False
Q2_raw_day_subject,Q2,raw_day,subject,160,0.765899724395758,0.7669708104311173,0.0010710860353592,0.529534051053269,-0.6891053628920492,-0.027644515116947,-0.0026808307659447,0.0021525293905899,-1.586917044726697e-06,0.7333333333333333,-0.0010814433552307,15.681381798196156,0.065386689293078,False
Q2_family_story_subject,Q2,family_story,subject,248,0.765899724395758,0.7704494919315803,0.0045497675358222,0.529534051053269,-0.8367165407713519,-0.0162669445281211,-0.0050773442695468,0.0018533795842943,-0.0005451887556323,0.1666666666666666,0.0026963879515278,14.022104215753856,0.0609189476910066,False
Q2_family_jepa_story_subject,Q2,family_jepa_story,subject,280,0.765899724395758,0.770790649206137,0.004890924810379,0.529534051053269,-0.9679086663715112,-0.0443088278625244,-0.0034631350599124,0.0015242993082192,-0.0001604953281509,0.1,0.0033666255021597,12.159976066088278,0.0542437255895135,False
Q2_family_jepa_story_dateblock,Q2,family_jepa_story,dateblock,280,0.7153337395560486,0.7207754427454898,0.0054417031894411,0.5096029778241529,-0.6668994938230486,0.0085711040548348,-0.0055452431724962,0.0022896846574833,0.0001351999316826,0.1333333333333333,0.0031520185319578,14.7062342233206,0.0632763385516825,False
Q2_family_story_dateblock,Q2,family_story,dateblock,248,0.7153337395560486,0.7210379402924325,0.0057042007363838,0.5096029778241529,-0.5608679096092644,0.0419642566136129,-0.0025719513266918,0.0020090693390732,0.0006358201590429,0.3666666666666666,0.0036951313973105,16.186012972749207,0.0677745281895636,False
Q2_story_bundle_dateblock,Q2,story_bundle,dateblock,208,0.7153337395560486,0.721137997328054,0.0058042577720053,0.5096029778241529,-0.4955830973282107,-0.001654329157181,-0.0051816661729138,0.002052265110909,-0.0004910557334419,0.2,0.0037519926610963,13.520820173308678,0.0596965046431715,False
Q2_family_dateblock,Q2,family,dateblock,40,0.7153337395560486,0.7228955994122114,0.0075618598561627,0.5096029778241529,-0.1277439772615085,0.0129067962475534,-0.0025046589549337,0.0022849200099161,0.0007452770370962,0.0,0.0052769398462466,9.793850448336356,0.047394487190487,False
