variant,family,candidate_origin,file,basename,promotion_decision,current_anchor,scenario_count,pred_delta_vs_current_mean,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current,strict_promote_gate,info_sensor_gate,block_gate,e363_submission_gate,e363_near_gate,e364_public_like_score,e368_public_like_score,q2_transfer_abs_spearman,s1_transfer_abs_spearman,q2_transfer_signed_spearman,s1_transfer_signed_spearman,q2_cos_e323_bad_vs_e365,q2_cos_e323_bad_vs_e247,all_cos_e323_bad_vs_e365,all_cos_e323_bad_vs_e247,q2_bad_positive_share,public_bad_axis_sum,public_bad_good_gap,rowstate_pred_public_loss_mean,rowstate_bad_minus_good_exposure,move_l1,changed_rows_vs_e247,changed_cells_vs_e247,cell_l1,l1_Q1,l1_Q2,l1_Q3,l1_S1,l1_S2,l1_S3,l1_S4,share_Q1,share_Q2,share_Q3,share_S1,share_S2,share_S3,share_S4,signed_sum_Q1,signed_sum_Q2,signed_sum_Q3,signed_sum_S1,signed_sum_S2,signed_sum_S3,signed_sum_S4,q2_bad_positive_share,q2_transfer_abs_spearman
e362_ablate_s1_only_amp1.00,target_ablation,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_ablate_s1_only_amp1_00_28f4e72a.csv,submission_e363_cellrobust_e362_ablate_s1_only_amp1_00_28f4e72a.csv,below_selector_resolution,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-6.306797700506294e-06,1.0388134893220969e-05,0.4583333333333333,-0.0011928607996904,False,False,False,False,False,5.95075662042875,6.134897698209718,,,,,,,,,,0.0008994283429324,-0.0014907038541892,0.0001680891714053,0.1163927344444037,0.3201260400833765,178.0,178.0,0.3201260400833715,0.0,0.0,4.440892098500626e-16,0.320126040083371,0.0,0.0,0.0,0.0,0.0,1.3872323842646696e-15,0.9999999999999988,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.1405988225078767,0.0,0.0,0.0,,
e362_ablate_s1_only_amp1.08,target_ablation,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_ablate_s1_only_amp1_08_cc145be9.csv,submission_e363_cellrobust_e362_ablate_s1_only_amp1_08_cc145be9.csv,below_selector_resolution,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-6.887608990959305e-06,1.1112738882307052e-05,0.4583333333333333,-0.0012882896636656,False,False,False,False,False,5.944892812105927,6.055097186700768,,,,,,,,,,0.000971382610367,-0.0016099601625246,0.0001683104184045,0.1163927344444056,0.3457361232900467,178.0,178.0,0.345736123290042,0.0,0.0,4.440892098500626e-16,0.3457361232900415,0.0,0.0,0.0,0.0,0.0,1.2844744298746912e-15,0.9999999999999988,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.1518467283084866,0.0,0.0,0.0,,
e362_ablate_s1_only_amp1.16,target_ablation,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_ablate_s1_only_amp1_16_5a253895.csv,submission_e363_cellrobust_e362_ablate_s1_only_amp1_16_5a253895.csv,below_selector_resolution,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-7.482225548575371e-06,1.1809429765110995e-05,0.4583333333333333,-0.0013837185276407,False,False,False,False,False,5.943411097099623,6.038687979539642,,,,,,,,,,0.0010433368778018,-0.0017292164708595,0.0001684734568678,0.1163927344444055,0.3713462064967168,178.0,178.0,0.3713462064966959,0.0,0.0,4.440892098500626e-16,0.3713462064966955,0.0,0.0,0.0,0.0,0.0,1.1958899864351084e-15,0.9999999999999988,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.1630946341091168,0.0,0.0,0.0,,
e362_ablate_s1_only_amp1.28,target_ablation,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_ablate_s1_only_amp1_28_e777faa5.csv,submission_e363_cellrobust_e362_ablate_s1_only_amp1_28_e777faa5.csv,below_selector_resolution,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-8.4000115808731e-06,1.2802174456670829e-05,0.4583333333333333,-0.0015268618236036,False,False,False,False,False,5.940132408575032,6.103265984654732,,,,,,,,,,0.0011512682789536,-0.0019081009333612,0.0001688344308078,0.1163927344444051,0.409761331306722,178.0,178.0,0.4097613313067003,0.0,0.0,4.440892098500626e-16,0.4097613313066999,0.0,0.0,0.0,0.0,0.0,1.0837753002068132e-15,0.9999999999999988,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.1799664928100833,0.0,0.0,0.0,,
e362_donorblend_e360_e356_halfs3_amp__learned_free_mixture_subjective_he_w0.65,donor_blend,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_donorblend_e360_e356_halfs3_amp__learned_free_mixture_subjective_he_w0_65_3de2bc86.csv,submission_e363_cellrobust_e362_donorblend_e360_e356_halfs3_amp__learned_free_mixture_subjective_he_w0_65_3de2bc86.csv,too_small_to_submit,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-0.0001274749376581,-1.6146351884939512e-05,0.9722222222222222,0.0098167756637517,False,True,False,False,False,5.854823455233291,4.703524296675193,,,,,,,,,,0.0002606250894126,0.0002606250894126,0.0002237571469204,0.128674890239862,2.2695874966302796,229.0,397.0,2.2695874966302574,1.5314245085677525,0.26025024245174,0.1709469600052191,0.3069657856055462,0.0,0.0,0.0,0.6747589642794192,0.1146685214111125,0.0753207180860092,0.1352517962234591,0.0,0.0,0.0,-1.5239083838281442,-0.26025024245174,-0.0110061762078121,0.0962224854944167,0.0,0.0,0.0,,
e362_graft_donor_q2q3_e360_e349_compact_core__learned_free_mixture_low_s3_0185,donor_graft,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q2q3_e360_e349_compact_core__learned_free_mixture_low_s3_0185_1b400a58.csv,submission_e363_cellrobust_e362_graft_donor_q2q3_e360_e349_compact_core__learned_free_mixture_low_s3_0185_1b400a58.csv,too_small_to_submit,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-0.0001055134237715,-2.7705756803492904e-05,0.9722222222222222,0.0081109548233885,False,True,False,False,False,5.849810844892812,7.13674168797954,,,,,,,,,,0.0041258949658067,0.0011544233623845,0.0001581120414304,0.1257414425391407,1.8388563390532304,229.0,397.0,1.8388563390532249,1.3129438286054456,0.1163753423515074,0.0894111280129011,0.320126040083371,0.0,0.0,0.0,0.7140002188977107,0.0632868048906016,0.0486232263576046,0.1740897498540831,0.0,0.0,0.0,-1.3034140227248734,-0.1163753423515074,0.050749084145469,0.1405988225078767,0.0,0.0,0.0,,
e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0.65,donor_blend,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0_65_931f0560.csv,submission_e363_cellrobust_e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0_65_931f0560.csv,too_small_to_submit,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-0.0001269000228928,-3.144947277278968e-05,0.9861111111111112,0.0077485815648051,False,True,False,False,False,5.8483291298865065,6.4436163682864445,,,,,,,,,,0.0009188301943252,0.0009188301943252,0.0003441834555326,0.1329212680206726,2.343477643004777,229.0,397.0,2.3434776430047677,1.2479511627409463,0.28270629563988,0.1417897801884038,0.6710304044355369,0.0,0.0,0.0,0.5325210447243032,0.1206353713182425,0.0605040037875519,0.2863395801699021,0.0,0.0,0.0,-1.2398586958267312,-0.28270629563988,-0.0184188998563528,0.2275097119148091,0.0,0.0,0.0,,
e362_donorblend_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_w0.65,donor_blend,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_donorblend_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_w0_65_3399f779.csv,submission_e363_cellrobust_e362_donorblend_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_w0_65_3399f779.csv,too_small_to_submit,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-0.0001203020805957,-2.7704450021843857e-05,0.9722222222222222,0.0080314401413174,False,True,False,False,False,5.847604035308954,6.754593350383632,,,,,,,,,,0.0008295298825673,0.0008295298825673,0.0002583803359885,0.1317366476234328,2.3819276071538273,229.0,397.0,2.3819276071538145,1.3217772843917617,0.3224161117055203,0.1241660539393399,0.6135681571171927,0.0,0.0,0.0,0.5549191673256454,0.1353593244132125,0.0521283911259196,0.2575931171352225,0.0,0.0,0.0,-1.3144144659202923,-0.3224161117055203,0.0094692057635225,0.1547340819174239,0.0,0.0,0.0,,
e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0.65,donor_blend,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0_65_be304efd.csv,submission_e363_cellrobust_e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0_65_be304efd.csv,too_small_to_submit,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-0.0001374623509992,-3.136695943662017e-05,0.9722222222222222,0.0083049972304175,False,True,False,False,False,5.844419924337957,6.246961636828644,,,,,,,,,,0.0013959318773034,0.0013959318773034,0.0004447695232782,0.1230808071824175,2.654541390021871,229.0,397.0,2.6545413900218673,1.3447539918381086,0.3444752709743098,0.1483165845186921,0.8169955426907567,0.0,0.0,0.0,0.5065861835467673,0.1297682802269179,0.0558727714987598,0.3077727647275549,0.0,0.0,0.0,-1.336429444744735,-0.3444752709743098,-0.0324431796586736,0.33091746373005,0.0,0.0,0.0,,
e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0.50,donor_blend,e364_existing,analysis_outputs/submission_e363_cellrobust_e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0_50_dd10e72d.csv,submission_e363_cellrobust_e362_donorblend_e361_e351_robust_center__learned_story_nonmonotone_s1_co_w0_50_dd10e72d.csv,too_small_to_submit,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,72,-0.0001318163316626,-3.619153895178461e-05,0.9861111111111112,0.0086381596495261,False,True,False,False,False,5.798013871374526,6.347002557544757,,,,,,,,,,0.0013030086548942,0.0013030086548942,0.0003924050133453,0.1333586468408366,2.332494814286264,229.0,397.0,2.3324948142862763,1.2629494702481434,0.3438331495681646,0.1356597202695307,0.5900524742004376,0.0,0.0,0.0,0.5414586401276075,0.1474100381540932,0.0581607810823971,0.2529705406359022,0.0,0.0,0.0,-1.2545253097263154,-0.3438331495681646,-0.015537486979047,0.2074533528208915,0.0,0.0,0.0,,
