pred_index,base_index,tag,strategy,source,base,fallback,selector,target_scope,graft_alpha,selected_cells,selected_rows,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,e72_adverse_positive_exposure_all,e72_adverse_weighted_positive_mean,e72_adverse_positive_weight_frac,hard_worst_tail_mean,kl_if_mixmin_calibrated,move_l1_vs_e95,active_cells_vs_e95,is_graft,is_strict_like,beat_e95_rate_broad_plausible,beat_e95_rate_broad_q2s3,beat_e95_rate_near_unit_tail,beat_e95_rate_tight_plausible,mean_vs_e95_broad_plausible,mean_vs_e95_broad_q2s3,mean_vs_e95_near_unit_tail,mean_vs_e95_tight_plausible,p95_vs_e95_broad_plausible,p95_vs_e95_broad_q2s3,p95_vs_e95_near_unit_tail,p95_vs_e95_tight_plausible,active_beat_e101_rate_large_loss,active_beat_e101_rate_small_loss,active_beat_e101_rate_tie,active_mean_vs_e101_large_loss,active_mean_vs_e101_small_loss,active_mean_vs_e101_tie,active_p95_vs_e101_large_loss,active_p95_vs_e101_small_loss,active_p95_vs_e101_tie,e110_active_loss_safe,e110_strict_candidate,e110_sensor_candidate
8,0,e110_control_a3f7c96f,control,e86,e86,,,,,134,115,-2.7705869828476004e-05,-2.7705869828476004e-05,-3.498042661254086e-05,-6.9100032192848104e-06,-6.9100032192848104e-06,-1.3700079533940368e-05,-3.533869208549589e-05,-3.533869208549589e-05,-3.498042661254086e-05,-4.086891418064731e-05,-4.086891418064731e-05,-3.498042661254086e-05,-4.086891418064731e-05,-6.9100032192848104e-06,3,3,8,-0.0003074391775771235,-0.00017278562923006557,-0.00023918120377530716,-0.000290814306410897,-0.00046435628805567564,-0.0003775852972332863,-0.0005349503017766005,6.344131569286608e-17,0.75,1.0,True,0.006064145347338554,0.005556388911177608,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0010102416357210917,0.0033252470618392728,0.40808492206760344,0.00292307752318128,1.333451444160868e-05,0.0005158669242698437,134,False,False,0.00028968713789107763,0.0,0.0004248088360237893,0.00035842293906810036,2.0344644904461583e-05,4.018618290275698e-05,1.7288282109861087e-05,1.8481013020053092e-05,4.660642555632791e-05,4.917921991988985e-05,4.518135510693425e-05,4.598739589983163e-05,1.0,0.997889404812157,0.49077799466199257,-3.954354626713975e-05,-1.4128961403245149e-05,1.1374756871067363e-07,-2.566548473454175e-05,-4.3465461169692604e-06,4.880496777616148e-06,True,False,False
44,0,e110_nonactive_tail_graft_723a71da,nonactive_tail_graft,e95,e95,e86,nonactive_all_e86,all,1.0,103,95,-2.7599838071434846e-05,-2.7599838071434846e-05,-3.498042661254086e-05,-6.072960677894201e-06,-6.072960677894201e-06,-1.3257220857543217e-05,-3.550064116886187e-05,-3.550064116886187e-05,-3.498042661254086e-05,-4.1225912367437445e-05,-4.1225912367437445e-05,-3.498042661254086e-05,-4.1225912367437445e-05,-6.072960677894201e-06,3,3,62,-0.000302034086388453,-0.0001770965985447015,-0.00023593360075710446,-0.000290814306410897,-0.00044162306692771547,-0.00036621868666930624,-0.0005179676561438208,7.137148015447434e-17,0.7777777777777778,1.0,True,0.005995448177041948,0.0053159488151394655,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009824639066349048,0.003187984251771775,0.4186961438780894,0.0028952997940951005,1.2681831073288293e-05,0.0004471697539732651,103,False,False,0.08603707995365006,0.0,0.05055225148683093,0.06344086021505377,1.4744740327869392e-05,3.061667136615173e-05,1.3337389192348665e-05,1.3969336044979347e-05,4.017643761754737e-05,4.360676898475225e-05,3.9132692548976524e-05,3.973793496187695e-05,1.0,1.0,0.5165916424331753,-3.110268800922494e-05,-1.115752945564704e-05,-6.853645387071823e-08,-2.0712472905590353e-05,-3.829500705819408e-06,2.6753528372650245e-06,True,False,False
43,0,e110_nonactive_tail_graft_9d0c45a1,nonactive_tail_graft,e95,e95,e86,nonactive_all_e86,all,0.75,103,95,-2.7394837141425654e-05,-2.7394837141425654e-05,-3.4625566946444586e-05,-5.985106854233813e-06,-5.985106854233813e-06,-1.2994501859209251e-05,-3.523802091787154e-05,-3.523802091787154e-05,-3.4625566946444586e-05,-4.096138365206059e-05,-4.096138365206059e-05,-3.4625566946444586e-05,-4.096138365206059e-05,-5.985106854233813e-06,3,3,61,-0.00025779174882737397,-0.0001455613976855119,-0.00022083362973340792,-0.0002340452135980997,-0.00044162306692771547,-0.0003378341402629076,-0.0004929250559097025,7.137148015447434e-17,0.7777777777777778,1.0,True,0.005883655738548648,0.005066205546865528,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009339527642973292,0.003026102058782505,0.4186961438780894,0.002846788651757525,1.2250829091337618e-05,0.0003353773154799654,103,False,False,0.09936268829663963,0.0,0.062446898895497024,0.07741935483870968,1.0532413990772948e-05,2.2112590469646652e-05,9.620918796800616e-06,1.0046641615861305e-05,2.9455846667503927e-05,3.2136344270239404e-05,2.8718125869370772e-05,2.9208858768915506e-05,1.0,1.0,0.5165916424331753,-3.110268800922494e-05,-1.115752945564704e-05,-6.853645387071823e-08,-2.0712472905590353e-05,-3.829500705819408e-06,2.6753528372650245e-06,True,False,False
42,0,e110_nonactive_tail_graft_29a781b5,nonactive_tail_graft,e95,e95,e86,nonactive_all_e86,all,0.5,103,95,-2.709395099798062e-05,-2.709395099798062e-05,-3.402128989205e-05,-5.81527059606568e-06,-5.81527059606568e-06,-1.2673754816061589e-05,-3.487139761493285e-05,-3.487139761493285e-05,-3.402128989205e-05,-4.0595184782832305e-05,-4.0595184782832305e-05,-3.402128989205e-05,-4.0595184782832305e-05,-5.81527059606568e-06,3,3,60,-0.0002134380278579484,-0.00011394369059791742,-0.000205651152481251,-0.0001767621314325285,-0.00044162306692771547,-0.000309192599180122,-0.00046766964270430686,7.137148015447434e-17,0.7777777777777778,1.0,True,0.005771863300055345,0.004816462278591585,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0008855241281882199,0.0028645762078304505,0.4186961438780894,0.0027983600156484155,1.1902333337855257e-05,0.00022358487698666174,103,False,False,0.11819235225955968,0.0,0.07689039932030586,0.0931899641577061,6.672564313409115e-06,1.4177851581374388e-05,6.160439164062915e-06,6.4122542606616675e-06,1.9204306235810616e-05,2.1067855613787916e-05,1.8736738048476838e-05,1.904611817999663e-05,1.0,1.0,0.5165916424331753,-3.110268800922494e-05,-1.115752945564704e-05,-6.853645387071823e-08,-2.0712472905590353e-05,-3.829500705819408e-06,2.6753528372650245e-06,True,False,False
32,0,e110_nonactive_tail_graft_fc3a6822,nonactive_tail_graft,e95,e95,e90,nonactive_all_e90,all,1.0,133,106,-2.695517745310294e-05,-2.695517745310294e-05,-3.204534905443257e-05,-5.729450709535122e-06,-5.729450709535122e-06,-1.254355299451504e-05,-3.471703885005173e-05,-3.471703885005173e-05,-3.204534905443257e-05,-4.041904279949993e-05,-4.041904279949993e-05,-3.204534905443257e-05,-4.041904279949993e-05,-5.729450709535122e-06,3,3,46,-0.0002468243216397492,-0.00013779483172027263,-0.0002149317969157294,-0.00014939940246563865,-0.00044162306692771547,-0.00029551123469667706,-0.00045515753012004685,7.137148015447434e-17,0.7777777777777778,1.0,True,0.005752726161785828,0.0048155123080500266,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009162811847267364,0.0029086346774811265,0.3824306901441456,0.0027741946838209667,1.2147610650963085e-05,0.00038670206665858436,133,False,False,0.060834298957126304,0.019021739130434784,0.0356839422259983,0.044444444444444446,9.68853132155019e-06,1.4847251729229752e-05,9.03295080854091e-06,9.28855509888464e-06,2.6015986909750897e-05,2.77832970766356e-05,2.2462751671664452e-05,2.3459245022958324e-05,1.0,1.0,0.5165916424331753,-3.110268800922494e-05,-1.115752945564704e-05,-6.853645387071823e-08,-2.0712472905590353e-05,-3.829500705819408e-06,2.6753528372650245e-06,True,False,False
40,0,e110_nonactive_tail_graft_d4a64af7,nonactive_tail_graft,e95,e95,e86,nonactive_s1s2s3_e86,s1s2s3,1.0,74,72,-2.6941742370723e-05,-2.6941742370723e-05,-3.282128651271865e-05,-5.312260310197381e-06,-5.312260310197381e-06,-1.2301162103156571e-05,-3.478892851249693e-05,-3.478892851249693e-05,-3.282128651271865e-05,-4.072403828936366e-05,-4.072403828936366e-05,-3.282128651271865e-05,-4.072403828936366e-05,-5.312260310197381e-06,3,3,58,-0.0001858114230860408,-9.882186072951438e-05,-0.0002030538343781585,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.00041652124120647845,4.9499751098091703e-05,0.75,0.9722222222222222,True,0.00571002729901459,0.004316975742043707,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.000865827686740014,0.002671050638999666,0.3480563223557736,0.00277866357420021,1.209534222447311e-05,0.00016174887594590543,74,False,False,0.2639049826187717,1.0,0.17162276975361088,0.2114695340501792,3.0366425628376354e-06,-4.177122065963932e-06,3.6300438021641315e-06,3.347556327552598e-06,1.1414939033326775e-05,-2.407099022237334e-06,1.0418874630405037e-05,1.0636108140613381e-05,1.0,1.0,0.5165916424331753,-3.110268800922494e-05,-1.115752945564704e-05,-6.853645387071823e-08,-2.0712472905590353e-05,-3.829500705819408e-06,2.6753528372650245e-06,True,False,True
7,0,e110_control_28925de5,control,e90,e90,,,,,162,119,-2.6932385085221e-05,-2.6932385085221e-05,-3.1945072631711646e-05,-6.1633542025596455e-06,-6.1633542025596455e-06,-1.2825509790648226e-05,-3.453015277210536e-05,-3.453015277210536e-05,-3.1945072631711646e-05,-4.010364828088697e-05,-4.010364828088697e-05,-3.1945072631711646e-05,-4.010364828088697e-05,-6.1633542025596455e-06,3,3,7,-0.000250999367211191,-0.0001371198192592349,-0.0002161681491864298,-0.00014939940246563865,-0.00045027753282264604,-0.00029983846764414235,-0.0004585389359312461,8.326672684688674e-17,0.75,1.0,True,0.005777398679573552,0.00490186612030714,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009340306314570177,0.0029883889789963968,0.37181946833365975,0.00279194413055124,1.2516592119249648e-05,0.00045289608918243953,162,False,False,0.002607184241019699,0.002717391304347826,0.002973661852166525,0.0025089605734767025,1.3372299834651114e-05,2.1153804420467624e-05,1.1684917192996872e-05,1.2300839644035527e-05,3.124429880987986e-05,3.4259935062827696e-05,2.4938911743229367e-05,2.71915261385158e-05,1.0,0.9838891233994653,0.5758275903278492,-3.645090596566547e-05,-1.3526612450642786e-05,-5.862031321665808e-07,-2.1878044938107234e-05,-2.847178062929349e-06,6.197432028872497e-06,True,False,False
36,0,e110_nonactive_tail_graft_91d22b0e,nonactive_tail_graft,e95,e95,e86,nonactive_q2s3_e86,q2s3,1.0,29,29,-2.686827916620338e-05,-2.686827916620338e-05,-3.422501278227408e-05,-5.990657442778158e-06,-5.990657442778158e-06,-1.2814315938802778e-05,-3.454580773765148e-05,-3.454580773765148e-05,-3.422501278227408e-05,-4.006837231806948e-05,-4.006837231806948e-05,-3.422501278227408e-05,-4.006837231806948e-05,-5.990657442778158e-06,3,3,50,-0.0002414231068089745,-0.00012873577728000907,-0.0002079187273981431,-0.000290814306410897,-0.00044162306692771547,-0.00036621868666930624,-0.0005179676561438208,7.137148015447434e-17,0.7777777777777778,1.0,True,0.0058336993010961015,0.0053159488151394655,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009055503128226132,0.0030595257433629567,0.4186961438780894,0.002818386200282809,1.2039067637424339e-05,0.0002854208780274185,29,False,False,0.30590961761297797,0.0,0.3292268479184367,0.3218637992831541,1.1698105057195227e-05,3.477791068011253e-05,9.700114724743305e-06,1.0613627844687764e-05,3.761121132105549e-05,4.61586565369471e-05,3.912677464824368e-05,3.913661553963293e-05,1.0,1.0,0.5165916424331753,-3.110268800922494e-05,-1.115752945564704e-05,-6.853645387071823e-08,-2.0712472905590353e-05,-3.829500705819408e-06,2.6753528372650245e-06,True,False,False
36,0,e110_nonactive_tail_graft_91d22b0e,nonactive_tail_graft,e95,e95,e86,nonactive_q2_e86,q2,1.0,29,29,-2.686827916620338e-05,-2.686827916620338e-05,-3.422501278227408e-05,-5.990657442778158e-06,-5.990657442778158e-06,-1.2814315938802778e-05,-3.454580773765148e-05,-3.454580773765148e-05,-3.422501278227408e-05,-4.006837231806948e-05,-4.006837231806948e-05,-3.422501278227408e-05,-4.006837231806948e-05,-5.990657442778158e-06,3,3,54,-0.0002414231068089745,-0.00012873577728000907,-0.0002079187273981431,-0.000290814306410897,-0.00044162306692771547,-0.00036621868666930624,-0.0005179676561438208,7.137148015447434e-17,0.7777777777777778,1.0,True,0.0058336993010961015,0.0053159488151394655,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009055503128226132,0.0030595257433629567,0.4186961438780894,0.002818386200282809,1.2039067637424339e-05,0.0002854208780274185,29,False,False,0.30590961761297797,0.0,0.3292268479184367,0.3218637992831541,1.1698105057195227e-05,3.477791068011253e-05,9.700114724743305e-06,1.0613627844687764e-05,3.761121132105549e-05,4.61586565369471e-05,3.912677464824368e-05,3.913661553963293e-05,1.0,1.0,0.5165916424331753,-3.110268800922494e-05,-1.115752945564704e-05,-6.853645387071823e-08,-2.0712472905590353e-05,-3.829500705819408e-06,2.6753528372650245e-06,True,False,False
31,0,e110_nonactive_tail_graft_3bf97c61,nonactive_tail_graft,e95,e95,e90,nonactive_all_e90,all,0.75,133,106,-2.6853642273505507e-05,-2.6853642273505507e-05,-3.219710806789955e-05,-5.677193075315223e-06,-5.677193075315223e-06,-1.2414788931991438e-05,-3.459563340491023e-05,-3.459563340491023e-05,-3.219710806789955e-05,-4.0288100340291066e-05,-4.0288100340291066e-05,-3.219710806789955e-05,-4.0288100340291066e-05,-5.677193075315223e-06,3,3,45,-0.00021631254250834565,-0.00011603182608022067,-0.0002050290303653446,-0.00012759057391836803,-0.00044162306692771547,-0.00028460682042304175,-0.0004456462024930736,4.10267574957324e-06,0.75,0.9722222222222222,True,0.005701614227106551,0.004690878166548448,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0008843720575974935,0.002816860283357441,0.3824306901441456,0.0027560130655389188,1.1903410261593548e-05,0.00029002654999395807,133,False,False,0.0790845886442642,0.03260869565217391,0.045879354290569246,0.05591397849462366,6.953470901145239e-06,1.0632131046522135e-05,6.547490373665402e-06,6.7105181123253445e-06,1.903918066027371e-05,2.0395827457415646e-05,1.6581461635458314e-05,1.7265748730890227e-05,1.0,1.0,0.5165916424331753,-3.110268800922494e-05,-1.115752945564704e-05,-6.853645387071823e-08,-2.0712472905590353e-05,-3.829500705819408e-06,2.6753528372650245e-06,True,False,False
