role,file,target,mean_abs_logit_move_vs_mixmin,entropy_delta_vs_mixmin,kl_if_mixmin_calibrated,e72_adverse_positive_exposure_all,e72_adverse_weighted_mean,e72_adverse_weighted_positive_mean,e72_same_direction_weight_frac
bad_lejepa,submission_lejepa_targetwise_strict_best_scale0p5.csv,Q3,0.2674735830716884,0.024419164315533145,0.009114124692879493,0.030289837444681438,-0.009080713842917431,0.05014636211771245,0.47120861075703213
bad_lejepa,submission_lejepa_targetwise_strict_best_scale0p5.csv,Q1,0.1507016297479862,0.012112611148128883,0.0030580975035548194,0.015330716042125908,-0.0013303928114234004,0.02280438351476909,0.5516786249947699
bad_lejepa,submission_lejepa_targetwise_strict_best_scale0p5.csv,S1,0.13670461505650952,0.004184054357810647,0.002319418523300729,0.014434189768572352,0.0014996270922592217,0.01802779772301554,0.49314089493725405
bad_lejepa,submission_lejepa_targetwise_strict_best_scale0p5.csv,S4,0.0973856990602844,6.43754852333014e-05,0.0013339925777352232,0.007617867194760776,-0.0063305981911840215,0.012027880526466354,0.4500166093957835
bad_lejepa,submission_lejepa_targetwise_strict_best_scale0p5.csv,Q2,0.1148762982678358,0.009282654600903995,0.0020391896774281586,0.0057607225030519875,0.02864510447304209,0.03497729768380925,0.8342889132557493
bad_lejepa,submission_lejepa_targetwise_strict_best_scale0p5.csv,S2,0.11736868863785374,-0.005460172463204476,0.0020210528529481194,0.00506233649696466,-0.029187538423323944,0.00910011524634998,0.2742821853363521
bad_lejepa,submission_lejepa_targetwise_strict_best_scale0p5.csv,S3,0.09041229087763313,0.0022698952442742645,0.0009873049645631434,0.00419398570608347,0.02144647878427348,0.028657866373180952,0.9013113004582418
bad_q2_jepa,submission_jepa_latent_q2_w0p45.csv,Q2,0.21462538230125744,0.0008637058317324433,0.012512615827898624,0.013279733725016084,0.06486107528952777,0.08042689126522883,0.6619897311919282
bad_q2_jepa,submission_jepa_latent_q2_w0p45.csv,Q3,0.07331714528506425,-0.00022015143507295477,0.0008973104300972464,0.009473638558539757,0.002129399416182327,0.014649478463432388,0.5172334473465022
bad_q2_jepa,submission_jepa_latent_q2_w0p45.csv,S1,0.06942781789637545,0.002809363374652542,0.00048758807305667714,0.009116119525467918,0.004710223745270166,0.010768566361748347,0.6565688287208507
bad_q2_jepa,submission_jepa_latent_q2_w0p45.csv,Q1,0.07516926730262392,0.0003113950106105656,0.0008633827370339189,0.0067848760373043875,-0.0025399191144288343,0.010202384499895361,0.48348883455763725
bad_q2_jepa,submission_jepa_latent_q2_w0p45.csv,S4,0.060437197020601185,0.0011826503724220853,0.0005719315338533358,0.005750045490132728,-0.001742539990589714,0.008711336956796122,0.48671875587431584
