prior,prior_file,prior_oof_file,target_mask,targets,gamma,analogue_loss,prior_loss,analogue_delta,fold_max_residual,fold_converged_rate,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.35,0.5709206809917907,0.5543323255811343,0.016588355410656397,2.7077340369885405e-11,1.0,0.016838770579585938,0.013328786550880656,0.01722436997190724,0.015602885822976142,0.009430197660293849,0.015331767428593879,0.02836170986035691
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.35,0.5717089835291784,0.5543323255811343,0.017376657948044105,7.961570291925568e-11,1.0,0.019341408763602796,0.0,0.03501170124893105,0.0,1.1102230246251565e-16,0.018878844870246936,0.04840465075352729
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.35,0.5733861768985974,0.5543323255811343,0.019053851317463066,3.717715024720292e-11,1.0,0.01773687482730002,0.0,0.02653567828078296,0.01874546712426156,0.012973673125595053,0.018318746215203352,0.03906651964909813
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.35,0.5736756924592838,0.5617018718676353,0.011973820591648532,7.10682623861203e-11,1.0,0.014354857842255653,0.011638165062542005,0.005418436500978396,0.011358700249558651,0.007183538195345562,0.010688315414197791,0.023174730876660887
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.35,0.5739232503655399,0.5621435437929126,0.01177970657262728,7.14301950921481e-11,1.0,0.014305620033814304,0.011787395477385054,0.004590481624057174,0.011089608777153148,0.007082918194659782,0.010550324919481935,0.02305159698183945
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,q_only,"Q1,Q2,Q3",0.35,0.5746374285115148,0.5543323255811343,0.02030510293038046,1.9364593262238827e-11,1.0,0.029718266923326353,0.03958028961865945,0.07283716397067708,0.0,1.1102230246251565e-16,0.0,0.0
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.35,0.5766781310649652,0.5617018718676353,0.014976259197329922,2.622713157762746e-11,1.0,0.01505576409563314,0.0,0.014047582027135186,0.014991272043062276,0.011462300036782391,0.013980043608262216,0.03529685257043358
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.35,0.5768429882889787,0.5621435437929126,0.014699444496066083,2.4295565559384613e-11,1.0,0.01499560622373819,0.0,0.012949776414269532,0.01466873172903782,0.011340956163148008,0.013810331104219031,0.035130709838049334
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.35,0.5778683843670047,0.5675309246898171,0.010337459677187577,4.8749559944383236e-11,1.0,0.014107239866080534,0.009615735417667026,-0.0006948213477203646,0.009655720546875246,0.006869288699149267,0.010059744982393481,0.022749309575867738
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.35,0.5809746449973937,0.5675309246898171,0.013443720307576568,4.065492387184122e-11,1.0,0.015048529992269244,0.0,0.0058344464180890565,0.013403792335425102,0.011222968460626315,0.013572427012790045,0.03502387793383632
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.5,0.583890424885468,0.5543323255811343,0.02955809930433373,2.7077340369885405e-11,1.0,0.03140858466163976,0.022450325343766786,0.031502110773997116,0.033185521317971145,0.01676921303915746,0.02569045348207777,0.045900486511725735
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.5,0.5849188844151184,0.5543323255811343,0.03058655883398409,7.961570291925568e-11,1.0,0.037910531060843966,0.0,0.06399465426261708,0.0,1.1102230246251565e-16,0.03308677051028519,0.07911395600414284
