basename,source_path,parent_basename,parent_source_path,parent_highrep_actual_mean,parent_highrep_actual_p90,parent_highrep_null_strict_rate,parent_highrep_p90_dominance,parent_highrep_mean_dominance,parent_highrep_worst_mode_p90_dominance,support_target_count,support_targets,support_feature_count,semantic_q,semantic_policy,semantic_scale,semantic_type,semantic_active_cells,semantic_kept_cells,semantic_kept_frac,semantic_l1_retained_frac,semantic_alignment_mean_active,semantic_alignment_mean_kept,semantic_alignment_p10_kept,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,l1_delta,q_abs_share,s_abs_share,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep__q0_50__s0_75_000c0bdb.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep__q0_50__s0_75_000c0bdb.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,keep,0.75,semantic_censor,640,321,0.5015625,0.44528196007691645,0.1354078699496463,0.9610914067130658,0.2519680795665967,199,321,0.011309689545421149,0.26250000000000007,19.791956704487013,0.2639019934659321,0.736098006534068,5.2231368289055435,0.0,0.0,5.308674888728597,0.0,9.260144986852874,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep__q0_50__s1_00_fdf6c30a.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep__q0_50__s1_00_fdf6c30a.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,keep,1.0,semantic_censor,640,321,0.5015625,0.5937092801025552,0.1354078699496463,0.9610914067130658,0.2519680795665967,199,321,0.015079586060561529,0.35,26.389275605982682,0.2639019934659322,0.7360980065340679,6.964182438540726,0.0,0.0,7.078233184971463,0.0,12.346859982470493,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep__q0_50__s1_25_a93e4984.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep__q0_50__s1_25_a93e4984.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,keep,1.25,semantic_censor,640,321,0.5015625,0.7175716898728226,0.1354078699496463,0.9610914067130658,0.2519680795665967,199,321,0.018225559907351745,0.35,31.89472983786555,0.2710106798461117,0.7289893201538884,8.643812416868007,0.0,0.0,8.58314909214963,0.0,14.667768328847913,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp25__q0_50__s0_75_41de5848.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp25__q0_50__s0_75_41de5848.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,damp25,0.75,semantic_censor,640,640,1.0,0.5214614700576873,0.1354078699496463,0.1354078699496463,-1.185064234594159,249,640,0.013244568307309473,0.26250000000000007,23.177994537791577,0.26198277302694445,0.7380172269730555,6.072235282214009,0.0,0.0,6.176060517343621,0.0,10.929698738233947,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp25__q0_50__s1_00_47a27ea2.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp25__q0_50__s1_00_47a27ea2.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,damp25,1.0,semantic_censor,640,640,1.0,0.6952819600769164,0.1354078699496463,0.1354078699496463,-1.185064234594159,249,640,0.017659424409745963,0.35,30.90399271705544,0.2619827730269444,0.7380172269730555,8.096313709618679,0.0,0.0,8.234747356458161,0.0,14.5729316509786,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp25__q0_50__s1_25_b6cabef2.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp25__q0_50__s1_25_b6cabef2.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,damp25,1.25,semantic_censor,640,640,1.0,0.8445375398407742,0.1354078699496463,0.1354078699496463,-1.185064234594159,249,640,0.02145035784383229,0.35,37.538126226706495,0.2679669316727641,0.732033068327236,10.058976505715453,0.0,0.0,10.028791806508002,0.0,17.450357914483046,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp50__q0_50__s0_75_9b4d9848.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp50__q0_50__s0_75_9b4d9848.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,damp50,0.75,semantic_censor,640,640,1.0,0.5976409800384582,0.1354078699496463,0.1354078699496463,-1.185064234594159,249,640,0.015179447069197799,0.26250000000000007,26.564032371096147,0.2605528271774526,0.7394471728225472,6.921333735522471,0.0,0.0,7.043446145958649,0.0,12.599252489615024,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp50__q0_50__s1_00_535cc6c6.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp50__q0_50__s1_00_535cc6c6.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,damp50,1.0,semantic_censor,640,640,1.0,0.7968546400512776,0.1354078699496463,0.1354078699496463,-1.185064234594159,249,640,0.020239262758930395,0.35,35.418709828128186,0.26055282717745265,0.7394471728225472,9.228444980696628,0.0,0.0,9.391261527944861,0.0,16.799003319486697,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp50__q0_50__s1_25_46392961.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__damp50__q0_50__s1_25_46392961.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,damp50,1.25,semantic_censor,640,640,1.0,0.9715033898087256,0.1354078699496463,0.1354078699496463,-1.185064234594159,249,640,0.02467515578031283,0.35,43.18152261554745,0.2657187588478329,0.7342812411521672,11.474140594562895,0.0,0.0,11.474434520866378,0.0,20.232947500118183,0.0
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__boost125_damp25__q0_50__s0_75_de2d6ee9.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__boost125_damp25__q0_50__s0_75_de2d6ee9.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,3,Q1|S1|S3,17,0.5,boost125_damp25,0.75,semantic_censor,640,640,1.0,0.6327819600769163,0.1354078699496463,0.1354078699496463,-1.185064234594159,249,640,0.01607199069366476,0.3281250000000001,28.12598371391332,0.2623204067984524,0.7376795932015475,7.3780194894403905,0.0,0.0,7.503229239525771,0.0,13.244734984947158,0.0
