view_id,split,rep,actual_delta_mean,actual_delta_best,actual_delta_worst,targets_improved,null_q20,null_median,null_best,dominance,placebo_adjusted_vs_median,placebo_adjusted_vs_best,label_gate
family_jepa_context,subject5,pc,0.03172777939853618,0.010233318099854283,0.060637833419102116,0,0.010015681612447798,0.016673869378104743,0.004226546578293292,0.2777777777777778,0.015053910020431438,0.027501232820242888,False
family_jepa_context,subject5,cluster6,0.007517040007695296,-0.0034369192882863775,0.011186743997694482,1,0.005412848617049858,0.008014205979530557,0.003011382510694819,0.5555555555555556,-0.0004971659718352615,0.004505657497000477,False
family_jepa_context,dateblock5,pc,0.008305283915685762,-0.006199601019677647,0.018734425065986104,2,0.006508550809609802,0.009175381777833915,0.0030714313787670072,0.6111111111111112,-0.0008700978621481534,0.005233852536918755,False
family_jepa_context,dateblock5,cluster6,0.005250398306903071,-0.013124626449649734,0.016531577569745992,1,0.005509302080955569,0.00814480936703164,0.0018370024324971018,0.8055555555555556,-0.002894411060128569,0.0034133958744059696,False
raw_human_context,subject5,pc,0.06667519595621284,-0.014465897699500574,0.17024151769021723,1,0.01209880301026072,0.029409075653951573,0.00885790607821976,0.05555555555555555,0.037266120302261264,0.057817289877993075,False
raw_human_context,subject5,cluster6,0.15087819008543038,0.04743664317211316,0.3035352967079221,0,0.008113760805921475,0.0894032054013871,0.005985321639348665,0.027777777777777776,0.06147498468404328,0.1448928684460817,False
raw_human_context,dateblock5,pc,0.00930377237787954,-0.0036541525696837107,0.02274570051909286,2,0.01134594367984725,0.014090639656978106,0.0056597543285957,0.9444444444444444,-0.004786867279098566,0.0036440180492838406,False
raw_human_context,dateblock5,cluster6,0.0020926119195945497,-0.009653276522643583,0.013890524713150776,3,0.0035822297758496863,0.00547293859711538,0.0008241932857277875,0.9722222222222222,-0.00338032667752083,0.0012684186338667621,False
hybrid_context,subject5,pc,0.028632063106467376,-0.00035769917762362713,0.04941376857694446,1,0.010487296038051637,0.017244988095766925,0.0033755979665687696,0.19444444444444445,0.011387075010700451,0.025256465139898605,False
hybrid_context,subject5,cluster6,0.08521982708911675,0.0278568128528508,0.14275672170942622,0,0.01004883809565195,0.0853688397296651,0.0026710012049805387,0.5,-0.00014901264054834051,0.08254882588413621,False
hybrid_context,dateblock5,pc,0.007658534258698573,0.0002927802420209513,0.017910230574919583,0,0.007507805683348285,0.011972108389735003,0.004827162162417726,0.7777777777777778,-0.0043135741310364305,0.0028313720962808465,False
hybrid_context,dateblock5,cluster6,0.002443468923253898,-0.006452166150511807,0.008914174450178725,2,0.005865391123947984,0.007823923373247561,0.002829399262570436,1.0,-0.005380454449993664,-0.000385930339316538,False
