candidate,axis,value,n_rows,mean_abs_logit_move,movement_mass_frac,mean_signed_logit_move,high_mixmin_row_rate,high_e72_failed_row_rate
mixmin_vs_a2c8,calendar_context,after_train_run,14,0.0527896646322109,0.0648092308811469,0.006570421286427787,0.42857142857142855,0.2857142857142857
mixmin_vs_a2c8,calendar_context,between_train_runs,68,0.04508386279895691,0.26883756989522567,-0.0032092059471847904,0.20588235294117646,0.23529411764705882
mixmin_vs_a2c8,calendar_context,gap_adjacent,168,0.045230904912972075,0.6663531992236275,0.0029921542013084364,0.17857142857142858,0.17857142857142858
mixmin_vs_a2c8,train_span_zone,after_train_end,94,0.045296563497230005,0.37338170732191084,-0.000575030470573828,0.18085106382978725,0.23404255319148937
mixmin_vs_a2c8,train_span_zone,inside_train_calendar,156,0.045805596357818654,0.6266182926780891,0.0027595811772767984,0.21153846153846154,0.1794871794871795
mixmin_vs_a2c8,test_run_length_bin,len1,22,0.044684226136849005,0.0862058722908621,0.007461988705863679,0.09090909090909091,0.09090909090909091
mixmin_vs_a2c8,test_run_length_bin,len2_3,53,0.04654709805102875,0.216335807409405,0.002603782247005245,0.16981132075471697,0.18867924528301888
mixmin_vs_a2c8,test_run_length_bin,len4_7,99,0.04661644392782724,0.4047009877300082,0.002405007033326757,0.2727272727272727,0.26262626262626265
mixmin_vs_a2c8,test_run_length_bin,len8_plus,76,0.043927274736700446,0.2927573325697248,-0.002155501414452462,0.15789473684210525,0.15789473684210525
mixmin_vs_a2c8,global_order_quintile,0,50,0.04509028110091637,0.19770282543025963,-0.0033933328700223205,0.2,0.16
mixmin_vs_a2c8,global_order_quintile,1,50,0.0464143382756011,0.20350828589923542,-0.00022158359013706093,0.2,0.1
mixmin_vs_a2c8,global_order_quintile,2,50,0.05217815198587043,0.22878030079804604,0.008931774333020203,0.38,0.34
mixmin_vs_a2c8,global_order_quintile,3,50,0.041484000156541016,0.18189072768789663,-0.0037802529970657178,0.14,0.22
mixmin_vs_a2c8,global_order_quintile,4,50,0.042904228492257716,0.18811786018456234,0.00599223111262971,0.08,0.18
mixmin_vs_a2c8,raw_domain_bin,q1_low,63,0.04425897228921834,0.24451291519605664,0.0035428096378198434,0.1746031746031746,0.15873015873015872
mixmin_vs_a2c8,raw_domain_bin,q2,62,0.04562091740846973,0.24803652188891956,-7.026414985837338e-05,0.20967741935483872,0.20967741935483872
mixmin_vs_a2c8,raw_domain_bin,q3,62,0.04630381259577266,0.25174935706837726,0.003201422121098837,0.24193548387096775,0.25806451612903225
mixmin_vs_a2c8,raw_domain_bin,q4_high,63,0.046284150572627754,0.25570120584664663,-0.0006490000314018749,0.1746031746031746,0.1746031746031746
mixmin_vs_a2c8,raw_density_bin,q1_low,63,0.045292626851607364,0.25022343844779094,0.00030893243086961455,0.1746031746031746,0.1746031746031746
mixmin_vs_a2c8,raw_density_bin,q2,62,0.045680949673700996,0.24836291151707535,0.00048131807153249835,0.24193548387096775,0.1774193548387097
