teacher,feature_set,model,n_features,js,cosine,pearson,spearman,top50_overlap,truth_mass_in_pred_top50,pred_mass_in_truth_top50,q1q3_mass_in_pred_top50,q2s3_frac_in_pred_top50,target_counts_pred_top50
all_sign_co_vetonull_density,night_all_blockknn,target_knn8,124,0.26092188785625126,0.4985278889846284,0.2670585390630051,0.2349899714796907,0.16,0.07349653805857755,0.054736543871355084,0.060497486117609245,0.0,"Q1:37,Q3:4,S4:9"
all_sign_co_vetonull_density,night_mobility_blockknn,target_knn8,124,0.25613260497861295,0.5000077547351641,0.2747171111545975,0.26334984287099517,0.14,0.06914591322980475,0.05705695965542726,0.05828098070425969,0.0,"Q1:24,Q3:20,S4:6"
all_sign_co_vetonull_density,night_all_submission_meta,ridge,178,0.25303874519004554,0.5332204439133715,0.32864641526484767,0.35068901239673034,0.06,0.06434721350965562,0.03589370306448496,0.06434721350965562,0.0,"Q1:12,Q3:38"
all_sign_co_vetonull_density,submission_metadata,ridge,54,0.24872332376624726,0.5374985013647707,0.3152718377012332,0.3479957719982018,0.04,0.06303978435261427,0.03631607339430012,0.06303978435261427,0.0,"Q1:11,Q3:39"
all_sign_co_vetonull_density,all_raw_views_blockknn,target_knn8,936,0.2540436301738317,0.5147703607695236,0.29160656485090003,0.2510540771335918,0.14,0.06245263793723154,0.0586203304960917,0.05272601949657725,0.0,"Q1:28,Q3:15,S4:7"
all_sign_co_vetonull_density,night_phone_submission_meta,ridge,178,0.2540719951213807,0.5290112713224154,0.3037384353930843,0.32950452675913483,0.04,0.061558615936448145,0.03545348521411201,0.061558615936448145,0.0,"Q1:14,Q3:36"
all_sign_co_vetonull_density,night_context_blockknn,target_knn8,124,0.26507250233979984,0.4872138112138286,0.24662961088526486,0.2254198194698462,0.12,0.060451583691617496,0.051828127331971646,0.050724965250963205,0.0,"Q1:28,Q3:15,S4:7"
all_sign_co_vetonull_density,night_light_blockknn,target_knn8,124,0.26942991968122154,0.48691958196878377,0.23658404187840223,0.19829905004380344,0.08,0.0592056217604453,0.05045176374629377,0.04466258151071575,0.0,"Q1:7,Q3:29,S4:14"
all_sign_co_vetonull_density,visible_metadata,ridge,34,0.25770772844966255,0.5228352143786943,0.2692493200430697,0.2212323744719922,0.08,0.05812124444399351,0.0370200296687117,0.05812124444399351,0.0,"Q1:13,Q3:37"
all_sign_co_vetonull_density,night_all_target,ridge,131,0.2598897112817666,0.5198139080233591,0.25709381565816836,0.18616438972235538,0.1,0.05658705170570882,0.03965108691285294,0.05658705170570882,0.0,"Q1:4,Q3:46"
