teacher,feature_set,model,n_features,js,cosine,pearson,spearman,top50_overlap,truth_mass_in_pred_top50,pred_mass_in_truth_top50,q1q3_mass_in_pred_top50,q2s3_frac_in_pred_top50,target_counts_pred_top50
all_sign_co_vetonull_density,all_raw_views_submission_meta,ridge,990,0.2527470316435476,0.532406092253559,0.32076979636981817,0.3505189206262691,0.04,0.055511305131998305,0.03569532751338482,0.055511305131998305,0.0,"Q1:11,Q3:39"
all_sign_co_vetonull_density,night_watch_target,ridge,131,0.26672801061806833,0.5086564523651881,0.251835942692728,0.17705073155861167,0.1,0.054961405960672866,0.035091344481944356,0.054961405960672866,0.0,"Q1:7,Q3:43"
all_sign_co_vetonull_density,night_coverage_visible_meta,ridge,102,0.25524555651731373,0.5313576083413414,0.29021286797115625,0.22100435814291655,0.04,0.05329531669876147,0.039402341171117766,0.05329531669876147,0.0,"Q1:8,Q3:42"
all_sign_co_vetonull_density,night_usage_ambience_target,ridge,131,0.2654920443212223,0.5097577765813202,0.26275587551298235,0.2010956083531526,0.02,0.052133616575249064,0.033777101491928814,0.052133616575249064,0.0,"Q1:2,Q3:48"
all_sign_co_vetonull_density,night_coverage_blockknn,target_knn8,68,0.2852985780462299,0.44821996935784547,0.18702794640156206,0.1498227958672609,0.08,0.0513498052211962,0.048795347021543395,0.04559835237276646,0.0,"Q1:10,Q3:21,S4:19"
all_sign_co_vetonull_density,night_usage_ambience_visible_meta,ridge,158,0.2653545324394655,0.5084957587846141,0.2502432422644948,0.19262805030151528,0.04,0.04927297185461824,0.033417945389248915,0.04927297185461824,0.0,"Q1:8,Q3:42"
all_sign_co_vetonull_density,night_watch_visible_meta,ridge,158,0.26437297289269135,0.5131462867202519,0.266126446362253,0.20271814256422646,0.06,0.048791439840616846,0.03532383566689522,0.048791439840616846,0.0,"Q1:8,Q3:42"
all_sign_co_vetonull_density,night_watch_blockknn,target_knn8,124,0.2890050681491486,0.45221280570148265,0.20029498646471264,0.1529438683726151,0.06,0.046963484962028436,0.053195085811002255,0.04369105146171443,0.0,"Q1:16,Q3:32,S4:2"
all_sign_co_vetonull_density,night_light_visible_meta,ridge,158,0.272985855574007,0.4918406769827609,0.22742118030705727,0.19883795452892208,0.06,0.046548829639114615,0.03148653522614888,0.046548829639114615,0.0,"Q1:7,Q3:43"
all_sign_co_vetonull_density,all_raw_views_visible_meta,ridge,970,0.25711373584356423,0.5246840084209765,0.27008695492984525,0.20762826327569064,0.06,0.04647739263518613,0.03942936918450552,0.04647739263518613,0.0,"Q1:5,Q3:45"
all_sign_co_vetonull_density,night_mobility_visible_meta,ridge,158,0.26094030253852574,0.5129427717643276,0.23775034088352667,0.1826434858848956,0.06,0.04616244533073383,0.0376127213932064,0.04616244533073383,0.0,"Q1:13,Q3:37"
all_sign_co_vetonull_density,night_phone_visible_meta,ridge,158,0.2647220493010911,0.5105960281233366,0.24415705662364995,0.18215328980295353,0.04,0.04580810859326969,0.0350271574759173,0.04580810859326969,0.0,"Q1:9,Q3:40,S4:1"
all_sign_co_vetonull_density,night_coverage_target,ridge,75,0.2763478704248066,0.48303377283521826,0.13723995959409752,0.09005132088536805,0.02,0.04396786299690639,0.031073235503069684,0.03324959370838932,0.08,"Q1:13,Q2:2,Q3:17,S1:2,S2:2,S3:2,S4:12"
all_sign_co_vetonull_density,night_context_visible_meta,ridge,158,0.2571597741713907,0.5245829519699964,0.27205189949482234,0.20456387297731704,0.04,0.04313192215497384,0.038262875647392995,0.04313192215497384,0.0,"Q1:16,Q3:34"
all_sign_co_vetonull_density,night_context_target,ridge,131,0.2603219541839509,0.5177826152184866,0.2537800600893243,0.18665084885066605,0.02,0.043075539581184104,0.03726154971705739,0.04054316342848492,0.04,"Q1:13,Q3:33,S3:2,S4:2"
all_sign_co_vetonull_density,night_phone_blockknn,target_knn8,124,0.2556397144770123,0.5043198725765108,0.2771231819037833,0.2671798051425527,0.02,0.04236399967423395,0.053873370448968415,0.027820959424504396,0.0,"Q1:10,Q3:26,S4:14"
all_sign_co_vetonull_density,night_mobility_target,ridge,131,0.2697976658225706,0.4954393596187151,0.18422007075979713,0.143115568118296,0.06,0.04190206615949014,0.03374416516094144,0.04190206615949014,0.0,"Q1:13,Q3:37"
all_sign_co_vetonull_density,night_usage_ambience_blockknn,target_knn8,124,0.2639913548927049,0.49805836143461696,0.2473156613478918,0.20136107451068022,0.06,0.0415874528668676,0.04674309336616371,0.029869614665970275,0.0,"Q1:3,Q3:37,S4:10"
all_sign_co_vetonull_density,all_raw_views_target,ridge,943,0.25614910901666066,0.5276642934942242,0.27676867860119797,0.20774954315302108,0.04,0.041501079532726616,0.040776505877840326,0.041501079532726616,0.0,"Q1:11,Q3:39"
all_sign_co_vetonull_density,night_phone_target,ridge,131,0.2683636489542891,0.5024714918795815,0.21547669239194808,0.1550115914315614,0.04,0.04091768218031226,0.03418448048422151,0.04091768218031226,0.0,"Q1:16,Q3:34"
all_sign_co_vetonull_density,night_all_visible_meta,ridge,158,0.25640046564122454,0.5272417343361783,0.2759699902567929,0.20557284672579668,0.04,0.03896336382922109,0.04038562179201019,0.03896336382922109,0.0,"Q1:7,Q3:43"
all_sign_co_vetonull_density,target_only,ridge,7,0.258100013266814,0.5227051578413014,0.2771961935845396,0.14725884814810508,0.02,0.02224002509469695,0.04752894211494196,0.02224002509469695,0.0,Q3:50
all_sign_co_vetonull_density,night_light_target,ridge,131,0.2736720032338106,0.4907813984134866,0.22377734339595765,0.19431890431098223,0.0,0.017178178755218786,0.031656382100475125,0.017178178755218786,0.0,"Q1:16,Q3:34"
all_sign_co_vetonull_density,target_only,extratrees,7,0.32933497859291033,0.3589501634234215,-0.16999495692338873,-0.1325093705023434,0.0,0.007432259135975236,0.020720419666797878,0.0033672753419032656,0.26,"Q1:8,Q2:7,Q3:7,S1:7,S2:8,S3:6,S4:7"
all_sign_co_vetonull_density,visible_metadata,extratrees,34,0.32933497859291033,0.3589501634234215,-0.16999495692338873,-0.1325093705023434,0.0,0.007432259135975236,0.020720419666797878,0.0033672753419032656,0.26,"Q1:8,Q2:7,Q3:7,S1:7,S2:8,S3:6,S4:7"
all_sign_co_vetonull_density,submission_metadata,extratrees,54,0.32933497859291033,0.3589501634234215,-0.16999495692338873,-0.1325093705023434,0.0,0.007432259135975236,0.020720419666797878,0.0033672753419032656,0.26,"Q1:8,Q2:7,Q3:7,S1:7,S2:8,S3:6,S4:7"
all_sign_co_vetonull_density,night_all_visible_meta,extratrees,158,0.32933497859291033,0.3589501634234215,-0.16999495692338873,-0.1325093705023434,0.0,0.007432259135975236,0.020720419666797878,0.0033672753419032656,0.26,"Q1:8,Q2:7,Q3:7,S1:7,S2:8,S3:6,S4:7"
all_sign_co_vetonull_density,night_phone_visible_meta,extratrees,158,0.32933497859291033,0.3589501634234215,-0.16999495692338873,-0.1325093705023434,0.0,0.007432259135975236,0.020720419666797878,0.0033672753419032656,0.26,"Q1:8,Q2:7,Q3:7,S1:7,S2:8,S3:6,S4:7"
all_sign_co_vetonull_density,all_raw_views_visible_meta,extratrees,970,0.32933497859291033,0.3589501634234215,-0.16999495692338873,-0.1325093705023434,0.0,0.007432259135975236,0.020720419666797878,0.0033672753419032656,0.26,"Q1:8,Q2:7,Q3:7,S1:7,S2:8,S3:6,S4:7"
