context,scope,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure
raw05_compatible,low_adverse75_nonq2s3,sqrt,20,19,0,7,0,0,-3.5256005160411164e-05,-0.00010896242155078906,-4.174287458390856e-05,0.0010487761219176773
all,low_adverse75,raw,20,2,0,7,0,0,-6.452397928280451e-05,-0.00010776172421150396,-3.962509982646293e-05,0.0009946696218049293
all,low_adverse75_nonactive,raw,15,2,0,5,0,0,-6.445925494569238e-05,-0.00010712705702508168,-3.736129802726214e-05,0.0009937522570113906
raw05_compatible,low_adverse75_nonq2s3,sign,20,20,0,7,0,0,-3.1211600231340064e-05,-0.00010503171752660758,-4.6495072484961285e-05,0.001041100342612895
raw05_compatible,veto_null_nonq2s3,sqrt,20,19,0,7,0,0,-3.0135849580892327e-05,-0.00010346140290759347,-3.9837109209418654e-05,0.0007518607942520216
raw05_compatible,veto_null_nonq2s3,sign,20,20,0,7,0,0,-2.6478281173747398e-05,-9.973438543326989e-05,-4.4650133722453664e-05,0.0007518607942520216
all,veto_null,raw,20,1,0,7,0,0,-5.802165415702554e-05,-9.546181994567463e-05,-3.087373843821401e-05,0.000741720175132119
all,veto_null_nonactive,raw,20,1,0,7,0,0,-5.78117324327998e-05,-9.504411752025916e-05,-3.070903665559044e-05,0.0007441843308336985
raw05_compatible,low_adverse75,raw,20,16,0,5,0,0,-4.0823447223337084e-05,-8.381020905195161e-05,-3.2094517462364924e-05,0.0009044621433980616
raw05_compatible,low_adverse75_nonactive,raw,20,16,0,5,0,0,-4.061416180134447e-05,-8.309934136351944e-05,-3.185323106838275e-05,0.0009133615711192962
raw05_compatible,veto_null,raw,20,16,0,5,0,0,-3.7076284021053674e-05,-8.008875367534247e-05,-3.168767112419988e-05,0.0007473497628143947
raw05_compatible,veto_null_nonactive,raw,20,16,0,5,0,0,-3.691326934418537e-05,-7.937150112020902e-05,-3.148244333745118e-05,0.0007586338176976041
raw05_compatible,veto_null_s_all,sign,20,20,0,4,0,0,-2.2665163849633352e-05,-7.291738842576561e-05,-3.525558683549502e-05,0.0007195047810504264
raw05_compatible,veto_null_s_all,sqrt,20,20,0,3,0,0,-2.3936522797751714e-05,-7.154166598435334e-05,-3.319163173975439e-05,0.0007229457008415199
raw05_compatible,low_adverse75_nonq2s3,raw,20,12,0,5,0,0,-3.115869488679035e-05,-6.956352251978e-05,-2.6426065493492696e-05,0.0009006284582325647
raw05_compatible,veto_null_nonq2s3,raw,20,12,0,5,0,0,-2.758882654074757e-05,-6.570341412790318e-05,-2.4301517214818632e-05,0.0007596205901050512
all,all,raw,20,3,0,0,0,0,-8.740379050387048e-05,-6.456730050584413e-05,3.328127497278831e-05,0.0020470434136393785
all,all,sqrt,20,7,0,0,0,0,-0.00011277248540675355,-6.043518384749769e-05,8.604521798403288e-05,0.003398429964527143
all,veto_null_s_all,sqrt,20,11,0,4,0,0,-2.8137620696866428e-05,-4.9514790719709226e-05,-1.6419966444881052e-05,0.0007469835405403098
raw05_compatible,all,sqrt,20,19,0,0,0,0,-6.376528108775759e-05,-4.679011351118556e-05,1.1687102736960571e-05,0.0030704986115721207
all,veto_null_s_all,sign,20,12,0,4,0,0,-2.4762561801283667e-05,-4.666598761629229e-05,-1.692777203600785e-05,0.0007476020588998443
raw05_compatible,all,raw,20,14,0,0,0,0,-5.574885630799109e-05,-4.6371937270043526e-05,2.737321107236176e-05,0.0019415891887879706
all,all,sign,20,11,0,0,0,0,-9.654883380127988e-05,-4.620003066775131e-05,3.63044612439028e-05,0.0033365796666737476
raw05_compatible,veto_null_s_all,raw,20,13,0,3,0,0,-1.944756927552138e-05,-4.295295100141278e-05,-1.5428111712936507e-05,0.000745056342416197
loo_raw05_compatible,all,sign,20,1,0,0,0,0,-6.506482186141582e-05,-4.211248939809592e-05,3.384710197256398e-05,0.00198528585741877
raw05_compatible,all,sign,20,19,0,0,0,0,-5.915065815631504e-05,-4.1312862635536096e-05,4.285017215721026e-06,0.0029369384019702163
raw05_compatible,veto_null_lowalpha70,sign,20,16,0,1,0,0,-4.707160012329403e-06,-3.707760124037446e-05,-1.635832075442279e-05,0.000747813026256597
all,low_adverse75_nonq2s3,sign,20,7,0,8,0,0,-2.025319068132969e-05,-3.671903177458299e-05,-1.4697572130793147e-05,0.0008493249064771291
all,veto_null_nonq2s3,sign,20,6,0,7,0,0,-1.7470865328994556e-05,-3.3030877104475517e-05,-1.3723648826842084e-05,0.0007617593341462602
loo_inverse_top,low_adverse75_nonq2s3,raw,20,5,0,5,0,0,-1.2572928461573873e-05,-2.531113011670635e-05,-7.36772231319565e-06,0.0008024557514673223
loo_raw05_compatible,veto_null_s_all,sign,20,9,0,4,0,0,-1.3812212222741316e-05,-2.4955063934737205e-05,-8.769869476403895e-06,0.0007596518588258535
loo_inverse_top,veto_null_nonq2s3,raw,20,5,0,5,0,0,-1.1712066950386735e-05,-2.4040406079732767e-05,-6.8632584101416134e-06,0.0007889140929277216
raw05_compatible,veto_null_lowalpha70,sqrt,20,6,0,1,0,0,-3.337417601723125e-06,-1.97401648924892e-05,-9.736176100590788e-06,0.0007676028654526571
loo_inverse_top,low_adverse75,raw,20,4,0,3,0,0,-1.1511225321725327e-05,-1.9426746589971937e-05,-6.502651933514969e-06,0.0008018907907976658
raw05_compatible,veto_null_density70,sign,20,8,0,1,0,0,-2.971446089850005e-06,-1.9157167023752037e-05,-8.611627703865654e-06,0.0007721251965758971
loo_inverse_top,low_adverse75_nonactive,raw,20,4,0,4,0,0,-1.1342273922188006e-05,-1.8949082376235872e-05,-6.414481042732808e-06,0.000795871699040117
loo_inverse_top,veto_null,raw,20,4,0,3,0,0,-1.1026211453879498e-05,-1.8564523729092172e-05,-6.253648468466872e-06,0.0007889140929277216
all,veto_null_density70,sign,20,3,0,0,0,0,-3.4832275609408825e-06,-1.8414478733744843e-05,-7.0350051951717206e-06,0.0007669132747161157
loo_inverse_top,all,raw,20,4,0,0,0,0,-1.4514249658703626e-05,-1.8147967490357598e-05,5.309872489111763e-06,0.0009085066329355309
all,veto_null_tail70,sign,20,6,0,0,0,0,-3.2007954523516347e-06,-1.8115291065966405e-05,-6.95400448913265e-06,0.000766913274716115
loo_inverse_top,veto_null_nonactive,raw,20,4,0,3,0,0,-1.0652280717726725e-05,-1.802750407329594e-05,-6.0633672493722756e-06,0.0007889140929277216
all,veto_null_lowalpha70,sign,20,3,0,0,0,0,-3.463714374762894e-06,-1.7739058461006673e-05,-6.995887358865349e-06,0.0007661982771891344
loo_inverse_top,low_adverse75_nonq2s3,sqrt,20,4,0,6,0,0,-7.616793029963098e-06,-1.4322485102449072e-05,-4.46343237642408e-06,0.0007964003090618431
loo_raw05_compatible,veto_null_s_all,sqrt,20,2,0,4,0,0,-8.277419087932003e-06,-1.3775182085796293e-05,-4.683845695069609e-06,0.0007710874964449368
loo_inverse_top,veto_null_nonq2s3,sqrt,20,4,0,6,0,0,-7.145197200686404e-06,-1.3679095649060347e-05,-4.187077736787728e-06,0.0007889140929277216
loo_raw05_compatible,low_adverse75,sign,20,1,0,7,0,0,-7.192631544250538e-06,-1.2009522263688273e-05,-4.1973166709167625e-06,0.0008044856682860566
loo_raw05_compatible,low_adverse75_nonactive,sign,20,1,0,7,0,0,-7.159444239124291e-06,-1.1921828641276003e-05,-4.180786327862724e-06,0.0008045863330872548
loo_raw05_compatible,veto_null,sign,20,1,0,7,0,0,-6.490001088654829e-06,-1.1223200578928462e-05,-4.088805272695803e-06,0.0007809323372545751
loo_raw05_compatible,veto_null_nonactive,sign,20,1,0,7,0,0,-6.443204614070552e-06,-1.1162379402015785e-05,-4.084922070069667e-06,0.0007809323372545751
raw05_compatible,veto_null_density70,sqrt,20,3,0,1,0,0,-1.7914123745521593e-06,-1.0157396396346871e-05,-4.191701477865201e-06,0.000781472960232061
loo_inverse_top,all,sqrt,20,3,0,0,0,0,-7.821031997146122e-06,-9.789168131537556e-06,1.8309197759855154e-06,0.0008492111761484861
all,veto_null_tail70,sqrt,20,2,0,0,0,0,-1.833606005141597e-06,-9.365451205310706e-06,-3.2087447732678216e-06,0.0007769005208005278
all,veto_null_lowalpha70,sqrt,20,2,0,0,0,0,-2.0470921034965173e-06,-9.088636891307803e-06,-3.3927603202874898e-06,0.0007774077862033042
all,veto_null_density70,sqrt,20,1,0,0,0,0,-1.0462482565865017e-06,-4.776153714797362e-06,-1.731128619393127e-06,0.0007827681265256335
loo_inverse_top,veto_null_s_all,raw,20,3,0,4,0,0,-3.0651818414551e-06,-4.572415028398767e-06,-1.1232896363462224e-06,0.0007889140929277223
loo_inverse_top,all,sign,20,1,0,0,0,0,-2.0076889944986576e-06,-2.5258532674202743e-06,2.94835814763443e-07,0.000804008993557477
loo_inverse_top,veto_null_s_all,sqrt,20,1,0,4,0,0,-7.832703249333051e-07,-1.1669251852625673e-06,-2.870431458767029e-07,0.0007889140929277223
all,low_adverse75_nonq2s3,raw,20,0,0,8,0,0,,,,
all,veto_null_density70,raw,20,0,0,0,0,0,,,,
all,veto_null_lowalpha70,raw,20,0,0,0,0,0,,,,
all,veto_null_nonq2s3,raw,20,0,0,8,0,0,,,,
all,veto_null_nonq2s3,sqrt,20,0,0,7,0,0,,,,
all,veto_null_s_all,raw,20,0,0,4,0,0,,,,
all,veto_null_tail70,raw,20,0,0,0,0,0,,,,
all_sign,all,raw,20,0,0,0,0,0,,,,
all_sign,all,sign,20,0,0,0,0,0,,,,
all_sign,all,sqrt,20,0,0,0,0,0,,,,
all_sign,low_adverse75,raw,20,0,0,3,0,0,,,,
all_sign,low_adverse75,sign,20,0,0,3,0,0,,,,
all_sign,low_adverse75,sqrt,20,0,0,3,0,0,,,,
all_sign,low_adverse75_nonactive,raw,20,0,0,3,0,0,,,,
all_sign,low_adverse75_nonactive,sign,20,0,0,3,0,0,,,,
all_sign,low_adverse75_nonactive,sqrt,20,0,0,3,0,0,,,,
all_sign,low_adverse75_nonq2s3,raw,20,0,0,5,0,0,,,,
all_sign,low_adverse75_nonq2s3,sign,20,0,0,6,0,0,,,,
all_sign,low_adverse75_nonq2s3,sqrt,20,0,0,6,0,0,,,,
all_sign,veto_null,raw,20,0,0,3,0,0,,,,
all_sign,veto_null,sign,20,0,0,3,0,0,,,,
all_sign,veto_null,sqrt,20,0,0,3,0,0,,,,
all_sign,veto_null_density70,raw,20,0,0,0,0,0,,,,
all_sign,veto_null_density70,sign,20,0,0,1,0,0,,,,
all_sign,veto_null_density70,sqrt,20,0,0,1,0,0,,,,
all_sign,veto_null_lowalpha70,raw,20,0,0,0,0,0,,,,
all_sign,veto_null_lowalpha70,sign,20,0,0,1,0,0,,,,
all_sign,veto_null_lowalpha70,sqrt,20,0,0,1,0,0,,,,
all_sign,veto_null_nonactive,raw,20,0,0,3,0,0,,,,
all_sign,veto_null_nonactive,sign,20,0,0,3,0,0,,,,
all_sign,veto_null_nonactive,sqrt,20,0,0,3,0,0,,,,
all_sign,veto_null_nonq2s3,raw,20,0,0,5,0,0,,,,
all_sign,veto_null_nonq2s3,sign,20,0,0,6,0,0,,,,
all_sign,veto_null_nonq2s3,sqrt,20,0,0,6,0,0,,,,
all_sign,veto_null_s_all,raw,20,0,0,3,0,0,,,,
all_sign,veto_null_s_all,sign,20,0,0,3,0,0,,,,
all_sign,veto_null_s_all,sqrt,20,0,0,3,0,0,,,,
all_sign,veto_null_tail70,raw,20,0,0,0,0,0,,,,
all_sign,veto_null_tail70,sign,20,0,0,1,0,0,,,,
all_sign,veto_null_tail70,sqrt,20,0,0,1,0,0,,,,
inverse_top,all,raw,20,0,0,0,0,0,,,,
inverse_top,all,sign,20,0,0,0,0,0,,,,
inverse_top,all,sqrt,20,0,0,0,0,0,,,,
inverse_top,low_adverse75,raw,20,0,0,7,0,0,,,,
inverse_top,low_adverse75,sign,20,0,0,7,0,0,,,,
inverse_top,low_adverse75,sqrt,20,0,0,7,0,0,,,,
inverse_top,low_adverse75_nonactive,raw,15,0,0,5,0,0,,,,
inverse_top,low_adverse75_nonactive,sign,15,0,0,5,0,0,,,,
inverse_top,low_adverse75_nonactive,sqrt,15,0,0,5,0,0,,,,
inverse_top,low_adverse75_nonq2s3,raw,20,0,0,8,0,0,,,,
inverse_top,low_adverse75_nonq2s3,sign,20,0,0,8,0,0,,,,
inverse_top,low_adverse75_nonq2s3,sqrt,20,0,0,8,0,0,,,,
inverse_top,veto_null,raw,20,0,0,7,0,0,,,,
inverse_top,veto_null,sign,20,0,0,7,0,0,,,,
inverse_top,veto_null,sqrt,20,0,0,7,0,0,,,,
inverse_top,veto_null_density70,raw,20,0,0,0,0,0,,,,
inverse_top,veto_null_density70,sign,20,0,0,0,0,0,,,,
inverse_top,veto_null_density70,sqrt,20,0,0,0,0,0,,,,
inverse_top,veto_null_lowalpha70,raw,20,0,0,0,0,0,,,,
inverse_top,veto_null_lowalpha70,sign,20,0,0,0,0,0,,,,
inverse_top,veto_null_lowalpha70,sqrt,20,0,0,0,0,0,,,,
inverse_top,veto_null_nonactive,raw,20,0,0,7,0,0,,,,
inverse_top,veto_null_nonactive,sign,20,0,0,7,0,0,,,,
inverse_top,veto_null_nonactive,sqrt,20,0,0,7,0,0,,,,
inverse_top,veto_null_nonq2s3,raw,20,0,0,6,0,0,,,,
inverse_top,veto_null_nonq2s3,sign,20,0,0,6,0,0,,,,
inverse_top,veto_null_nonq2s3,sqrt,20,0,0,6,0,0,,,,
inverse_top,veto_null_s_all,raw,20,0,0,4,0,0,,,,
inverse_top,veto_null_s_all,sign,20,0,0,4,0,0,,,,
inverse_top,veto_null_s_all,sqrt,20,0,0,4,0,0,,,,
inverse_top,veto_null_tail70,raw,20,0,0,0,0,0,,,,
inverse_top,veto_null_tail70,sign,20,0,0,0,0,0,,,,
inverse_top,veto_null_tail70,sqrt,20,0,0,0,0,0,,,,
loo_all_sign,all,raw,20,0,0,0,0,0,,,,
loo_all_sign,all,sign,20,0,0,0,0,0,,,,
loo_all_sign,all,sqrt,20,0,0,0,0,0,,,,
loo_all_sign,low_adverse75,raw,20,0,0,7,0,0,,,,
loo_all_sign,low_adverse75,sign,20,0,0,6,0,0,,,,
loo_all_sign,low_adverse75,sqrt,20,0,0,6,0,0,,,,
loo_all_sign,low_adverse75_nonactive,raw,20,0,0,7,0,0,,,,
loo_all_sign,low_adverse75_nonactive,sign,20,0,0,6,0,0,,,,
loo_all_sign,low_adverse75_nonactive,sqrt,20,0,0,6,0,0,,,,
loo_all_sign,low_adverse75_nonq2s3,raw,20,0,0,8,0,0,,,,
loo_all_sign,low_adverse75_nonq2s3,sign,20,0,0,8,0,0,,,,
loo_all_sign,low_adverse75_nonq2s3,sqrt,20,0,0,8,0,0,,,,
loo_all_sign,veto_null,raw,20,0,0,7,0,0,,,,
loo_all_sign,veto_null,sign,20,0,0,7,0,0,,,,
loo_all_sign,veto_null,sqrt,20,0,0,7,0,0,,,,
loo_all_sign,veto_null_density70,raw,20,0,0,0,0,0,,,,
loo_all_sign,veto_null_density70,sign,20,0,0,0,0,0,,,,
loo_all_sign,veto_null_density70,sqrt,20,0,0,0,0,0,,,,
loo_all_sign,veto_null_lowalpha70,raw,20,0,0,0,0,0,,,,
loo_all_sign,veto_null_lowalpha70,sign,20,0,0,0,0,0,,,,
loo_all_sign,veto_null_lowalpha70,sqrt,20,0,0,0,0,0,,,,
loo_all_sign,veto_null_nonactive,raw,20,0,0,7,0,0,,,,
loo_all_sign,veto_null_nonactive,sign,20,0,0,7,0,0,,,,
loo_all_sign,veto_null_nonactive,sqrt,20,0,0,7,0,0,,,,
loo_all_sign,veto_null_nonq2s3,raw,20,0,0,8,0,0,,,,
loo_all_sign,veto_null_nonq2s3,sign,20,0,0,8,0,0,,,,
loo_all_sign,veto_null_nonq2s3,sqrt,20,0,0,8,0,0,,,,
loo_all_sign,veto_null_s_all,raw,20,0,0,4,0,0,,,,
loo_all_sign,veto_null_s_all,sign,20,0,0,4,0,0,,,,
loo_all_sign,veto_null_s_all,sqrt,20,0,0,4,0,0,,,,
loo_all_sign,veto_null_tail70,raw,20,0,0,0,0,0,,,,
loo_all_sign,veto_null_tail70,sign,20,0,0,0,0,0,,,,
loo_all_sign,veto_null_tail70,sqrt,20,0,0,0,0,0,,,,
loo_inverse_top,low_adverse75,sign,20,0,0,3,0,0,,,,
loo_inverse_top,low_adverse75,sqrt,20,0,0,3,0,0,,,,
loo_inverse_top,low_adverse75_nonactive,sign,20,0,0,3,0,0,,,,
loo_inverse_top,low_adverse75_nonactive,sqrt,20,0,0,3,0,0,,,,
loo_inverse_top,low_adverse75_nonq2s3,sign,20,0,0,6,0,0,,,,
loo_inverse_top,veto_null,sign,20,0,0,3,0,0,,,,
loo_inverse_top,veto_null,sqrt,20,0,0,3,0,0,,,,
loo_inverse_top,veto_null_density70,raw,20,0,0,0,0,0,,,,
loo_inverse_top,veto_null_density70,sign,20,0,0,1,0,0,,,,
loo_inverse_top,veto_null_density70,sqrt,20,0,0,1,0,0,,,,
loo_inverse_top,veto_null_lowalpha70,raw,20,0,0,0,0,0,,,,
loo_inverse_top,veto_null_lowalpha70,sign,20,0,0,1,0,0,,,,
loo_inverse_top,veto_null_lowalpha70,sqrt,20,0,0,1,0,0,,,,
loo_inverse_top,veto_null_nonactive,sign,20,0,0,3,0,0,,,,
loo_inverse_top,veto_null_nonactive,sqrt,20,0,0,3,0,0,,,,
loo_inverse_top,veto_null_nonq2s3,sign,20,0,0,6,0,0,,,,
loo_inverse_top,veto_null_s_all,sign,20,0,0,4,0,0,,,,
loo_inverse_top,veto_null_tail70,raw,20,0,0,0,0,0,,,,
loo_inverse_top,veto_null_tail70,sign,20,0,0,1,0,0,,,,
loo_inverse_top,veto_null_tail70,sqrt,20,0,0,1,0,0,,,,
loo_raw05_compatible,all,raw,20,0,0,0,0,0,,,,
loo_raw05_compatible,all,sqrt,20,0,0,0,0,0,,,,
loo_raw05_compatible,low_adverse75,raw,20,0,0,7,0,0,,,,
loo_raw05_compatible,low_adverse75,sqrt,20,0,0,7,0,0,,,,
loo_raw05_compatible,low_adverse75_nonactive,raw,20,0,0,7,0,0,,,,
loo_raw05_compatible,low_adverse75_nonactive,sqrt,20,0,0,7,0,0,,,,
loo_raw05_compatible,low_adverse75_nonq2s3,raw,20,0,0,9,0,0,,,,
loo_raw05_compatible,low_adverse75_nonq2s3,sign,20,0,0,9,0,0,,,,
loo_raw05_compatible,low_adverse75_nonq2s3,sqrt,20,0,0,9,0,0,,,,
loo_raw05_compatible,veto_null,raw,20,0,0,7,0,0,,,,
loo_raw05_compatible,veto_null,sqrt,20,0,0,7,0,0,,,,
loo_raw05_compatible,veto_null_density70,raw,20,0,0,0,0,0,,,,
loo_raw05_compatible,veto_null_density70,sign,20,0,0,0,0,0,,,,
loo_raw05_compatible,veto_null_density70,sqrt,20,0,0,0,0,0,,,,
loo_raw05_compatible,veto_null_lowalpha70,raw,20,0,0,0,0,0,,,,
loo_raw05_compatible,veto_null_lowalpha70,sign,20,0,0,0,0,0,,,,
loo_raw05_compatible,veto_null_lowalpha70,sqrt,20,0,0,0,0,0,,,,
loo_raw05_compatible,veto_null_nonactive,raw,20,0,0,7,0,0,,,,
loo_raw05_compatible,veto_null_nonactive,sqrt,20,0,0,7,0,0,,,,
loo_raw05_compatible,veto_null_nonq2s3,raw,20,0,0,8,0,0,,,,
loo_raw05_compatible,veto_null_nonq2s3,sign,20,0,0,8,0,0,,,,
loo_raw05_compatible,veto_null_nonq2s3,sqrt,20,0,0,8,0,0,,,,
loo_raw05_compatible,veto_null_s_all,raw,20,0,0,4,0,0,,,,
loo_raw05_compatible,veto_null_tail70,raw,20,0,0,0,0,0,,,,
loo_raw05_compatible,veto_null_tail70,sign,20,0,0,0,0,0,,,,
loo_raw05_compatible,veto_null_tail70,sqrt,20,0,0,0,0,0,,,,
raw05_compatible,veto_null_density70,raw,20,0,0,0,0,0,,,,
raw05_compatible,veto_null_lowalpha70,raw,20,0,0,0,0,0,,,,
raw05_compatible,veto_null_tail70,raw,20,0,0,0,0,0,,,,
raw05_compatible,veto_null_tail70,sign,20,0,0,1,0,0,,,,
raw05_compatible,veto_null_tail70,sqrt,20,0,0,1,0,0,,,,
