context,scope,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure
all,low_adverse75,sqrt,20,10,0,7,0,0,-8.100898098084564e-05,-0.00015419223042685538,-6.0184879633792324e-05,0.0011420248032518207
all,low_adverse75_nonactive,sqrt,15,10,0,5,0,0,-8.08407890865448e-05,-0.00015337467444405858,-6.0039408894785306e-05,0.0011485924191712326
all,veto_null,sqrt,20,8,0,7,0,0,-7.281529839753276e-05,-0.0001449721968230456,-5.774921104234584e-05,0.0007318616802104358
all,veto_null_nonactive,sqrt,20,8,0,7,0,0,-7.269475576487938e-05,-0.00014462597894168678,-5.7609411830292e-05,0.0007395144147953592
all,low_adverse75,sign,20,14,0,7,0,0,-6.838880535264824e-05,-0.000141890127463613,-5.7181157845613553e-05,0.0011485839440341736
all,low_adverse75_nonactive,sign,15,14,0,5,0,0,-6.829095120841622e-05,-0.00014107376604319144,-5.713892390797773e-05,0.0011596434239889918
all,veto_null,sign,20,13,0,7,0,0,-6.074015112400577e-05,-0.00013324208731843346,-5.387999172510214e-05,0.0007284549348405406
all,veto_null_nonactive,sign,20,13,0,7,0,0,-6.072779993104849e-05,-0.00013322826379006856,-5.387466093899002e-05,0.0007395144147953592
raw05_compatible,low_adverse75,sqrt,20,20,0,5,0,0,-4.397816384316133e-05,-0.0001231526175320059,-5.183881065190174e-05,0.0010418727234974463
raw05_compatible,low_adverse75_nonactive,sqrt,20,20,0,5,0,0,-4.400003166049604e-05,-0.00012229927208900283,-5.16808254515653e-05,0.0010667495356958784
all,low_adverse75_nonq2s3,sqrt,20,2,0,8,0,0,-6.025080386706794e-05,-0.00012161586268981692,-5.111930078277866e-05,0.0011083261256004597
raw05_compatible,veto_null,sqrt,20,20,0,5,0,0,-3.859729265431877e-05,-0.00011799358920894435,-5.048729245866733e-05,0.0007239265580643742
raw05_compatible,veto_null_nonactive,sqrt,20,20,0,5,0,0,-3.872533871318584e-05,-0.00011712103322921595,-5.034909030764752e-05,0.0007517886637664471
raw05_compatible,low_adverse75,sign,20,20,0,5,0,0,-3.922063902084272e-05,-0.00011647140939234204,-5.593356221651527e-05,0.001020024285517698
raw05_compatible,low_adverse75_nonactive,sign,20,20,0,5,0,0,-3.928712960576952e-05,-0.00011570791498067526,-5.5946376195321154e-05,0.001050863482315421
raw05_compatible,veto_null,sign,20,20,0,5,0,0,-3.438386561593898e-05,-0.0001117971133748486,-5.500359387694047e-05,0.0007783171649214559
raw05_compatible,veto_null_nonactive,sign,20,20,0,5,0,0,-3.448370888570196e-05,-0.0001109027295723084,-5.502325103941832e-05,0.0007517886637664471
