context,view,cols,cosine,pearson,spearman,tv_distance,js_divergence,top20_overlap,truth_mass_in_pred_top20,pred_mass_in_truth_top20,top50_overlap,truth_mass_in_pred_top50,pred_mass_in_truth_top50,top100_overlap,truth_mass_in_pred_top100,pred_mass_in_truth_top100,top200_overlap,truth_mass_in_pred_top200,pred_mass_in_truth_top200
all_sign,subject_target,"subject_id,target",0.5326391980106508,0.3179700048896662,0.3059022844434649,0.5444542496732945,0.24070031947962603,0.1,0.02787849582535219,0.02565794413764777,0.1,0.04828036719429087,0.058106048443010164,0.11,0.10768948788986349,0.10334661594177279,0.31,0.2451837529943912,0.20164403280461163
all_sign,target_tail,"target,e95_fallback_cell,e95_moved_vs_mixmin",0.5340396438219389,0.292145140336423,0.2655432243141478,0.5624404726480098,0.24493997456536848,0.0,0.01442679508553655,0.018514355384171382,0.06,0.04896933506253627,0.04401960731083246,0.1,0.08636998778212526,0.08512902575962274,0.215,0.20453537293964402,0.16241632049745924
all_sign,target_context_tail_e72bin,"target,context_type,e95_fallback_cell,e95_moved_vs_mixmin,e72_pos_bin",0.5190522912148472,0.2844214584392448,0.3455568382490434,0.5559710424377102,0.24650871930408125,0.0,0.013144264811141665,0.019515574332963703,0.04,0.06395896755407965,0.04358090771367572,0.13,0.13347492506605466,0.09213378191025537,0.25,0.22450246707605376,0.18120958357652484
all_sign,target_context_tail,"target,context_type,e95_fallback_cell,e95_moved_vs_mixmin",0.521464871024678,0.267610591677779,0.25003748439937307,0.5687711780171926,0.25053918422951527,0.0,0.02102215108269961,0.01806067968266709,0.06,0.045406231066796886,0.043580393982495365,0.13,0.10486112454917089,0.08647548605603607,0.23,0.21420745052604556,0.16105488817538277
all_sign,target,target,0.5277153250063253,0.277099842938445,0.1835549353847515,0.5744594473985021,0.2548996974456025,0.0,0.018915811013700077,0.01847182476937275,0.06,0.05058352434004459,0.04371720616538739,0.11,0.09675668858502781,0.08430094025509569,0.22,0.20538404207044308,0.15944978142439428
all_sign,target_position,"target,pos_bin",0.516411855864993,0.2564195901636233,0.20519251524875895,0.5764684814134604,0.25697858762381326,0.05,0.014750623827073504,0.018711901947567323,0.06,0.0437171530882454,0.04374713864172065,0.07,0.07652434077747909,0.08497997464330954,0.17,0.1576557014668677,0.1586347950008975
all_sign,target_context,"target,context_type",0.5162567036913672,0.2546823901843174,0.19361533188793373,0.5796737164291981,0.2595235190102519,0.05,0.022426731312106863,0.018077681607130996,0.08,0.051639351754902425,0.04343468213590629,0.14,0.10686908799120691,0.08586370914588891,0.245,0.22408023525821175,0.1587516477912037
all_sign,target_context_position,"target,context_type,pos_bin",0.5124731634292582,0.26172639821809857,0.1984695937500587,0.572354110540175,0.25989509073396777,0.05,0.020524264990723684,0.021723981219556113,0.08,0.05290535181185178,0.04726010340679391,0.18,0.1340588452813898,0.0918811289017363,0.285,0.24741931549356638,0.1701104399161279
all_sign,subject_context_target,"subject_id,context_type,target",0.49322000416330275,0.18924180695621312,0.12469047075018178,0.5860020869284344,0.26671175776719946,0.0,0.020970956780140194,0.015617021334606546,0.16,0.07962010734364573,0.03832614209375785,0.17,0.12108843354625896,0.07359040543943679,0.21,0.20709553263858915,0.1417696226540701
all_sign,target_context_pos_tail_e72bin,"target,context_type,pos_bin,e95_fallback_cell,e95_moved_vs_mixmin,e72_pos_bin",0.47343304336828107,0.24511164871156338,0.26633288287833995,0.5727043032940244,0.26793626617204513,0.05,0.026509297198900973,0.022216494125067283,0.14,0.06755373903466914,0.05106049295982376,0.14,0.13598261182558127,0.0994092718405677,0.31,0.257415107924853,0.1917411835727879
