target,category,n,y_rate,pred_mean,base_logloss,median_gap,force_weak_logloss,force_strong_logloss,actual_matches_neighbor
Q1,different,147,0.4557823129251701,0.5211361145591398,0.7180519869715088,16.0,,,
Q1,one_side,180,0.5166666666666667,0.4846899437381463,0.670129254889751,,,,
Q1,same_0,55,0.34545454545454546,0.36554148197950037,0.6453482547622752,13.0,0.6672026812644003,0.8644017332830656,0.6545454545454545
Q1,same_1,68,0.6470588235294118,0.5741970335597513,0.5783207309601073,20.0,0.6754275860993488,0.8808515429529625,0.6470588235294118
Q2,different,132,0.6136363636363636,0.5411095737923289,0.7097791343927886,13.0,,,
Q2,one_side,180,0.5666666666666667,0.5637511038864655,0.7039008945121229,,,,
Q2,same_0,47,0.3617021276595745,0.45557054372155226,0.6959914640385443,18.0,0.6850524747359906,0.9001013202262462,0.6382978723404256
Q2,same_1,91,0.5824175824175825,0.646537220996453,0.661881745256412,24.0,0.7464432479395631,1.0228828666333907,0.5824175824175825
Q3,different,159,0.6037735849056604,0.5928865739155669,0.66618350877068,14.0,,,
Q3,one_side,180,0.5944444444444444,0.610839546849612,0.6797184990328413,,,,
Q3,same_0,35,0.6,0.5829507596321988,0.6287141908812577,18.0,0.9468494456526467,1.4236952620595578,0.4
Q3,same_1,76,0.6052631578947368,0.6099644160135593,0.6769635567286957,16.0,0.7213448179786662,0.9726860067115971,0.6052631578947368
S1,different,107,0.5607476635514018,0.5912788380381894,0.6740386260173997,21.0,,,
S1,one_side,180,0.7166666666666667,0.6734704680263509,0.5514082290505014,,,,
S1,same_0,21,0.5238095238095238,0.54519405364329,0.6585673855444981,11.0,0.8631456522303145,1.2562876752148935,0.47619047619047616
S1,same_1,142,0.7535211267605634,0.800548079136239,0.5403037956426909,14.0,0.5584667914896951,0.646929953733655,0.7535211267605634
S2,different,56,0.5535714285714286,0.5259550886760637,0.7215412596596824,13.0,,,
S2,one_side,180,0.6166666666666667,0.6628351069368937,0.6115550807130155,,,,
S2,same_0,46,0.34782608695652173,0.43138639894385294,0.6141997706520608,21.5,0.669808085901558,0.8696125425573809,0.6521739130434783
S2,same_1,168,0.8035714285714286,0.759059369986978,0.46973463589708536,16.0,0.5034809148687309,0.5369582004917265,0.8035714285714286
S3,different,72,0.5416666666666666,0.601662594649983,0.6071758040384536,24.0,,,
S3,one_side,180,0.6777777777777778,0.6548708566383887,0.5484596006465507,,,,
S3,same_0,43,0.37209302325581395,0.40855524959700246,0.620039089528675,13.0,0.6964680403282867,0.922932451410838,0.627906976744186
S3,same_1,155,0.7806451612903226,0.7739507798960854,0.4751695781373923,16.0,0.5286679938370435,0.5873323584283519,0.7806451612903226
S4,different,131,0.5190839694656488,0.5522599979876194,0.6627953333412605,21.0,,,
S4,one_side,180,0.5777777777777777,0.5592798062287472,0.6470242135880475,,,,
S4,same_0,50,0.38,0.4191963077777012,0.6416467530269137,13.0,0.7051547421456625,0.9403058550455896,0.62
S4,same_1,89,0.6853932584269663,0.6822275977268379,0.609461548001301,14.0,0.633312904841748,0.7966221804377606,0.6853932584269663
