pair,group_kind,target,n_cells,n_rows,expected_delta_focus_mean,abs_expected_share,swing_sum,top1_swing,support_prob_swing_weighted,mean_safe_density,e72_active_rate,context_high_rate,group,target_group,context_type,edge_like,e72_active,safe_density_bin
e172_vs_e169,target,Q1,46,46,-2.790673798058832e-06,0.35955301291619857,4.205105006771121e-05,1.9876677211164862e-06,0.5507969717494513,0.4405792775008744,0.4782608695652174,1.0,Q1,,,,,
e172_vs_e169,target,Q3,51,51,-1.9848336817611596e-06,0.2557278213280201,3.787939453553064e-05,2.190962102649114e-06,0.4920117732219777,0.43938092786341476,0.45098039215686275,1.0,Q3,,,,,
e172_vs_e169,target,S4,43,43,7.616355666658445e-07,0.09812983621709105,2.1004452385009794e-05,1.3434678025598628e-06,0.4785462614653335,0.4482740347671674,0.4186046511627907,1.0,S4,,,,,
e172_vs_e169,target,S3,91,91,1.083928926771505e-06,0.1396544130950772,6.788664313311711e-05,1.9886344419411157e-06,0.6677326285631885,0.1831963855655886,0.02197802197802198,1.0,S3,,,,,
e172_vs_e169,target,S1,33,33,1.9049890927495968e-06,0.24544057006843814,3.030373501901047e-05,2.387886372822025e-06,0.6417110385365856,0.46660557529899915,0.45454545454545453,1.0,S1,,,,,
e172_vs_e169,target,S2,54,54,2.9504602517873225e-06,0.38014004852789796,7.148316879939417e-05,2.9962304040837944e-06,0.5764704522931546,0.46486660851619277,0.35185185185185186,1.0,S2,,,,,
e172_vs_e169,target,Q2,92,92,5.83600223114868e-06,0.7519159663357144,7.682613105302032e-05,2.7034772483969875e-06,0.47794343013525814,0.1835187501953794,0.010869565217391304,1.0,Q2,,,,,
e172_vs_e169,target_group,,189,138,1.0604947513286873e-06,0.1366351320914956,0.00015675657565626216,2.7034772483969875e-06,0.5008864437167615,0.31512592118544597,0.24338624338624337,1.0,Q,Q,,,,
e172_vs_e169,target_group,,221,139,6.701013837974268e-06,0.8633648679085043,0.00019067799933653154,2.9962304040837944e-06,0.6085437499347143,0.34591599740361156,0.24434389140271492,1.0,S,S,,,,
e172_vs_e169,context_type,,63,33,8.807178227430307e-07,0.113472505069034,3.9748166141764035e-05,2.496133173320663e-06,0.5629017540113641,0.32497831172943836,0.20634920634920634,1.0,after_train_run,,after_train_run,,,
e172_vs_e169,context_type,,347,145,6.880790766559926e-06,0.886527494930966,0.00030768640885102963,2.9962304040837944e-06,0.5595919451203741,0.33294697663196776,0.2507204610951009,1.0,between_train_runs,,between_train_runs,,,
e172_vs_e169,edge_like,,178,71,3.7478157105822114e-06,0.48287206893612344,0.00016575549336511326,2.9962304040837944e-06,0.5741094225740416,0.33147109715660694,0.20786516853932585,1.0,False,,,False,,
e172_vs_e169,edge_like,,232,107,4.0136928787207446e-06,0.5171279310638764,0.00018167908162768038,2.7034772483969875e-06,0.547071005540138,0.33191542774298016,0.27155172413793105,1.0,True,,,True,,
e172_vs_e169,e72_active,,100,83,-3.9347489532078436e-07,0.05069567221288374,9.633190213905223e-05,2.5269441086847192e-06,0.5676892080527547,0.4800760200009437,1.0,1.0,True,,,,True,
e172_vs_e169,e72_active,,310,163,8.15498348462374e-06,1.0506956722128837,0.00025110267285374143,2.9962304040837944e-06,0.5570094719856601,0.2838665565488808,0.0,1.0,False,,,,False,
e172_vs_e169,target_context,Q1,39,39,-2.6346310404943874e-06,0.33944831860722036,3.8404071945732846e-05,1.9876677211164862e-06,0.5544609597770266,0.43860903717135513,0.48717948717948717,1.0,Q1:between_train_runs,,between_train_runs,,,
e172_vs_e169,target_context,Q3,41,41,-2.0085527529461886e-06,0.25878380856453737,3.4949584494431716e-05,2.190962102649114e-06,0.48333944232000253,0.4406899032705443,0.4878048780487805,1.0,Q3:between_train_runs,,between_train_runs,,,
e172_vs_e169,target_context,Q1,7,7,-1.5604275756444453e-07,0.020104694308978197,3.646978121978371e-06,1.3641389751247894e-06,0.512213779003841,0.45155633076533863,0.42857142857142855,1.0,Q1:after_train_run,,after_train_run,,,
e172_vs_e169,target_context,S3,17,17,1.92854264664448e-08,0.0024847523190303883,1.1026214731853756e-05,1.511138462106963e-06,0.653195249846167,0.1848158755156593,0.0,1.0,S3:after_train_run,,after_train_run,,,
e172_vs_e169,target_context,Q3,10,10,2.3719071185028526e-08,0.0030559872365172095,2.929810041098919e-06,5.590695399601157e-07,0.595463654869762,0.4340141286941835,0.3,1.0,Q3:after_train_run,,after_train_run,,,
e172_vs_e169,target_context,S4,6,6,4.270798856044692e-08,0.005502537047927486,3.3904850788167374e-06,9.658621694166632e-07,0.4616656073308009,0.4394726032446104,0.5,1.0,S4:after_train_run,,after_train_run,,,
e172_vs_e169,target_context,S1,5,5,1.5356789631274114e-07,0.019785830878856596,2.8949609233981534e-06,1.3538609651224823e-06,0.6822222222222222,0.4545471837155297,0.6,1.0,S1:after_train_run,,after_train_run,,,
e172_vs_e169,target_context,S2,6,6,1.5723424100157465e-07,0.020258206145423528,5.474326300279696e-06,2.1170138263007587e-06,0.5060700316387776,0.45056101810932964,0.16666666666666666,1.0,S2:after_train_run,,after_train_run,,,
e172_vs_e169,target_context,Q2,12,12,6.402459567812393e-07,0.08248988575025701,1.0385390944338405e-05,2.496133173320663e-06,0.5053968626733601,0.18481587551565934,0.0,1.0,Q2:after_train_run,,after_train_run,,,
e172_vs_e169,target_context,S4,37,37,7.189275781053975e-07,0.09262729916916354,1.7613967306193057e-05,1.3434678025598628e-06,0.48179559223612894,0.44970129393298747,0.40540540540540543,1.0,S4:between_train_runs,,between_train_runs,,,
e172_vs_e169,target_context,S3,74,74,1.0646435003050602e-06,0.1371696607760468,5.6860428401263345e-05,1.9886344419411157e-06,0.6705516762538072,0.1828243405770588,0.02702702702702703,1.0,S3:between_train_runs,,between_train_runs,,,
e172_vs_e169,target_context,S1,28,28,1.7514211964368559e-06,0.22565473918958157,2.740877409561231e-05,2.387886372822025e-06,0.6374321790253428,0.46875885951033297,0.42857142857142855,1.0,S1:between_train_runs,,between_train_runs,,,
e172_vs_e169,target_context,S2,48,48,2.7932260107857475e-06,0.35988184238247434,6.600884249911447e-05,2.9962304040837944e-06,0.5823089863402287,0.4666548073170507,0.375,1.0,S2:between_train_runs,,between_train_runs,,,
e172_vs_e169,target_context,Q2,80,80,5.195756274367441e-06,0.6694260805854575,6.644074010868191e-05,2.7034772483969875e-06,0.4736521680390528,0.18332418139733733,0.0125,1.0,Q2:between_train_runs,,between_train_runs,,,
e172_vs_e169,target_safety,Q3,24,24,-1.9078400738755044e-06,0.24580789313367793,1.969717385054786e-05,2.190962102649114e-06,0.5132579301538178,0.4210136533641106,0.0,1.0,Q3:q3,,,,,q3
e172_vs_e169,target_safety,Q1,11,11,-1.3640929764511218e-06,0.17575101035527269,1.0691219167713381e-05,1.6964972781402996e-06,0.5910107514945167,0.4199728477091821,0.36363636363636365,1.0,Q1:q2,,,,,q2
e172_vs_e169,target_safety,Q1,23,23,-1.1102815403829132e-06,0.14304970839214456,1.8045894048796592e-05,1.8258969991470205e-06,0.5327377028979827,0.4606426782552126,0.782608695652174,1.0,Q1:q4_high,,,,,q4_high
e172_vs_e169,target_safety,Q1,12,12,-3.162992812247981e-07,0.040752294168781455,1.3313936851201237e-05,1.9876677211164862e-06,0.5429827030108303,0.4210136533641106,0.0,1.0,Q1:q3,,,,,q3
e172_vs_e169,target_safety,Q3,4,4,-1.1024433218203432e-07,0.01420398250076988,1.0696521523575476e-06,4.7662319725321515e-07,0.38606814437346665,0.4183254455369215,0.75,1.0,Q3:q2,,,,,q2
e172_vs_e169,target_safety,S3,48,48,1.1936965548411358e-08,0.0015379697659373961,3.7616004750172126e-05,1.7115811017407445e-06,0.6848843639683705,0.18481587551565928,0.0,1.0,S3:q2,,,,,q2
e172_vs_e169,target_safety,Q3,23,23,3.325072429637899e-08,0.004284054306427709,1.7112568532625232e-05,1.5037634840509969e-06,0.47417889117774853,0.46220860252816565,0.8695652173913043,1.0,Q3:q4_high,,,,,q4_high
e172_vs_e169,target_safety,S4,2,2,3.995049596668362e-08,0.005147259132296017,3.5833990658813113e-07,2.519957170340957e-07,0.4756122846265957,0.4210136533641106,0.0,1.0,S4:q2,,,,,q2
e172_vs_e169,target_safety,S4,23,23,1.815705367967398e-07,0.02339371717593451,8.57845127455703e-06,1.2063132804025171e-06,0.48346119627106016,0.4210136533641105,0.0,1.0,S4:q3,,,,,q3
e172_vs_e169,target_safety,S1,16,16,2.4311153714603973e-07,0.03132271701420265,1.2483556057294277e-05,2.387886372822025e-06,0.6288385539919492,0.5150469923548182,0.9375,1.0,S1:q4_high,,,,,q4_high
e172_vs_e169,target_safety,S2,5,5,4.072961731996485e-07,0.0524764185355655,5.115480651711587e-06,1.200903936469544e-06,0.348888888888889,0.42101365336411056,0.0,1.0,S2:q2,,,,,q2
e172_vs_e169,target_safety,S4,18,18,5.40114533902421e-07,0.0695888599088605,1.2067661203864631e-05,1.3434678025598628e-06,0.47513953939485815,0.48613567560474613,1.0,1.0,S4:q4_high,,,,,q4_high
e172_vs_e169,target_safety,S2,23,23,7.339849005943426e-07,0.09456729863134251,3.8595329035515826e-05,2.5269441086847192e-06,0.623061328311307,0.5239727654603035,0.8260869565217391,1.0,S2:q4_high,,,,,q4_high
