pred_index,base_index,tag,base_tag,variant_id,variant_kind,variant_name,reason,subset_key,pool,pool_size,pool_support_mean,pool_support2_count,base_agg,delta_agg,gate,pair_name,alpha_q2,alpha_s3,alpha_sum,alpha_max,alpha_gap,dominant_axis,gate_active_q2,gate_active_s3,mean_abs_q2_delta_unit,mean_abs_s3_delta_unit,mean_abs_q2s3_delta_unit,weight_max,weight_entropy,cell_heldout_mean,cell_world_mean,cell_hidden_q2s3_mean,cell_block_win_mean,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,mean_abs_logit_delta_vs_e73,mean_abs_q2s3_logit_delta_vs_e73,mean_abs_logit_delta_vs_e74,mean_abs_q2s3_logit_delta_vs_e74,mean_abs_logit_delta_vs_e75,mean_abs_q2s3_logit_delta_vs_e75
778,770,e76_bootstrap8_002_asym8_28_e75_f2d092b3,e76_base_bootstrap8_002_8ee55021,35,bootstrap8,bootstrap8_002,deterministic random 8-of-13 subset,43-48-49-58-76-97-99-100,translator_tail_soft_p90_m0.50,8,1.375,3,mean,signed_p75,top_abs50,asym8_28_e75,8.0,28.0,36.0,28.0,20.0,s3_higher,0.156,0.156,0.00026151784962068604,0.00032219476199926115,0.00029185630580997365,0.24037635972617777,1.9796492584136118,-2.1526766046803258e-07,-2.2324995871015113e-05,-2.1315592172662517e-05,0.7309027777777778,-1.255997048288382e-05,-7.714006525882944e-06,-3.5160060809502625e-06,-5.516768417990203e-05,-1.9433626346376798e-05,-1.0285959180844628e-05,6.83553645897117e-06,-3.0860815181110723e-06,-3.5160060809502625e-06,1.0652236272390425e-05,-6.223117130499389e-07,-3.5160060809502625e-06,-5.516768417990203e-05,1.0652236272390425e-05,3,3,742,-0.00019379608273253912,-0.00010747044563796937,-0.00011089875440789543,-0.00025098825279804005,-0.0005253030280575333,-0.00038814564042778665,-0.0005894497928964694,0.0,0.7222222222222222,1.0,True,0.00680038949899885,0.005556798066472449,True,True,True,True,True,True,True,True,True,True,True,0.001160125237374884,0.0032600621022973167,0.0011432149694204636,0.0032008761644568445,0.0004496407104571459,0.000773366258085233
783,770,e76_bootstrap8_002_q2a12_s3a28_4f502cbc,e76_base_bootstrap8_002_8ee55021,35,bootstrap8,bootstrap8_002,deterministic random 8-of-13 subset,43-48-49-58-76-97-99-100,translator_tail_soft_p90_m0.50,8,1.375,3,mean,signed_p75,top_abs50,q2a12_s3a28,12.0,28.0,40.0,28.0,16.0,s3_higher,0.156,0.156,0.00026151784962068604,0.00032219476199926115,0.00029185630580997365,0.24037635972617777,1.9796492584136118,-2.1526766046803258e-07,-2.2324995871015113e-05,-2.1315592172662517e-05,0.7309027777777778,-1.2511462928799233e-05,-7.665498971798357e-06,-3.192795074768995e-06,-5.5204900173411176e-05,-1.947084233988594e-05,-1.0447909727151483e-05,6.931154019951258e-06,-2.9904639571309843e-06,-3.192795074768995e-06,1.0739357367395286e-05,-5.351906180450783e-07,-3.192795074768995e-06,-5.5204900173411176e-05,1.0739357367395286e-05,3,3,747,-0.0002579237611170628,-0.00014265574938199244,-0.00012846597064447574,-0.0003739587664544075,-0.0005253030280575333,-0.0004496308972559704,-0.000642821573375374,0.0,0.7222222222222222,1.0,True,0.0069498282702106715,0.006079833765713827,True,True,True,True,True,True,True,True,True,True,True,0.001015279406756252,0.0027531016951321038,0.0009983691388018314,0.002693915757291632,0.0005903256305379914,0.0012657634783681925
756,748,e76_bootstrap8_001_asym8_28_e75_e465c952,e76_base_bootstrap8_001_df2bcca7,34,bootstrap8,bootstrap8_001,deterministic random 8-of-13 subset,43-46-48-77-97-98-99-100,translator_tail_soft_p90_m0.50,8,1.375,3,mean,signed_p75,top_abs50,asym8_28_e75,8.0,28.0,36.0,28.0,20.0,s3_higher,0.16,0.156,0.0002675072712972524,0.0003194715222910631,0.0002934893967941578,0.22942991587970218,1.9510367375601207,-2.0062075413440628e-07,-2.2997292545989464e-05,-2.166547549981024e-05,0.7378472222222222,-1.2443789478955303e-05,-7.691514426144686e-06,-3.5339994810534847e-06,-5.508758773775657e-05,-1.937524226480747e-05,-1.0285959180844628e-05,6.868580969432436e-06,-3.161231571291445e-06,-3.5339994810534847e-06,1.088763833156925e-05,-5.380694423351429e-07,-3.5339994810534847e-06,-5.508758773775657e-05,1.088763833156925e-05,3,3,721,-0.00019177567491197043,-0.00010909791037139183,-0.00010830298951450268,-0.00024728631789805444,-0.0005108346087036725,-0.00037906046330086346,-0.000580231890092955,0.0,0.75,1.0,True,0.006879299480379848,0.005542630397263936,True,True,True,True,True,True,True,True,True,True,True,0.001086346395843577,0.0030977037316780613,0.0010645700747573075,0.003021486607876118,0.0003484446763553736,0.000515047713469349
777,770,e76_bootstrap8_002_q2a8_s3a26_5028a502,e76_base_bootstrap8_002_8ee55021,35,bootstrap8,bootstrap8_002,deterministic random 8-of-13 subset,43-48-49-58-76-97-99-100,translator_tail_soft_p90_m0.50,8,1.375,3,mean,signed_p75,top_abs50,q2a8_s3a26,8.0,26.0,34.0,26.0,18.0,s3_higher,0.156,0.156,0.00026151784962068604,0.00032219476199926115,0.00029185630580997365,0.24037635972617777,1.9796492584136118,-2.1526766046803258e-07,-2.2324995871015113e-05,-2.1315592172662517e-05,0.7309027777777778,-1.2421613044599766e-05,-7.57564908759889e-06,-3.7319805450408694e-06,-5.416115639000907e-05,-1.8427098556483834e-05,-9.856799706664532e-06,6.636869092746522e-06,-3.2847488843357198e-06,-3.7319805450408694e-06,1.0259448163685292e-05,-1.0150998217550722e-06,-3.7319805450408694e-06,-5.416115639000907e-05,1.0259448163685292e-05,3,3,741,-0.0001887040800006624,-0.00010522451849659387,-0.00010589319880666137,-0.00025098825279804005,-0.0004902641388491724,-0.00037062619582360623,-0.000556529096323327,0.0,0.7222222222222222,1.0,True,0.006708333852713348,0.005234603304473195,True,True,True,True,True,True,True,True,True,True,True,0.0010680695910893832,0.0029378673402980634,0.0010579612591053247,0.0029024881783538585,0.0005295416568906477,0.0010530195706024896
2032,2024,e76_bootstrap8_059_asym8_28_e75_db60d1b4,e76_base_bootstrap8_059_6449ccf1,92,bootstrap8,bootstrap8_059,deterministic random 8-of-13 subset,43-47-48-50-58-76-97-99,translator_tail_soft_p90_m0.50,8,1.5,4,mean,signed_p75,top_abs50,asym8_28_e75,8.0,28.0,36.0,28.0,20.0,s3_higher,0.152,0.168,0.00025774604706341983,0.00033989960212456647,0.00029882282459399315,0.21088203533197866,1.9740924488233542,-2.284507672409286e-07,-2.29238574346608e-05,-2.2702728120809618e-05,0.75,-1.2419217672698935e-05,-7.707884589591707e-06,-2.7565409919105832e-06,-5.554828420128999e-05,-1.9829598935316994e-05,-1.0945719623567385e-05,7.080361025812998e-06,-2.985144331613121e-06,-2.7565409919105832e-06,1.1210270157713254e-05,-3.0891050151193866e-07,-2.7565409919105832e-06,-5.554828420128999e-05,1.1210270157713254e-05,3,3,1939,-0.0002109013712174089,-0.00011559597031340907,-0.00011421880568138199,-0.00024731820164342055,-0.0005522134381261284,-0.0003997658198847745,-0.0006067427905067067,0.0,0.75,1.0,True,0.006942260848756476,0.005789578617997663,True,True,True,True,True,True,True,True,True,True,True,0.0011371654767056807,0.003405284996881305,0.0011096027861014902,0.0033088155797666393,0.0003589543657639882,0.0006815461085853819
1152,1144,e76_bootstrap8_019_asym8_28_e75_327a57d1,e76_base_bootstrap8_019_e02203bd,52,bootstrap8,bootstrap8_019,deterministic random 8-of-13 subset,46-47-48-50-58-98-99-100,translator_tail_soft_p90_m0.50,8,1.5,4,mean,signed_p75,top_abs50,asym8_28_e75,8.0,28.0,36.0,28.0,20.0,s3_higher,0.152,0.156,0.00025774604706341983,0.0003209570191456275,0.00028935153310452366,0.20316985557801287,1.9789185480082687,-2.083726061002933e-07,-2.290552886548313e-05,-2.2512080768196958e-05,0.7378472222222223,-1.2398175427419389e-05,-7.532745453953105e-06,-2.663166716043719e-06,-5.5174292353799004e-05,-1.9395468366489865e-05,-9.158604680425952e-06,6.9389664169028364e-06,-2.898118936056626e-06,-2.663166716043719e-06,1.1040799654526978e-05,-3.046490596458895e-07,-2.663166716043719e-06,-5.5174292353799004e-05,1.1040799654526978e-05,3,3,1099,-0.00021353573925710903,-0.00012324077888825613,-0.00010614670999495313,-0.00024731820164342055,-0.000495708768320613,-0.00037151348498201675,-0.0005423538553363472,0.0,0.7222222222222222,1.0,True,0.006840831993509054,0.005524382456292512,True,True,True,True,True,True,True,True,True,True,True,0.0010470403165069087,0.0030484807144551293,0.0010129341887083593,0.002929109267160206,0.00024929416890006554,0.00025636919783117847
1614,1606,e76_bootstrap8_040_asym8_28_e75_337c42b6,e76_base_bootstrap8_040_e234b9d6,73,bootstrap8,bootstrap8_040,deterministic random 8-of-13 subset,43-47-50-76-97-98-99-100,translator_tail_soft_p90_m0.50,8,1.375,3,mean,signed_p75,top_abs50,asym8_28_e75,8.0,28.0,36.0,28.0,20.0,s3_higher,0.168,0.156,0.00027545132427847106,0.0003147377406759998,0.00029509453247723546,0.23121764714232032,1.951399012465479,-1.9596913959640805e-07,-2.288224824214188e-05,-2.1471301570128148e-05,0.7361111111111112,-1.2392872335009741e-05,-7.623417924484954e-06,-1.798769113658949e-06,-5.566438019066755e-05,-1.9880750137701853e-05,-1.2097886169515348e-05,7.183935031296329e-06,-2.8065924901898853e-06,-1.798769113658949e-06,1.130182815445302e-05,-1.8291114534108033e-07,-1.798769113658949e-06,-5.566438019066755e-05,1.130182815445302e-05,3,3,1540,-0.00019969687448873064,-0.00011392740009563695,-0.00010734666969935969,-0.0002557683852908166,-0.0004956583026045625,-0.0003757133439476895,-0.0005366237244676243,0.0,0.7222222222222222,1.0,True,0.006910167177816223,0.005508133666577927,True,True,True,True,True,True,True,True,True,True,True,0.0010078853888089792,0.0029821978277411593,0.0009803226982047887,0.0028857284106264935,0.0002608033715279241,0.0003674107672574671
761,748,e76_bootstrap8_001_q2a12_s3a28_9fe6a072,e76_base_bootstrap8_001_df2bcca7,34,bootstrap8,bootstrap8_001,deterministic random 8-of-13 subset,43-46-48-77-97-98-99-100,translator_tail_soft_p90_m0.50,8,1.375,3,mean,signed_p75,top_abs50,q2a12_s3a28,12.0,28.0,40.0,28.0,16.0,s3_higher,0.16,0.156,0.0002675072712972524,0.0003194715222910631,0.0002934893967941578,0.22942991587970218,1.9510367375601207,-2.0062075413440628e-07,-2.2997292545989464e-05,-2.166547549981024e-05,0.7378472222222222,-1.2392854022214017e-05,-7.6405789694034e-06,-3.1912933837752178e-06,-5.517616033079431e-05,-1.9463814857845207e-05,-1.0447909727151483e-05,6.973020603151525e-06,-3.0567919375723562e-06,-3.1912933837752178e-06,1.1024577661000734e-05,-4.011301129036582e-07,-3.1912933837752178e-06,-5.517616033079431e-05,1.1024577661000734e-05,3,3,726,-0.00025126951296174376,-0.00014045877167567777,-0.0001255983153031215,-0.00036835359841855264,-0.0005108346087036725,-0.00043959410356111256,-0.0006334878968768227,0.0,0.75,1.0,True,0.007032160778263994,0.006077644939858446,True,True,True,True,True,True,True,True,True,True,True,0.0009334850979594313,0.0025626891890835504,0.0009117087768731618,0.002486472065281608,0.0004947405858912865,0.0010270833968450438
426,418,e76_base_cell_gate_raw_agree_asym8_28_e75_4c173c37,e76_base_base_cell_gate_raw_agree_3a992e88,19,group_keep,base_cell_gate_raw_agree,keep base_cell_gate=raw_agree,46-49-58-76-97-100,translator_tail_soft_p90_m0.50,6,1.3333333333333333,2,mean,signed_p75,top_abs50,asym8_28_e75,8.0,28.0,36.0,28.0,20.0,s3_higher,0.156,0.156,0.00026177303127663165,0.00031018316000149925,0.00028597809563906545,0.3173794735866312,1.683436116800007,-2.142012612745455e-07,-2.208169597393656e-05,-2.0756552390443817e-05,0.7222222222222223,-1.2390738534762136e-05,-7.498227989621853e-06,-2.5408686521455337e-06,-5.566722073213626e-05,-1.9374446291853253e-05,-9.748612138871238e-06,7.146529778512267e-06,-2.9064700299841206e-06,-2.5408686521455337e-06,1.1348475349559628e-05,-2.1376764702818463e-07,-2.5408686521455337e-06,-5.566722073213626e-05,1.1348475349559628e-05,3,3,406,-0.00020652564183781807,-0.0001251699169790843,-0.00010317589940286864,-0.0002510087326227928,-0.0004712225631969408,-0.0003611156479098668,-0.0005294916399305662,0.0,0.7222222222222222,1.0,True,0.0069055647439635074,0.005389656365127554,True,True,True,True,True,True,True,True,True,True,True,0.0009884207419371858,0.002881538749584487,0.0009543146141386365,0.002762167302289564,0.00027264667245015787,0.00037632950637988904
1482,1474,e76_bootstrap8_034_asym8_28_e75_8d66a8c9,e76_base_bootstrap8_034_8338a396,67,bootstrap8,bootstrap8_034,deterministic random 8-of-13 subset,43-48-50-76-77-98-99-100,translator_tail_soft_p90_m0.50,8,1.375,3,mean,signed_p75,top_abs50,asym8_28_e75,8.0,28.0,36.0,28.0,20.0,s3_higher,0.16,0.156,0.0002683408968972142,0.00031730188071136964,0.00029282138880429195,0.2378636290478023,1.9847669927923148,-2.0123956202822146e-07,-2.2824460770754326e-05,-2.129473546835358e-05,0.7378472222222222,-1.2385784137425304e-05,-7.674914549116174e-06,-3.491046616677096e-06,-5.4987358817149e-05,-1.931173774416539e-05,-1.0285959180844628e-05,6.895688013153212e-06,-3.178523499292041e-06,-3.491046616677096e-06,1.0934318391941922e-05,-5.344824037800677e-07,-3.491046616677096e-06,-5.4987358817149e-05,1.0934318391941922e-05,3,3,1414,-0.00019106638010766273,-0.00010930843036116578,-0.00010746396276908876,-0.0002473907628146865,-0.0005048569765686017,-0.00037612386969164413,-0.0005744807281990698,0.0,0.75,1.0,True,0.0068864183380164526,0.005515589917548075,True,True,True,True,True,True,True,True,True,True,True,0.0011116027561291035,0.003063994247162504,0.001089826435042834,0.002987777123360561,0.000396100922950964,0.0005597378310390159
