filter,case,n,share,mean_e89_minus_e95,median_e89_minus_e95,mean_tail_advantage,mean_needed_tail_advantage,mean_tail_surplus,alpha_median,lambda_median,selected_fractional_cells_mean,winner_mode,top_mask,top_order
broad_plausible,e89_beats_e95,676,0.19582850521436848,-4.251111942211829e-06,-2.637202618716173e-06,3.73748805124905e-06,8.211941578706021e-07,2.9162938933784485e-06,3.985270401239423,1.4155550319260446,20.386207303805975,e89,q2s3,weighted_gamma_0.5_rep_055
broad_plausible,e89_not_beats_e95,2776,0.8041714947856315,5.801955951203208e-06,5.190841954501079e-06,-3.5330166310697737e-06,7.386679477682944e-07,-4.271684578838068e-06,3.1507860177300406,1.328541065565532,23.683465330369277,e95,s1s2s3,bottom
tight_plausible,e89_beats_e95,536,0.1921146953405018,-3.950681749015346e-06,-2.533638288077731e-06,3.5672683061186385e-06,7.148269875583798e-07,2.8524413185602583e-06,3.225443613934729,1.3363258170756704,21.976877468766155,e89,q2s3,weighted_gamma_0.5_rep_022
tight_plausible,e89_not_beats_e95,2254,0.8078853046594983,5.474506758328214e-06,4.942217393615531e-06,-3.585933198099188e-06,6.484897573129345e-07,-4.234422955412123e-06,2.64656342975422,1.2759643988532958,25.212069043555903,e95,s1s2s3,bottom
near_unit_tail,e89_beats_e95,425,0.18054375531011044,-3.466898457024469e-06,-2.304544749366784e-06,3.255856974233644e-06,6.330492318634577e-07,2.622807742370186e-06,2.620622955804202,1.2732595147688628,23.282384261853835,e89,q2s3,median
near_unit_tail,e89_not_beats_e95,1929,0.8194562446898895,5.3696173750902076e-06,4.819806702368082e-06,-3.6405257617190732e-06,6.05323430330282e-07,-4.245849192049355e-06,2.4075901870805825,1.2510460059989943,26.053754665166426,e95,live_q2s1s2s3,median
