basename,actual__min_prob,actual__max_prob,actual__mean_prob,actual__prob_span,actual__mean_abs_move_vs_stage2,actual__mean_abs_move_vs_raw05,actual__mean_abs_move_vs_a2c8,actual__rms_move_vs_a2c8,actual__max_abs_move_vs_a2c8,actual__move_abs_a2c8_Q1,actual__mean_prob_Q1,actual__move_abs_a2c8_Q2,actual__mean_prob_Q2,actual__move_abs_a2c8_Q3,actual__mean_prob_Q3,actual__move_abs_a2c8_S1,actual__mean_prob_S1,actual__move_abs_a2c8_S2,actual__mean_prob_S2,actual__move_abs_a2c8_S3,actual__mean_prob_S3,actual__move_abs_a2c8_S4,actual__mean_prob_S4,actual__proj_a2c8,actual__cos_a2c8,actual__proj_raw05,actual__cos_raw05,actual__proj_final9,actual__cos_final9,actual__proj_ordinal,actual__cos_ordinal,actual__proj_q2_bad,actual__cos_q2_bad,actual__proj_resid_bad,actual__cos_resid_bad,actual__proj_lejepa_bad,actual__cos_lejepa_bad,actual__bad_axis_abs_load,actual__bad_axis_positive_load,actual__good_axis_load,actual__good_span_residual_ratio,actual__bad_to_good_load_ratio,actual__raw05_a2c8_compat_energy,policy,recipe,group_key,base_variant,meta_source_count,meta_weight,meta_nonzero_rows,meta_nonzero_cells,meta_mean_abs_delta,meta_max_abs_delta,meta_l1_delta,meta_signed_delta_sum,meta_q_abs_share,meta_s_abs_share,meta_abs_Q1,meta_abs_Q2,meta_abs_Q3,meta_abs_S1,meta_abs_S2,meta_abs_S3,meta_abs_S4,mix_actual,mix_row,mix_subject,mix_dateblock,mix_actual_share,mix_row_share,mix_subject_share,mix_dateblock_share,previously_null_evaluated,old_strict_promote,old_info_sensor,actual_p90,actual_mean,actual_beats_current_rate,incremental_bad_axis_vs_current,pred_target_worst_placement_dominance,pred_null_strict_rate,pred_target_adversarial_health,pred_row_p90_dominance,pred_subject_p90_dominance,pred_dateblock_p90_dominance,pred_worst_placement_dominance,pred_adversarial_health,pred_ready_score,source_path,parent_basename,parent_fresh_null_strict_rate,parent_fresh_actual_p90,parent_fresh_worst_mode_p90_dominance,ref_null_reps,ref_null_abs_mean,ref_centered_abs_mean,ref_unique75_cells,ref_unique90_cells,selection_rank_score,selection_reason
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_6f4dda0a.csv,0.0681101766719186,0.977087255361349,0.5943396146730336,0.9089770786894305,0.07678349774156082,0.06171185460495719,0.059178440362728,0.08599550036784495,0.42846266666666843,0.07860368323679805,0.4943920390002785,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06698725255158994,0.6612576662834077,0.03301601284580745,0.6346331809966811,0.10092923025111564,0.6477097777939567,0.04142229484797425,0.5654989620215859,1.0765382609503125,0.589654747556862,1.1191534107884078,0.5538448103523324,0.1691567467801738,0.3719191458677333,0.17777976656653247,0.3124811440476908,-0.01264962033049761,-0.014274437952701759,-0.07610074091617026,-0.1020737770325202,0.014072817805079334,0.0205681229899521,0.19171306233501345,0.10296270108834557,2.1956916717387203,0.7968583649876021,0.08731328934535092,0.09326858831681321,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l1.00,18.0,1.25,249.0,656.0,0.024803882812024596,0.35,43.40679492104304,-0.040427420283069004,0.27430156965123803,0.7256984303487619,11.906551980371491,0.0,9.714451465470118e-16,11.990976697173943,0.0,19.5092662434976,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0005275590041778017,-0.0012425862326846634,1.0,-0.007847202487411331,0.34546219620808605,0.4748780011224638,-0.12941580491437774,0.6683375613982181,0.7044271136231494,0.6837528423519522,0.34546219620808605,-0.12941580491437774,-0.24813530519499374,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_6f4dda0a.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_vote2__c128__w8_00_b6aa3bb6.csv,0.1818181818181818,-0.0011449425419868,1.0,8,0.021233672859925695,0.019978251674542005,49,23,-1.3058419243986255,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_dafe5d99.csv,0.0682347877819583,0.9770714090243074,0.5943763936506764,0.9088366212423491,0.07401691696433535,0.05844501139712003,0.05595691712798631,0.07830329382327533,0.4063678522290553,0.0687949005885041,0.4948011372950377,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06206073411794878,0.661107578137591,0.03301601284580745,0.6346331809966811,0.09311386868985891,0.6477082204885125,0.04142229484797425,0.5654989620215859,1.0802201258466708,0.6270184250293922,1.1230264208807765,0.5889631870124289,0.16715702103414434,0.38947854845005553,0.17383190407535445,0.32379540396548184,-0.01264962033049761,-0.015127206154517512,-0.08295194641567712,-0.11791025794826644,0.015328190127892407,0.02374128286937466,0.19784570891174436,0.10224414216556964,2.2032465467274474,0.7663509901225322,0.08979735341730755,0.08866112792681671,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l1.00,18.0,1.0,249.0,643.0,0.020513971347050707,0.35,35.899449857338745,-0.004151254687899231,0.24084893913996255,0.7591510608600375,8.646344413848317,0.0,6.661338147750941e-16,10.122143789774409,0.0,17.13096165371602,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0004121299944258223,-0.0010383113327546104,1.0,-0.0017145559106804265,0.2977416561097902,0.5222330388830625,-0.22449138277327227,0.701511693520381,0.6695044852014211,0.6231621573104066,0.2977416561097902,-0.22449138277327227,-0.3550496424940379,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_dafe5d99.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19,-1.2336769759450172,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____centered_only__kall__dafe5d99.csv,0.0682347877819583,0.9770714090243074,0.5943763936506764,0.9088366212423491,0.07401691696433535,0.05844501139712003,0.05595691712798631,0.07830329382327533,0.4063678522290553,0.0687949005885041,0.4948011372950377,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06206073411794878,0.661107578137591,0.03301601284580745,0.6346331809966811,0.09311386868985891,0.6477082204885125,0.04142229484797425,0.5654989620215859,1.0802201258466708,0.6270184250293922,1.1230264208807765,0.5889631870124289,0.16715702103414434,0.38947854845005553,0.17383190407535445,0.32379540396548184,-0.01264962033049761,-0.015127206154517512,-0.08295194641567712,-0.11791025794826644,0.015328190127892407,0.02374128286937466,0.19784570891174436,0.10224414216556964,2.2032465467274474,0.7663509901225322,0.08979735341730755,0.08866112792681671,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,centered_only,18.0,1.0,249.0,643.0,0.020513971347050707,0.35,35.899449857338745,-0.004151254687899231,0.24084893913996255,0.7591510608600375,8.646344413848317,0.0,6.661338147750941e-16,10.122143789774409,0.0,17.13096165371602,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0004121299944258223,-0.0010383113327546104,1.0,-0.0017145559106804265,0.2977416561097902,0.5222330388830625,-0.22449138277327227,0.701511693520381,0.6695044852014211,0.6231621573104066,0.2977416561097902,-0.22449138277327227,-0.3550496424940379,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____centered_only__kall__dafe5d99.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19,-1.2336769759450172,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_6787ff5e.csv,0.0681101766719186,0.9765088907225152,0.5943002607921272,0.9083987140505967,0.08036933692905729,0.06540379039307373,0.06291324868989712,0.09437094202488759,0.43210850000000156,0.08609228041668857,0.49425942125992123,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.07428243292721481,0.6613355414358788,0.03301601284580745,0.6346331809966811,0.11228911098578402,0.6474890432154968,0.04142229484797425,0.5654989620215859,1.0788599197589028,0.5546707200895258,1.1213001877585975,0.5208614489550439,0.16968536880041976,0.3501913868272972,0.1796628530507951,0.2964159903496688,-0.01264962033049761,-0.01339864464499426,-0.07361423829851474,-0.09268062946449449,0.014256607630440258,0.01955832436902298,0.19035189278485015,0.10408803415583781,2.2001601075175,0.8227085266723431,0.08651729119528125,0.09850579109303391,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l1.00,18.0,1.5,249.0,656.0,0.02925416367321709,0.35,51.194786428129916,-0.3646430299672163,0.2767901058429656,0.7232098941570344,14.170210354050095,0.0,1.1657341758564144e-15,14.18083397955738,0.0,22.84374209452244,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.000563420578753215,-0.0014695158583093047,1.0,-0.00920837203757463,0.38802305304062007,0.42996155538377717,-0.04193850234315695,0.60575973565248,0.7836502744673346,0.779238400105742,0.38802305304062007,-0.04193850234315695,-0.14942889118910138,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_6787ff5e.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_vote2__c128__w8_00_b6aa3bb6.csv,0.1818181818181818,-0.0011449425419868,1.0,8,0.021233672859925695,0.019978251674542005,49,23,-1.2302405498281788,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_75__kal_fb811b4d.csv,0.0682036152105448,0.9757964106967584,0.5942804835989445,0.9075927954862135,0.07526427723058711,0.059514486695382555,0.05695558957310051,0.0816526122388617,0.4063678522290553,0.06989269938611747,0.4943351993357756,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06607130677103439,0.6607257837075511,0.03301601284580745,0.6346331809966811,0.09499620435495935,0.6478845825156917,0.04142229484797425,0.5654989620215859,1.0851717557042744,0.6128036809632472,1.128344819051669,0.5756981857414765,0.16906934470096566,0.3832468858970859,0.17536588479636286,0.31779067453488796,-0.01264962033049761,-0.014716806200263586,-0.08493875660474753,-0.11745885231250144,0.016482497686278606,0.024836544509857807,0.20175381701970518,0.10416544008446003,2.2135165747559435,0.7784079572674916,0.0911462869668386,0.09025932987393824,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.75,18.0,1.0,249.0,643.0,0.02075282577525327,0.35,36.31744510669323,-1.7102870045806156,0.23145983119878472,0.7685401688012152,8.406029713966344,0.0,6.106226635438361e-16,10.671966764908573,0.0,17.23944862781831,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.000583709101313948,-0.0012197240582535469,1.0,0.0021935521972804017,0.4029019125912603,0.43171098327382523,-0.028809070682564872,0.7488202750865383,0.7389364873922848,0.708134683375913,0.4029019125912603,-0.028809070682564872,-0.13673681650102124,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_75__kal_fb811b4d.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19,-1.2164948453608249,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_a86bdc6f.csv,0.0682659735570362,0.9763416661704724,0.5943471455384789,0.9080756926134361,0.07786132319191993,0.06259566375932905,0.06012696888145955,0.08755917467264285,0.4127513735557309,0.07557840964843276,0.49470666384963513,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06992732461134064,0.6612115706514792,0.03301601284580745,0.6346331809966811,0.10765413141085102,0.6474939646346449,0.04142229484797425,0.5654989620215859,1.0853988315309007,0.5859799166213429,1.127735585912058,0.5500862695013423,0.16740396533368515,0.3627855700719853,0.17441050144018203,0.3021615272933651,-0.01264962033049761,-0.014069675111856954,-0.0817579352132606,-0.10808869338556382,0.015250837631443264,0.021970115738233237,0.19686364389529248,0.10245608835153427,2.2131344174429586,0.7994336674021267,0.0889524116812548,0.09458739420029055,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l1.00,18.0,1.25,249.0,643.0,0.025415309312720614,0.35,44.47679129726105,-0.25942800131275146,0.2430015790724534,0.7569984209275465,10.807930517310389,0.0,8.326672684688671e-16,12.477679737217994,0.0,21.19118104273267,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0004239448394983135,-0.001312002246375489,1.0,-0.0026966209271322983,0.349110331020862,0.466006028987442,-0.11689569796657995,0.6250862596657367,0.774701008323756,0.7533114532376274,0.349110331020862,-0.11689569796657995,-0.23339720521344046,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_a86bdc6f.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19,-1.2164948453608249,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____centered_only__kall__a86bdc6f.csv,0.0682659735570362,0.9763416661704724,0.5943471455384789,0.9080756926134361,0.07786132319191993,0.06259566375932905,0.06012696888145955,0.08755917467264285,0.4127513735557309,0.07557840964843276,0.49470666384963513,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06992732461134064,0.6612115706514792,0.03301601284580745,0.6346331809966811,0.10765413141085102,0.6474939646346449,0.04142229484797425,0.5654989620215859,1.0853988315309007,0.5859799166213429,1.127735585912058,0.5500862695013423,0.16740396533368515,0.3627855700719853,0.17441050144018203,0.3021615272933651,-0.01264962033049761,-0.014069675111856954,-0.0817579352132606,-0.10808869338556382,0.015250837631443264,0.021970115738233237,0.19686364389529248,0.10245608835153427,2.2131344174429586,0.7994336674021267,0.0889524116812548,0.09458739420029055,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,centered_only,18.0,1.25,249.0,643.0,0.025415309312720614,0.35,44.47679129726105,-0.25942800131275146,0.2430015790724534,0.7569984209275465,10.807930517310389,0.0,8.326672684688671e-16,12.477679737217994,0.0,21.19118104273267,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0004239448394983135,-0.001312002246375489,1.0,-0.0026966209271322983,0.349110331020862,0.466006028987442,-0.11689569796657995,0.6250862596657367,0.774701008323756,0.7533114532376274,0.349110331020862,-0.11689569796657995,-0.23339720521344046,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____centered_only__kall__a86bdc6f.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19,-1.2164948453608249,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_d0dacb8c.csv,0.0681101766719186,0.9776517062175024,0.5943516053414548,0.9095415295455838,0.07312821953904014,0.05770808131657049,0.055201397011720894,0.0769875506795599,0.36971832634988694,0.07117436219139482,0.4945452605297471,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.05923490514761103,0.6610485840755652,0.03301601284580745,0.6346331809966811,0.08827159524344805,0.6478495731512777,0.04142229484797425,0.5654989620215859,1.0730461973652192,0.6308307983968817,1.1161409807130507,0.5928484115951475,0.16851211576264277,0.3976641875241294,0.17620310653325155,0.33241543699740694,-0.01264962033049761,-0.015320930962369495,-0.07820964496296258,-0.11259309387284924,0.014227897156723181,0.022319293912175932,0.19318871571680915,0.10232945042334896,2.18918717807827,0.7633526966187368,0.08824677833082727,0.08755992797261232,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l1.00,18.0,1.0,249.0,656.0,0.01996921270365303,0.35,34.94612223139279,0.015818199055711135,0.27263246074639186,0.7273675392536082,9.527447297488807,0.0,7.7715611723761e-16,9.60251173557098,0.0,15.816163198333008,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0004330605802073309,-0.000961902156948351,1.0,-0.0063715491056156315,0.3131032951902395,0.5518104473363332,-0.23870715214609387,0.7408605484997947,0.6410275308195496,0.5569565779344811,0.3131032951902395,-0.23870715214609387,-0.3766597639801771,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_d0dacb8c.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_vote2__c128__w8_00_b6aa3bb6.csv,0.1818181818181818,-0.0011449425419868,1.0,8,0.021233672859925695,0.019978251674542005,49,23,-1.209621993127148,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____centered_only__kall__3c6552f1.csv,0.0682971725404169,0.9755892782150531,0.5942885991473177,0.9072921056746363,0.08154543154421966,0.06646791796007713,0.06397816715758076,0.09622190637027891,0.4321085000000031,0.0822766579636484,0.4945952882861435,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.07761772521644307,0.6612431571674716,0.03301601284580745,0.6346331809966811,0.1202238704233814,0.6471639289440158,0.04142229484797425,0.5654989620215859,1.086902735184172,0.5501426309443163,1.1284512001822522,0.5160568405356206,0.16781207363417724,0.3409562877680088,0.1755930466126662,0.2852102221066711,-0.01264962033049761,-0.013190926655133814,-0.07969047392577314,-0.09877521830049553,0.01541568561891471,0.020820575459425852,0.19555230318151856,0.10321220892524781,2.215353935366424,0.8254564999292597,0.0882713592493754,0.10004812601224577,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,centered_only,18.0,1.5,249.0,643.0,0.029926997845490348,0.35,52.372246229608116,-0.8370898757332266,0.2463067902873146,0.7536932097126854,12.899639868951686,0.0,9.992007221626409e-16,14.746114603421017,0.0,24.72649175723541,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0005252165001123665,-0.001555310664852687,1.0,-0.004007961640906221,0.37324288180975074,0.4149013782270396,-0.04165849641728868,0.5423718450588079,0.8439651998759095,0.8522979018436236,0.37324288180975074,-0.04165849641728868,-0.14538384097404874,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____centered_only__kall__3c6552f1.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19,-1.2061855670103092,rank_score
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_3c6552f1.csv,0.0682971725404169,0.9755892782150531,0.5942885991473177,0.9072921056746363,0.08154543154421966,0.06646791796007713,0.06397816715758076,0.09622190637027891,0.4321085000000031,0.0822766579636484,0.4945952882861435,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.07761772521644307,0.6612431571674716,0.03301601284580745,0.6346331809966811,0.1202238704233814,0.6471639289440158,0.04142229484797425,0.5654989620215859,1.086902735184172,0.5501426309443163,1.1284512001822522,0.5160568405356206,0.16781207363417724,0.3409562877680088,0.1755930466126662,0.2852102221066711,-0.01264962033049761,-0.013190926655133814,-0.07969047392577314,-0.09877521830049553,0.01541568561891471,0.020820575459425852,0.19555230318151856,0.10321220892524781,2.215353935366424,0.8254564999292597,0.0882713592493754,0.10004812601224577,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l1.00,18.0,1.5,249.0,643.0,0.029926997845490348,0.35,52.372246229608116,-0.8370898757332266,0.2463067902873146,0.7536932097126854,12.899639868951686,0.0,9.992007221626409e-16,14.746114603421017,0.0,24.72649175723541,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0005252165001123665,-0.001555310664852687,1.0,-0.004007961640906221,0.37324288180975074,0.4149013782270396,-0.04165849641728868,0.5423718450588079,0.8439651998759095,0.8522979018436236,0.37324288180975074,-0.04165849641728868,-0.14538384097404874,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_00__kal_3c6552f1.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19,-1.2061855670103092,rank_score
