source_key,family,source_row,source_pred_index,source_tag,source_strategy,source_descriptor,all_minus_base,post101_p95_vs_e95_e101_sensor,post101_mean_vs_e95_e101_sensor,e72_plausible_gap_vs_e95,sets_tail_neutral,sets_beating_base,gate_strict_actionable,relaxed_structural_tol1e12,strict_gate,structural_strict_gate,delta_norm,changed_cells_vs_e95,cos_e144,cos_e143,cos_e142,resid_ratio_e144,resid_ratio_e143,resid_ratio_e142,local_good,local_material_1e5,post101_p95_ok,post101_mean_ok,noncollinear_source,candidate_interest,source_priority
e137:265:1,e137,1,265,e137_blocktarget_gradient_ab3286f1,blocktarget_gradient,state_top30_q1q3_sall_hard,-4.745163920127915e-05,,,,1.0,1.0,False,False,False,False,1.005939622586596,517,0.4878133409080962,0.48069808913595546,0.5111246086632076,0.8729479620413128,0.8768861654177472,0.8595066226730789,True,True,False,False,True,True,5.745163920127915e-05
e137:190:2,e137,2,190,e137_blocktarget_gradient_a1091554,blocktarget_gradient,state_top30_all_hard,-4.718957566895998e-05,,,,1.0,1.0,False,False,False,False,1.020764769402985,528,0.48706307739986776,0.4799587689810732,0.510338492110258,0.873366795014426,0.8772910463912035,0.8599736178922166,True,True,False,False,True,True,5.718957566895998e-05
e137:280:3,e137,3,280,e137_blocktarget_gradient_e4f25510,blocktarget_gradient,state_top30_q1q3_sall_soft,-4.6595299425300496e-05,,,,1.0,1.0,False,False,False,False,1.01110945432861,517,0.48367607715177363,0.47674167920395283,0.5046697798410981,0.8752470807669523,0.8790434410822914,0.8633124656317304,True,True,False,False,True,True,5.6595299425300495e-05
e137:205:4,e137,4,205,e137_blocktarget_gradient_2aff1d4e,blocktarget_gradient,state_top30_all_soft,-4.6318844211468146e-05,,,,1.0,1.0,False,False,False,False,1.0264003000515083,528,0.483051119139,0.47612568112896814,0.5040176958584182,0.875592151802744,0.8793772431496485,0.8636933265121196,True,True,False,False,True,True,5.6318844211468146e-05
e137:1640:5,e137,5,1640,e137_blocktarget_gradient_7db35255,blocktarget_gradient,state_top30_q1q3_sall_hard,-4.4369593320547907e-05,,,,1.0,1.0,False,False,False,False,0.9982408035013478,517,0.4551496249351217,0.4476434146927008,0.4783291533762497,0.890414970068124,0.8942121522783386,0.8781806312088422,True,True,False,False,True,True,5.4369593320547906e-05
e137:1565:6,e137,6,1565,e137_blocktarget_gradient_7535c2c8,blocktarget_gradient,state_top30_all_hard,-4.41182457379119e-05,,,,1.0,1.0,False,False,False,False,1.0113395351549421,528,0.45410309545517463,0.4466141443070625,0.4772293270055313,0.8909491448438731,0.8947266655827748,0.8787787943765188,True,True,False,False,True,True,5.41182457379119e-05
e137:1655:7,e137,7,1655,e137_blocktarget_gradient_46cb033c,blocktarget_gradient,state_top30_q1q3_sall_soft,-4.37794254201096e-05,,,,1.0,1.0,False,False,False,False,1.0033172463462336,517,0.44998420803893197,0.44272241678741964,0.4710673125799124,0.893036512420167,0.8966587208486327,0.8820972661893579,True,True,False,False,True,True,5.3779425420109596e-05
e137:184:8,e137,8,184,e137_blocktarget_gradient_91cf677a,blocktarget_gradient,state_top30_all_hard,-4.359180835389331e-05,2.6922803229003052e-05,-4.012448926888625e-05,,1.0,2.0,False,False,False,False,0.6758203054229256,528,0.35965866345920905,0.353500144770145,0.37169394672885225,0.9330839435971103,0.9354344699910766,0.928355325274288,True,True,False,True,True,True,5.359180835389331e-05
e137:1580:9,e137,9,1580,e137_blocktarget_gradient_305f2736,blocktarget_gradient,state_top30_all_soft,-4.351760252074843e-05,,,,1.0,1.0,False,False,False,False,1.0169303657204138,528,0.4491141550671717,0.44186640462630533,0.4701564950270131,0.8934743844779771,0.8970808661779728,0.8825830670163086,True,True,False,False,True,True,5.351760252074843e-05
e137:259:10,e137,10,259,e137_blocktarget_gradient_781e9219,blocktarget_gradient,state_top30_q1q3_sall_hard,-4.33537542583462e-05,2.6205448613912176e-05,-4.038824440946739e-05,,1.0,2.0,False,False,False,False,0.6636331715601942,517,0.35973875458906884,0.35357886448101744,0.37177671795385026,0.9330530683978837,0.9354047180725114,0.9283221811351183,True,True,False,True,True,True,5.33537542583462e-05
