name,feature,c_value,weight,base_loss,candidate_loss,delta,geometry_delta,geometry_win_rate,geometry_Q1_delta,geometry_Q2_delta,geometry_Q3_delta,geometry_S1_delta,geometry_S2_delta,geometry_S3_delta,geometry_S4_delta
Q3_presleep_hrpoints_c0.5_w0.45,presleep__presleep_hr_pre6h_hr_points_count,0.5,0.45,0.5710662326231513,0.5696193156189148,-0.001446917004236492,-0.000994511066002901,0.9,0.0,0.0,-0.0069615774620201635,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.2_w0.45,presleep__presleep_hr_pre6h_hr_points_count,0.2,0.45,0.5710662326231513,0.5696583018324141,-0.0014079307907371996,-0.0008379582302618704,0.8,0.0,0.0,-0.005865707611832749,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.5_w0.3,presleep__presleep_hr_pre6h_hr_points_count,0.5,0.3,0.5710662326231513,0.5699940934732678,-0.0010721391498834665,-0.0007751182421244062,0.9,0.0,0.0,-0.005425827694870611,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.2_w0.3,presleep__presleep_hr_pre6h_hr_points_count,0.2,0.3,0.5710662326231513,0.5700219087610712,-0.0010443238620800877,-0.0006691660044196746,0.8,0.0,0.0,-0.004684162030937511,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.1_w0.45,presleep__presleep_hr_pre6h_hr_points_count,0.1,0.45,0.5710662326231513,0.5697530825206317,-0.0013131501025195336,-0.0006084733937808285,0.8,0.0,0.0,-0.004259313756465521,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.5_w0.2,presleep__presleep_hr_pre6h_hr_points_count,0.5,0.2,0.5710662326231513,0.5703026529939151,-0.0007635796292361219,-0.0005673225544367777,0.9,0.0,0.0,-0.003971257881057189,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.1_w0.3,presleep__presleep_hr_pre6h_hr_points_count,0.1,0.3,0.5710662326231513,0.570082763366667,-0.0009834692564842928,-0.0005178876152495237,0.8,0.0,0.0,-0.003625213306746267,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.2_w0.2,presleep__presleep_hr_pre6h_hr_points_count,0.2,0.2,0.5710662326231513,0.5703217216955343,-0.0007445109276169593,-0.0004961696965127494,0.9,0.0,0.0,-0.0034731878755888458,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.5_w0.15,presleep__presleep_hr_pre6h_hr_points_count,0.5,0.15,0.5710662326231513,0.570474942948673,-0.0005912896744783014,-0.00044469173096075567,0.9,0.0,0.0,-0.00311284211672509,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.1_w0.2,presleep__presleep_hr_pre6h_hr_points_count,0.1,0.2,0.5710662326231513,0.5703609086694021,-0.0007053239537491152,-0.00039626216880175316,0.8,0.0,0.0,-0.0027738351816118277,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.2_w0.15,presleep__presleep_hr_pre6h_hr_points_count,0.2,0.15,0.5710662326231513,0.5704893734310899,-0.0005768591920614075,-0.000391174533604699,0.9,0.0,0.0,-0.0027382217352328376,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.1_w0.15,presleep__presleep_hr_pre6h_hr_points_count,0.1,0.15,0.5710662326231513,0.570518156895263,-0.0005480757278882864,-0.0003166428024856449,0.8,0.0,0.0,-0.002216499617399481,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.5_w0.1,presleep__presleep_hr_pre6h_hr_points_count,0.5,0.1,0.5710662326231513,0.5706594827772954,-0.0004067498458558694,-0.00030938539016246437,0.9,0.0,0.0,-0.002165697731137073,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.05_w0.3,presleep__presleep_hr_pre6h_hr_points_count,0.05,0.3,0.5710662326231513,0.5702089030876776,-0.0008573295354736832,-0.00028530261274081206,0.7,0.0,0.0,-0.001997118289185418,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.2_w0.1,presleep__presleep_hr_pre6h_hr_points_count,0.2,0.1,0.5710662326231513,0.5706691569956664,-0.00039707562748481084,-0.00027362451381564014,0.9,0.0,0.0,-0.00191537159670927,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.05_w0.45,presleep__presleep_hr_pre6h_hr_points_count,0.05,0.45,0.5710662326231513,0.5699556408584872,-0.001110591764664104,-0.0002497840744108526,0.6,0.0,0.0,-0.0017484885208756795,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.05_w0.2,presleep__presleep_hr_pre6h_hr_points_count,0.05,0.2,0.5710662326231513,0.5704405961034851,-0.0006256365196661839,-0.00024430551844846217,0.8,0.0,0.0,-0.0017101386291389243,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.1_w0.1,presleep__presleep_hr_pre6h_hr_points_count,0.1,0.1,0.5710662326231513,0.5706878979650122,-0.00037833465813907896,-0.00022422396062615757,0.8,0.0,0.0,-0.0015695677243828033,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.05_w0.15,presleep__presleep_hr_pre6h_hr_points_count,0.05,0.15,0.5710662326231513,0.5705761487954686,-0.0004900838276826747,-0.00020388837983165153,0.8,0.0,0.0,-0.0014272186588213053,0.0,0.0,0.0,0.0
Q3_presleep_hrpoints_c0.05_w0.1,presleep__presleep_hr_pre6h_hr_points_count,0.05,0.1,0.5710662326231513,0.5707253148065247,-0.0003409178166265958,-0.00014988829456791253,0.8,0.0,0.0,-0.0010492180619751212,0.0,0.0,0.0,0.0
