metric,observed,null_mean,null_p05,null_p50,null_p95,p_one_sided,direction,n_perm
edge_or_near_edge_rate,0.62,0.47128899999999996,0.36,0.48,0.58,0.016999150042497874,high_is_concentrated,20000
mean_edge_distance,1.68,2.138444,1.72,2.14,2.58,0.04084795760211989,low_is_concentrated,20000
max_cells_per_subject,10.0,8.75,7.0,9.0,11.0,0.2488375581220939,high_is_concentrated,20000
n_rows_touched,48.0,48.2783,46.0,48.0,50.0,0.5363231838408079,low_is_concentrated,20000
rows_with_both_targets,2.0,1.7217,0.0,2.0,4.0,0.5363231838408079,high_is_concentrated,20000
weekend_rate,0.26,0.27165,0.18,0.28,0.36,0.6392680365981701,high_is_concentrated,20000
between_train_runs_rate,0.6,0.624398,0.52,0.62,0.72,0.7086145692715364,high_is_concentrated,20000
max_cells_per_row,2.0,1.8497,1.0,2.0,2.0,0.8497075146242687,high_is_concentrated,20000
n_blocks_touched,26.0,23.49755,20.0,24.0,27.0,0.935553222338883,low_is_concentrated,20000
max_cells_per_block,4.0,5.47965,4.0,5.0,7.0,0.9973001349932503,high_is_concentrated,20000
n_subjects_touched,10.0,9.945,9.0,10.0,10.0,1.0,low_is_concentrated,20000
