oof_path,oof_stem,matched_submission,matched_source_path,overall_delta_vs_stage2_oof,q3s4_delta_vs_stage2_oof,q3_delta_vs_stage2_oof,s4_delta_vs_stage2_oof,q3s4_scenario_mean,q3s4_scenario_p90,q3s4_scenario_worst,q3s4_scenario_win_rate,pair_delta_vs_a2c8_p90,pair_beats_a2c8_rate,pair_probe_gate,pair_control_better_than_a2c8_gate,pair_submit_gate,pair_selector_conflict,bad_axis_abs_load,mean_abs_move_vs_a2c8,candidate_family,selector_p90_delta_vs_a2c8_public,beats_a2c8_scenario_rate,scenario_majority_beats_a2c8,resolved_better_than_a2c8_gate,local_q3s4_strong,pair_public_positive,old_public_positive,q3s4_shape,oof_anchor_like,strict_s4q3_anchor_like
analysis_outputs/final_public_maskaware_t65_r07_768f6df0_oof.npy,public_maskaware_t65_r07_768f6df0,submission_public_maskaware_t65_r07_768f6df0.csv,analysis_outputs/submission_public_maskaware_t65_r07_768f6df0.csv,-0.01448608241520255,-0.020771895923509753,-0.029895186581663125,-0.011648605265356382,-0.019792743612982496,-0.00794513787262457,0.02968105117034081,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t80_r11_544844af_oof.npy,public_maskaware_t80_r11_544844af,submission_public_maskaware_t80_r11_544844af.csv,analysis_outputs/submission_public_maskaware_t80_r11_544844af.csv,-0.0143750517496678,-0.020771895923509753,-0.029895186581663125,-0.011648605265356382,-0.019792743612982496,-0.00794513787262457,0.02968105117034081,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t80_r10_18d78615_oof.npy,public_maskaware_t80_r10_18d78615,submission_public_maskaware_t80_r10_18d78615.csv,analysis_outputs/submission_public_maskaware_t80_r10_18d78615.csv,-0.01435390223775268,-0.020585058039213733,-0.029055866272864606,-0.01211424980556286,-0.019466580967811384,-0.007251476588062939,0.03346713871016804,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t50_r04_6761fb38_oof.npy,public_maskaware_t50_r04_6761fb38,submission_public_maskaware_t50_r04_6761fb38.csv,analysis_outputs/submission_public_maskaware_t50_r04_6761fb38.csv,-0.014409580096793384,-0.020551015821457297,-0.029774840046653095,-0.011327191596261499,-0.019643438014530733,-0.008116834187283192,0.028503692798506286,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t80_r12_dcfaabba_oof.npy,public_maskaware_t80_r12_dcfaabba,submission_public_maskaware_t80_r12_dcfaabba.csv,analysis_outputs/submission_public_maskaware_t80_r12_dcfaabba.csv,-0.014272759095929066,-0.020551015821457297,-0.029774840046653095,-0.011327191596261499,-0.019643438014530733,-0.008116834187283192,0.028503692798506286,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t65_r08_7f7fa3e2_oof.npy,public_maskaware_t65_r08_7f7fa3e2,submission_public_maskaware_t65_r08_7f7fa3e2.csv,analysis_outputs/submission_public_maskaware_t65_r08_7f7fa3e2.csv,-0.014248528821564355,-0.02047841878415152,-0.02951119797901569,-0.011445639589287349,-0.019618894686965538,-0.0074552117520835315,0.028140662318521525,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t50_r05_fb7b695a_oof.npy,public_maskaware_t50_r05_fb7b695a,submission_public_maskaware_t50_r05_fb7b695a.csv,analysis_outputs/submission_public_maskaware_t50_r05_fb7b695a.csv,-0.014319150561535321,-0.020332042917747484,-0.029802514936557944,-0.010861570898937023,-0.01962538851768789,-0.008304734989330716,0.023381653578937678,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t50_r06_8d5b4fe1_oof.npy,public_maskaware_t50_r06_8d5b4fe1,submission_public_maskaware_t50_r06_8d5b4fe1.csv,analysis_outputs/submission_public_maskaware_t50_r06_8d5b4fe1.csv,-0.014269387842946402,-0.02030271889875218,-0.029785146199211243,-0.01082029159829312,-0.01957510554228796,-0.008424882711731476,0.024206574285866866,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t65_r09_35ff9a82_oof.npy,public_maskaware_t65_r09_35ff9a82,submission_public_maskaware_t65_r09_35ff9a82.csv,analysis_outputs/submission_public_maskaware_t65_r09_35ff9a82.csv,-0.014236989025881996,-0.02025320659855312,-0.02959715131848395,-0.01090926187862229,-0.019467288669815296,-0.008310940424553877,0.025946541839149684,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
analysis_outputs/final_public_maskaware_t35_r02_517540cc_oof.npy,public_maskaware_t35_r02_517540cc,submission_public_maskaware_t35_r02_517540cc.csv,analysis_outputs/submission_public_maskaware_t35_r02_517540cc.csv,-0.013714820632044766,-0.020149776290832866,-0.029187681017270206,-0.011111871564395526,-0.019481121138888686,-0.008253415111174384,0.021109951231924495,0.9545454545454546,,,,,,,,,,,,,,True,False,False,False,False,False
